time	cwndsize
0	1
0.0109056	1
0.0220968	1
0.0324773	1
0.0438939	1
0.054227	1
0.0645066	1
0.0747561	2
0.0849722	2
0.0952134	2
0.105435	2
0.115663	2
0.12603	2
0.137656	4
0.149194	4
0.159386	4
0.171901	4
0.182069	4
0.193311	4
0.204899	6
0.216441	7
0.228483	8
0.238739	8
0.250019	8
0.261603	8
0.272843	8
0.283284	8
0.293697	10
0.304906	11
0.317034	12
0.327268	13
0.339608	14
0.349824	14
0.362826	7.5
0.374122	7.5
0.384571	7.5
0.395588	7.5
0.405786	7.5
0.415963	7.5
0.426462	7.76434
0.436544	7.89313
0.449313	8.01982
0.459374	8.14452
0.471005	8.2673
0.485037	8.38826
0.495514	8.50747
0.506197	8.62501
0.519331	8.74096
0.529595	8.85536
0.541071	8.96829
0.553619	9.07979
0.567895	9.18992
0.578013	9.29874
0.588104	9.40628
0.601277	9.51259
0.611503	9.61772
0.621876	9.72169
0.633508	9.72169
0.646369	9.92634
0.65746	10.0271
0.67067	10.1268
0.683952	10.2256
0.694098	10.3234
0.705978	10.4202
0.717397	10.5162
0.727719	10.6113
0.7388	10.7055
0.749538	10.7989
0.760421	10.7989
0.77052	10.8915
0.781922	10.9833
0.792148	11.0744
0.802529	11.1647
0.814185	11.2543
0.824646	11.3431
0.834868	11.4313
0.845017	11.5188
0.85541	11.6056
0.866619	11.6917
0.877773	11.7773
0.888665	11.7773
0.89903	11.8622
0.909331	11.9465
0.919678	12.0302
0.931073	12.1133
0.941255	12.1959
0.951458	12.2779
0.961637	12.3593
0.972525	12.4402
0.984354	12.5206
0.995765	12.6005
1.00719	12.6798
1.01945	12.7587
1.0302	12.8371
1.04063	12.8371
1.05252	12.915
1.06662	1
1.0802	3
1.09037	4
1.10051	5
1.11158	6
1.1218	7
1.13215	7
1.14352	7.14286
1.1537	7.28286
1.16447	7.42017
1.17499	7.55493
1.18524	7.6873
1.19541	7.6873
1.20639	7.6873
1.21779	7.6873
1.22821	7.81738
1.23843	7.81738
1.24909	8.07116
1.26016	8.19506
1.2706	8.31709
1.28189	8.43732
1.29466	8.55584
1.30478	8.55584
1.31498	8.55584
1.32538	8.55584
1.33659	8.55584
1.34767	8.55584
1.35783	8.78802
1.36917	8.90182
1.38053	9.01415
1.39214	9.12509
1.40277	9.23468
1.41474	9.34296
1.42587	9.34296
1.43606	9.34296
1.44644	9.34296
1.45691	9.34296
1.46763	9.34296
1.47963	4.67148
1.4911	4.67148
1.50167	4.67148
1.51209	4.67148
1.52291	4.67148
1.53485	4.67148
1.5457	5.09023
1.55577	5.28669
1.56806	5.47584
1.57819	5.47584
1.58939	5.47584
1.59974	5.47584
1.6111	5.83519
1.62242	6.00656
1.63417	6.17305
1.64519	6.33504
1.65554	6.33504
1.66728	6.33504
1.67886	6.64691
1.68962	6.79735
1.69993	6.94447
1.71144	7.08847
1.72243	7.22954
1.73377	7.22954
1.74502	7.50359
1.75553	7.63686
1.76624	7.63686
1.77782	7.7678
1.78797	7.89654
1.79863	8.02318
1.81003	8.14782
1.8203	8.27055
1.83168	8.39146
1.84216	8.51063
1.85312	8.62813
1.86365	8.74403
1.87479	8.85839
1.88526	8.97128
1.89842	9.08275
1.90905	9.19285
1.92133	9.30163
1.93225	9.40913
1.94236	9.51541
1.95397	9.62051
1.96702	9.72445
1.97778	9.82728
1.99128	9.92904
2.0014	9.92904
2.01245	10.0298
2.02292	10.1295
2.03546	10.2282
2.04691	10.326
2.05801	10.4228
2.06824	10.5187
2.07846	10.6138
2.08938	10.708
2.09971	10.8014
2.11082	10.894
2.1212	10.9858
2.1314	11.0768
2.14248	11.1671
2.15277	11.2566
2.16479	11.3455
2.17509	11.4336
2.1855	11.4336
2.19955	11.6079
2.21147	11.694
2.22733	11.7795
2.23744	11.8644
2.24857	11.9487
2.25965	12.0324
2.26978	12.1155
2.27999	12.1981
2.29009	12.1981
2.30177	12.28
2.31425	12.3615
2.32574	12.4424
2.3361	12.5227
2.34652	12.6026
2.35782	12.6819
2.36884	12.7608
2.37976	12.8392
2.38998	12.917
2.40031	12.9945
2.41058	1
2.4208	2
2.43229	3
2.44299	4
2.4532	4
2.46421	5
2.47463	6
2.48482	7
2.49504	7.14286
2.50526	7.28286
2.51548	7.42017
2.52574	7.55493
2.53665	7.6873
2.54682	7.6873
2.55858	3.84365
2.5705	3.84365
2.58183	3.84365
2.59218	3.84365
2.6031	4.34749
2.61358	4.34749
2.62524	4.57751
2.63631	4.57751
2.64668	4.57751
2.65747	4.57751
2.66901	5.00448
2.68014	5.2043
2.69108	5.39645
2.70192	5.39645
2.71263	5.39645
2.7229	5.39645
2.73485	5.76091
2.74636	5.93449
2.75693	6.103
2.76852	6.26685
2.77948	6.26685
2.78984	6.26685
2.80119	6.58203
2.81257	6.73396
2.82265	6.88246
2.83454	7.02776
2.8477	7.17005
2.85791	7.17005
2.87019	7.44633
2.88263	7.58062
2.89431	7.71254
2.90561	7.8422
2.91648	7.96971
2.92904	8.09519
2.93924	8.21872
2.95086	8.34039
2.96257	8.46029
2.97347	8.57849
2.98426	8.69506
2.99471	8.69506
3.00765	8.81007
3.0195	9.03564
3.03141	9.14631
3.04235	9.14631
3.0526	9.25564
3.06295	9.36369
3.07323	9.47048
3.08341	9.57607
3.09374	9.6805
3.10508	9.7838
3.11551	9.88601
3.12579	9.98716
3.13611	10.0873
3.14672	10.0873
3.15794	10.1864
3.16923	10.2846
3.181	10.3818
3.19132	10.4782
3.20175	10.5736
3.21208	10.6682
3.22664	10.7619
3.2368	10.8548
3.24704	10.9469
3.25874	11.0383
3.27016	11.1289
3.28042	11.2187
3.29074	11.3079
3.30105	11.3963
3.31226	11.4841
3.32359	11.5711
3.3346	11.6576
3.34623	11.7433
3.35772	11.8285
3.36905	11.913
3.38039	11.997
3.39124	11.997
3.40149	12.0803
3.41266	12.1631
3.42296	12.2453
3.43317	12.327
3.44334	12.4081
3.45358	12.4887
3.46401	12.5688
3.4743	12.6483
3.48515	12.7274
3.49609	12.7274
3.50647	12.806
3.5175	12.8841
3.52786	12.9617
3.53803	13.0388
3.5484	1
3.55876	2
3.56901	3
3.57916	4
3.58938	4
3.59958	5
3.60977	6
3.62	7
3.63104	7.14286
3.6426	7.28286
3.65293	7.42017
3.66346	7.55493
3.67385	7.6873
3.68588	3.84365
3.69849	3.84365
3.70935	3.84365
3.72072	3.84365
3.73347	4.34749
3.74382	4.34749
3.75461	4.57751
3.76985	4.57751
3.78115	4.57751
3.79148	4.57751
3.80301	5.00448
3.81677	5.2043
3.82761	5.39645
3.83845	5.39645
3.8503	5.39645
3.86129	5.39645
3.87147	5.76091
3.88164	5.93449
3.89177	6.103
3.90199	6.26685
3.91237	6.26685
3.92419	6.26685
3.93528	6.58203
3.9463	6.73396
3.95766	6.88246
3.96979	7.02776
3.98056	7.17005
3.99078	7.17005
4.00361	7.44633
4.01484	7.58062
4.02505	7.58062
4.0355	7.71254
4.04569	7.8422
4.05609	7.96971
4.0663	8.09519
4.07656	8.21872
4.08685	8.34039
4.09783	8.46029
4.10825	8.57849
4.11966	8.69506
4.13107	8.81007
4.14238	8.81007
4.15308	8.92357
4.16329	9.03564
4.17355	9.14631
4.18374	9.25564
4.19395	9.36369
4.20402	9.47048
4.21409	9.57607
4.22828	9.6805
4.23836	9.7838
4.24845	9.88601
4.25896	9.88601
4.26914	9.98716
4.28053	10.0873
4.29084	10.1864
4.3011	10.2846
4.31131	10.3818
4.32201	10.4782
4.33245	10.5736
4.34369	10.6682
4.35501	10.7619
4.36595	10.8548
4.37738	10.9469
4.38757	10.9469
4.3979	11.0383
4.40813	11.1289
4.41854	11.2187
4.42883	11.3079
4.43911	11.3963
4.44927	11.4841
4.45966	11.5711
