time	rtt	rto
68.5571	68.5067	205.52
137.584	68.887	171.695
138.08	69.1009	146.524
203.541	65.8377	129.486
204.116	66.1321	116.057
214.179	76.0391	113.081
224.383	86.1634	121.36
268.958	65.2873	113.943
269.86	65.8756	107.04
279.053	74.8447	103.359
290.814	86.5122	113.178
304.074	89.8064	122.494
315.346	100.908	140.076
325.423	100.932	150.417
337.68	111.978	168.083
349.322	80.2417	151.14
360.235	90.8867	141.977
372.398	102.465	147.392
383.418	113.401	161.844
395.947	116.773	173.609
406.842	127.389	191.496
419.292	128.384	202.351
431.01	139.924	220.145
442.671	138.468	227.678
454.382	139.035	230.471
465.771	140.247	230.811
476.632	138.835	226.615
488.528	139.09	221.405
500.068	139.73	216.133
512.779	140.252	210.874
627.529	65.2029	243.462
638.386	65.3545	259.145
650.468	64.6116	264.03
660.755	63.8911	261.635
666.504	69.3622	249.097
678.915	70.6728	234.105
693.927	66.2714	223.01
703.142	64.6366	212.262
714.287	63.535	201.559
726.597	64.91	189.019
738.493	71.868	170.823
749.905	82.9457	150.998
760.743	81.7024	134.463
773.815	79.8202	122.032
786.967	83.7205	115.03
807.322	92.9411	119.829
814.614	87.8967	116.464
818.956	80.3356	110.743
831.424	81.3979	105.109
843.299	82.4412	99.7583
854.119	92.9998	107.092
865.231	91.2922	109.544
877.944	90.7348	109.955
889.449	81.9826	107.055
900.24	85.4941	101.952
911.779	92.7416	106.242
924.363	92.642	108.523
935.818	92.4126	109.266
947.45	93.1971	110.109
959.202	104.843	123.236
970.923	105.56	132.082
982.11	104.047	135.357
993.226	103.66	136.091
1005.09	104.757	136.794
1016.64	104.776	136.276
1028.94	104.483	134.622
1040.63	104.648	132.781
1052.89	105.284	131.408
1063.65	104.327	128.614
1075.62	104.538	126.259
1086.46	115.249	136.085
1098.1	115.886	142.599
1109.85	116.528	146.761
1121.77	116.58	148.606
1133.96	117.223	149.539
1145.49	116.426	148.245
1156.17	115.419	145.268
1168.3	115.286	142.233
1179.78	116.031	140.237
1191.47	115.275	137.32
1203.56	116.964	136.617
1215.02	128.303	148.298
1226.02	127.832	154.808
1237.65	127.678	158.065
1252.1	130.215	162.107
1263.71	129.652	163.13
1273.81	128.223	161.147
1285.24	128.842	159.513
1295.75	127.333	155.784
1307.45	127.554	152.697
1319.13	127.562	149.895
1330.75	126.345	145.988
1343.2	128.063	144.743
1354.27	128.154	143.507
1365.72	127.983	142.024
1377.31	125.132	138.31
1388.99	125.197	135.404
1400.7	126.805	134.408
1412.87	127.544	134.348
1423.87	128.037	134.651
1435.55	128.012	134.614
1447.87	128.682	135.137
1458.95	128.132	134.661
1471.16	116.736	141.566
1482.91	116.811	145.256
1494.5	117.106	146.531
1520.57	61.5408	195.067
1540.78	69.615	215.682
1553.03	70.0145	224.296
1575.73	81.145	215.388
1587.48	80.635	205.794
1600.66	80.0268	196.119
1610.88	81.0508	185.245
1623.74	82.8755	173.257
1635.45	93.5449	153.406
1646.19	93.0837	138.757
1657.7	93.6769	127.712
1669.12	93.2758	119.301
1680.91	93.3369	112.915
1692.42	91.6713	109.569
1706.99	95.978	108.602
1717.02	93.1802	105.159
1728.35	92.7772	102.878
1740.25	104.507	112.995
1750.74	104.425	119.276
1762.95	105.134	123.732
1773.95	104.72	125.609
1786.36	105.329	126.873
1799.02	106.473	128.317
1809.66	102.385	123.982
1821.86	104.754	123.129
1832.82	104.351	121.54
1843.52	103.139	118.597
1856.63	105.766	119.138
1868.25	116.308	130.935
1880.18	117.064	139.07
1891.53	117.576	144.297
1902.51	116.063	145.19
1914.72	115.618	144.366
1926.58	116.795	144.251
1937.58	115.61	141.984
1948.45	115.488	139.534
1960.31	116.699	138.538
1971.93	115.176	135.487
1984.06	115.689	133.429
1995.27	126.626	143.827
2007.58	127.268	150.837
2019.93	128.302	155.863
2030.68	128.051	158.018
2042.39	127.449	157.818
2053.36	126.688	155.882
2065.79	128.079	155.264
2076.69	128.151	154.089
2088.3	127.866	152.187
2101.16	129.141	151.614
2112.73	128.571	149.894
2123.56	128.201	147.683
2134.86	127.159	144.45
2147.6	127.537	142.215
2159.15	128.369	141.224
2169.87	127.337	139.011
2182.78	129.293	139.396
2193.34	127.422	137.227
2205.96	129.141	137.431
2217.62	129.247	137.425
2229.04	127.868	135.615
2240.68	127.841	134.154
2255.56	131.896	137.56
2264.86	129.905	137.378
2276.13	128.379	135.309
2288.92	129.636	135.147
2309.78	68.9638	185.443
2322.5	66.8206	216.685
2334.03	69.0348	230.567
2344.67	68.4241	235.163
2356.19	67.1351	234.097
