time	cwndsize
0	1
0.0108959	1
0.0211709	1
0.0321717	1
0.0424662	1
0.0531003	1
0.0642668	1
0.0751346	2
0.0862526	2
0.0966426	2
0.106897	2
0.118385	2
0.129704	2
0.140013	4
0.150277	4
0.160511	4
0.170773	4
0.180956	4
0.191239	4
0.201604	5
0.212402	8
0.22334	8
0.234311	8
0.244776	8
0.254943	8
0.265071	9
0.276162	12
0.286319	14
0.297074	16
0.307998	16
0.319309	16
0.331534	18
0.341767	19
0.352732	24
0.36335	25
0.373966	28
0.384151	29
0.394249	31
0.404555	34
0.415732	36
0.426259	36
0.436442	40
0.446927	45
0.458354	48
0.468569	48
0.478825	51
0.490252	54
0.500406	56
0.510982	28.5
0.521593	28.6071
0.531895	28.6786
0.542229	28.75
0.552902	28.75
0.563229	28.8571
0.574726	29.0357
0.585403	29.0702
0.596943	29.1392
0.607774	29.2081
0.618428	29.3461
0.6292	29.415
0.639548	29.415
0.649799	29.553
0.660122	29.7254
0.670305	29.7599
0.680545	29.7599
0.690913	29.8288
0.701934	29.9667
0.712343	30.0679
0.722628	30.1679
0.734805	30.2679
0.744915	30.2679
0.755269	30.3679
0.766342	30.5012
0.777142	30.6012
0.787835	30.6346
0.798449	30.6679
0.808898	30.7012
0.819044	30.8346
0.829195	30.9679
0.839747	31.0657
0.85141	31.1303
0.861709	15.6135
0.87185	15.7469
0.88376	15.8802
0.893921	16.0135
0.904116	16.2635
0.915001	16.326
0.925823	16.3885
0.936102	16.451
0.946323	16.7635
0.957024	16.951
0.967098	17.19
0.978057	17.4253
0.988721	17.4253
0.99883	17.4841
1.00929	17.4841
1.021	17.7194
1.03115	17.8959
1.04127	18.1802
1.05137	9.17343
1.0615	9.17343
1.07156	9.28454
1.08258	9.28454
1.09358	9.84009
1.10367	10.2623
1.11414	10.6623
1.12433	10.9623
1.13541	10.9623
1.14597	11.0623
1.1567	11.0623
1.16688	11.2441
1.17708	11.5169
1.18734	11.8805
1.19787	11.8805
1.20804	11.9714
1.2184	12.0623
1.22854	12.0623
1.23991	12.479
1.2513	12.8123
1.26149	12.8123
1.27192	12.8123
1.28221	12.979
1.29244	13.0623
1.30319	13.4469
1.31347	13.6777
1.32375	13.7546
1.33422	13.7546
1.34434	13.8315
1.35502	14.0623
1.36513	14.2766
1.37523	14.4909
1.38563	14.7052
1.39586	14.7052
1.40656	14.7052
1.41682	14.7766
1.42701	14.9909
1.43846	15.329
1.44859	15.529
1.4594	15.6623
1.47008	15.6623
1.48035	15.729
1.49094	15.8623
1.50104	16.0623
1.51152	16.2498
1.52193	16.5623
1.5326	16.6248
1.54336	16.6248
1.55392	16.6873
1.56475	16.8123
1.57487	17.0623
1.58499	17.2976
1.59579	17.5329
1.60601	17.5917
1.61611	17.5917
1.62631	17.5917
1.63677	17.7094
1.64723	17.8858
1.65735	18.1146
1.66765	18.3368
1.67856	18.5035
1.68891	18.559
1.69906	18.559
1.70925	18.559
1.7199	18.6702
1.73044	18.8368
1.74144	19.1088
1.75205	19.3193
1.76223	19.4772
1.77316	19.5298
1.78338	19.5298
1.79446	19.5298
1.80522	19.5824
1.81602	19.793
1.8276	20.0035
1.83818	20.1535
1.84897	20.4035
1.85917	20.5035
1.87015	20.5035
1.8803	20.5035
1.8905	20.5535
1.90106	20.6535
1.91127	20.8035
1.92201	21.0511
1.93213	21.194
1.94264	21.3844
1.95326	21.4797
1.96446	21.4797
1.97486	21.4797
1.98649	21.5273
1.99669	21.6225
2.00723	21.813
2.01795	22.0035
2.02914	22.1853
2.03965	22.3217
2.04976	22.458
2.05997	22.458
2.07009	22.458
2.08057	22.5035
2.09078	22.5944
2.10094	22.6853
2.11101	22.8217
2.12179	22.958
2.13203	23.1774
2.14259	23.3513
2.15266	23.4383
2.1653	23.4383
2.17581	23.4383
2.18604	23.4818
2.19625	23.5687
2.20654	23.6557
2.21719	23.7861
2.23025	24.0452
2.24102	24.1285
2.25258	24.3785
2.2628	24.4202
2.27313	24.4202
2.28332	24.4202
2.29346	24.4618
2.30361	24.5452
2.31404	24.5868
2.32434	24.7535
2.33484	24.9202
2.34559	25.1235
2.35573	25.2035
2.3666	25.3635
2.37689	25.4035
2.38741	25.4035
2.39785	25.4035
2.40864	25.4835
2.41892	25.5235
2.42966	25.6035
2.43976	25.7235
2.45045	25.9235
2.46051	26.0804
2.47079	26.1958
2.48098	26.3496
2.49115	26.3881
2.50205	26.3881
2.51228	26.3881
2.52306	26.4266
2.53425	26.5035
2.54459	26.542
2.55475	26.6189
2.56488	26.8112
2.575	26.965
2.58559	27.1146
2.59571	27.2257
2.60657	27.3739
2.61658	27.3739
2.6267	27.3739
2.63683	27.4109
2.64702	27.4479
2.65724	27.485
2.66746	27.522
2.67777	27.559
2.68804	27.7442
2.69869	27.8553
2.70897	28.0749
2.71987	28.1463
2.73018	28.3249
2.74202	28.3606
2.75235	28.3606
2.76248	28.3606
2.7743	28.4321
2.78467	28.4678
2.79479	28.5035
2.80557	28.5749
2.81636	28.7178
2.82672	28.8963
2.83725	29.0725
2.84748	29.1414
2.85805	29.2449
2.86862	29.2794
