segno	rtt	rto
0	66.5185	100
1	62.4404	199.555
2	62.7564	199.555
3	63.9032	169.864
4	64.559	169.864
5	65.5303	169.864
6	67.4939	169.864
7	63.4494	169.864
8	63.6601	169.864
9	64.5566	169.864
10	66.7445	169.864
11	69.1943	144.319
12	71.0315	144.319
13	71.4551	144.319
14	75.1617	144.319
15	63.9769	144.319
16	63.9466	144.319
17	65.0382	144.319
18	66.8421	144.319
19	68.708	144.319
20	70.5399	144.319
21	71.2639	144.319
22	72.6238	144.319
23	71.3635	128.378
24	73.3554	128.378
25	73.8549	128.378
26	75.9986	128.378
27	76.6947	128.378
28	84.3099	128.378
29	81.9048	128.378
30	83.8361	128.378
31	77.4279	128.378
32	77.7259	128.378
33	79.6767	128.378
34	79.9821	128.378
35	80.4498	128.378
36	82.1993	128.378
37	83.4155	128.378
38	89.969	128.378
39	89.9697	128.378
40	90.1917	128.378
41	90.0058	128.378
42	90.1122	128.378
43	88.2474	118.395
44	90.1563	118.395
45	91.7028	118.395
46	95.5329	118.395
47	95.0255	118.395
48	97.1903	118.395
49	95.7166	118.395
50	99.5098	118.395
51	98.8028	118.395
52	101.009	118.395
53	101.07	118.395
54	107.919	118.395
55	109.821	118.395
56	114.579	118.395
57	108.103	118.395
58	111.086	118.395
59	112.247	118.395
60	113.687	118.395
61	119.722	118.395
62	124.214	118.395
63	126.769	118.395
64	129.31	118.395
68	128.754	119.835
69	130.896	119.835
71	131.49	119.835
73	132.21	119.835
75	131.981	119.835
77	127.634	119.835
79	126.167	119.835
81	128.109	119.835
83	129.412	119.835
84	131.282	119.835
87	132.237	119.835
89	133.065	119.835
91	131.805	119.835
92	133.9	119.835
108	134.484	119.835
111	125.924	119.835
117	124.927	119.835
119	125.294	119.835
123	125.015	164.576
124	128.388	164.576
125	121.957	206.616
126	122.145	206.616
127	120.922	206.616
128	123.118	206.616
129	121.315	206.616
130	125.033	206.616
133	126.14	206.616
134	129.179	206.616
137	126.444	206.616
138	130.892	206.616
139	127.925	206.616
140	125.115	206.616
141	126.994	206.616
142	128.361	206.616
144	126.049	206.616
145	125.945	206.616
146	126.14	206.616
147	126.213	206.616
148	126.046	206.616
149	124.3	206.616
150	126.321	206.616
151	125.198	206.616
152	126.18	206.616
153	124.605	206.616
154	123.638	206.616
155	125.17	206.616
156	127.237	206.616
157	128.002	206.616
159	126.174	206.616
160	125.586	206.616
161	125.735	206.616
162	125.601	206.616
163	124.596	206.616
164	126.454	206.616
165	123.945	220.314
166	124.574	220.314
167	125.633	220.314
168	124.875	220.314
169	125.54	220.314
170	124.774	220.314
171	126.937	220.314
172	124.296	220.314
173	125.354	220.314
174	125.462	220.314
175	124.799	220.314
176	124.79	220.314
177	124.083	220.314
178	125.571	220.314
179	127.417	220.314
180	126.485	220.314
181	125.031	220.314
182	126.329	220.314
183	125.882	220.314
184	127.601	220.314
185	125.843	220.314
186	108.584	228.866
187	108.665	228.866
188	109.997	228.866
189	107.906	228.866
190	109.899	228.866
191	106.094	228.866
192	106.2	228.866
193	110.61	228.866
194	116.033	228.866
195	113.991	228.866
196	116.654	228.866
197	115.898	228.866
198	116.278	228.866
199	117.267	228.866
200	107.019	234.717
201	108.744	234.717
202	108.532	234.717
203	110.72	234.717
204	109.141	234.717
205	108.294	234.717
206	109.021	234.717
207	111.965	234.717
208	112.74	234.717
209	112.106	234.717
210	111.864	234.717
211	109.13	234.717
212	110.059	234.717
213	111.449	234.717
214	112.431	234.717
215	112.064	234.717
216	109.886	234.717
217	110.88	234.717
218	111.248	234.717
219	112.368	234.717
220	111.373	234.717
221	112.317	234.717
222	111.886	234.717
223	112.134	234.717
224	110.289	234.717
225	111.509	234.717
226	113.481	234.717
227	115.545	234.717
228	116.792	234.717
229	116.843	234.717
230	116.441	234.717
231	115.733	234.717
232	115.789	234.717
233	116.281	212.256
234	117.607	212.256
235	119.254	212.256
236	117.091	212.256
237	118.202	212.256
