segno	rttvar	srtt	rto
0	34.8637	69.7274	209.182
1	27.574	69.0143	179.31
5	21.5403	69.4442	155.605
11	16.7778	69.7555	136.867
22	14.2162	70.5719	127.437
35	14.9542	72.718	132.535
55	25.1974	79.7088	180.498
97	30.9198	85.7197	209.399
113	29.7357	88.9926	207.936
134	31.3616	93.5226	218.969
155	31.7138	97.6188	224.474
182	29.5281	94.7474	212.86
199	29.4395	91.1007	208.859
219	28.2457	88.0177	201
236	26.4862	85.3667	191.311
256	23.7007	83.4487	178.251
273	20.8085	81.9322	165.166
290	16.7003	81.3853	148.187
308	12.7035	81.4744	132.289
325	11.2569	82.339	127.367
344	10.2387	83.2371	124.192
363	11.0455	84.9203	129.102
384	10.5273	86.0419	128.151
406	12.5071	88.3477	138.376
429	13.6544	90.4847	145.102
453	15.687	93.2078	155.956
478	17.4445	96.0474	165.825
504	19.2434	99.1274	176.101
530	21.7959	102.809	189.993
553	21.0848	105.178	189.517
573	20.6768	107.61	190.317
590	17.4268	106.65	176.357
615	20.0089	103.181	183.216
635	19.4512	100.958	178.763
658	16.9924	99.7564	167.726
682	14.4227	98.9172	156.608
704	10.9496	98.9835	142.782
725	9.81134	99.7831	139.028
747	9.76494	100.986	140.046
769	10.5272	102.588	144.697
793	11.3783	104.329	149.843
819	12.2777	106.201	155.312
845	14.0161	108.605	164.67
871	15.3066	111.003	172.229
900	15.0243	112.775	172.872
933	12.242	112.288	161.256
966	9.35483	112.201	149.621
996	8.39081	112.889	146.452
1028	8.35284	113.918	147.33
1060	9.49915	115.536	153.532
1095	9.52953	116.738	154.856
1130	14.9034	112.86	172.474
1167	21.0832	107.907	192.24
1189	22.4825	104.572	194.502
1219	20.3941	102.806	184.382
1249	17.6105	101.649	172.091
1276	14.2033	101.151	157.964
1301	11.2569	101.453	146.481
1326	9.97748	102.221	142.131
1351	9.38782	103.173	140.724
1375	10.3272	104.816	146.125
1398	11.9646	106.926	154.784
1423	14.2956	109.587	166.769
1454	14.0159	111.234	167.297
1486	13.4304	112.693	166.415
1517	20.1372	107.661	188.21
1543	22.1763	104.124	192.83
1567	20.3848	102.248	183.787
1594	18.1142	100.835	173.292
1619	14.5048	100.376	158.395
1643	10.9039	100.363	143.979
1665	9.75381	101.151	140.166
1687	9.37412	102.18	139.677
1709	9.32603	103.328	140.632
1733	11.0554	105.358	149.58
1759	13.1197	107.773	160.251
1789	14.1446	109.925	166.503
1818	14.0751	111.658	167.959
1833	13.4271	110.223	163.931
