time	cwndsize
0	1
0.0109376	1
0.022059	1
0.0323139	1
0.0425466	1
0.0529153	1
0.0631506	1
0.0733694	2
0.0835194	2
0.0937647	2
0.105332	2
0.116479	2
0.1279	2
0.139775	3
0.15189	4
0.162105	4
0.174554	4
0.18523	4
0.195436	4
0.205982	6
0.216985	8
0.227266	8
0.237882	8
0.247948	8
0.258113	8
0.269277	11
0.280527	12
0.291098	16
0.301254	16
0.311914	16
0.322154	16
0.332386	16
0.342508	20
0.352928	23
0.364001	24
0.374304	1
0.384578	6
0.395568	6
0.405924	6
0.416051	11
0.426437	14
0.436613	14.1425
0.446838	14.4232
0.457031	1
0.467346	2
0.478128	1
0.488387	1
0.499183	2.9
0.509388	4.33944
0.520442	4.33944
0.530718	4.56988
0.540943	4.56988
0.551152	4.56988
0.561357	4.56988
0.571463	5.19763
0.582455	5.19763
0.592831	5.39003
0.603056	5.39003
0.613411	5.39003
0.623691	5.39003
0.633843	5.75491
0.644052	6.09735
0.65418	6.26135
0.664945	6.26135
0.675156	6.26135
0.685393	6.26135
0.69564	6.5768
0.705946	7.02286
0.716897	7.16526
0.727221	7.16526
0.737942	7.16526
0.748166	7.16526
0.759159	7.16526
0.769366	7.96541
0.779578	8.09095
0.790772	8.09095
0.801111	8.09095
0.811362	8.09095
0.821574	8.09095
0.833313	8.80618
0.843435	9.03185
0.854298	9.03185
0.864769	9.03185
0.874888	9.03185
0.88548	9.03185
0.895886	9.46687
0.906127	9.67696
0.91659	9.98374
0.926833	9.98374
0.937871	9.98374
0.948716	9.98374
0.958946	10.3785
0.969088	10.5704
0.97925	10.8517
0.989489	10.8517
0.99961	10.8517
1.00974	10.8517
1.02056	11.1258
1.03085	11.4811
1.04107	11.7404
1.05119	11.7404
1.06156	11.7404
1.07174	11.7404
1.08277	11.9102
1.09303	12.2425
1.10327	12.6456
1.11352	12.6456
1.12375	12.6456
1.13445	12.6456
1.1447	12.6456
1.15485	12.959
1.16503	13.3404
1.17592	13.564
1.18653	13.564
1.19675	13.564
1.207	13.564
1.21716	13.6377
1.22751	14.0719
1.23827	14.3541
1.24849	14.4931
1.25872	14.4931
1.26911	14.4931
1.27963	14.4931
1.28986	14.8348
1.30001	15.1689
1.31056	15.4309
1.32074	15.4309
1.33092	15.4309
1.34116	15.4309
1.35175	15.6245
1.36194	15.9419
1.37213	16.2531
1.38232	16.3759
1.39341	16.3759
1.40369	16.3759
1.41396	16.437
1.42489	16.739
1.43517	17.0356
1.44528	1
1.45554	2
1.46652	2
1.47674	2
1.48689	4
1.4971	9
1.50809	9.43651
1.51826	9.85348
1.52889	9.95497
1.53918	9.95497
1.54935	9.95497
1.55982	9.95497
1.57013	10.2533
1.58023	10.7321
1.59041	10.8252
1.60057	10.8252
1.61082	10.8252
1.62168	10.8252
1.63235	11.1901
1.64363	11.63
1.6538	11.716
1.66404	11.716
1.67419	11.716
1.68495	11.716
1.69507	12.0538
1.70514	12.463
1.71523	12.623
1.72539	12.623
1.73551	12.623
1.74591	12.623
1.75675	12.7809
1.7678	13.1675
1.77831	13.4687
1.7889	13.5429
1.79914	13.5429
1.80984	13.5429
1.82006	13.6167
1.83075	14.0516
1.8409	14.3341
1.85105	14.4733
1.8616	14.4733
1.87232	14.4733
1.88255	14.5424
1.89342	14.883
1.90378	15.216
1.91387	15.4123
1.92399	15.4123
1.93404	15.4123
1.94462	15.4123
1.95542	15.7341
1.96567	15.9868
1.97588	16.2971
1.98634	16.3585
1.99656	16.3585
2.00668	16.3585
2.01746	16.4805
2.02755	1
2.03802	6
2.04822	9.11111
2.05838	9.22087
2.0686	9.22087
2.07921	9.22087
2.0899	1
2.10007	5.2
2.11019	5.57776
2.12023	5.93074
2.13045	5.93074
2.14059	5.93074
