time	rtt	rto
71.062	70.9913	212.974
139.296	68.0963	180.011
142.109	70.6311	152.668
203.636	64.223	137.764
204.489	64.8019	125.179
211.23	69.0154	111.346
212.714	70.3163	102.085
267.599	63.8443	98.6848
267.928	63.8975	95.318
269.007	64.415	91.6738
273.727	68.929	87.1596
283.388	72.0442	87.1321
284.881	73.2965	88.0514
287.28	74.4732	89.5173
290.854	77.8582	93.8174
334.194	66.4749	91.6713
334.416	66.5794	89.3841
335.426	67.4401	86.4173
337.443	69.3816	82.1786
345.036	75.9454	86.3499
347.582	78.3822	91.5035
349.081	75.2618	90.9652
355.755	81.8241	97.5037
367.675	84.1962	103.973
370.065	86.5051	110.198
372.716	87.7428	114.936
376.085	91.0311	120.894
378.105	90.731	123.533
380.117	92.6603	126.411
382.713	91.7662	126.239
383.848	92.8216	126.236
406.112	71.843	126.843
407.125	72.7744	124.708
410.447	75.9808	118.879
411.833	77.3271	112.534
415.346	79.8263	105.084
417.241	81.6438	100.32
423.528	85.9931	101.503
426.34	88.7246	104.867
433.751	88.6721	106.512
435.766	90.613	109.217
437.59	89.8968	109.605
440.268	92.4699	112.139
442.294	93.1213	113.919
444.535	95.2759	116.862
456.46	100.704	124.225
459.412	103.581	131.559
479.44	111.765	144.705
482.54	114.86	155.784
484.495	114.429	161.291
487.474	117.408	166.791
489.41	116.598	167.947
491.099	118.208	168.912
495.883	62.0383	190.31
499.524	63.6653	198.92
500.798	63.1394	200.804
503.421	63.0561	197.811
506.029	63.642	191.124
506.75	62.0963	184.103
520.91	64.331	173.728
569.283	63.1602	164.526
570.18	63.9844	154.597
570.996	64.1879	145.072
583.782	62.8046	137.504
632.256	62.8458	130.167
632.777	62.5189	123.534
634.04	62.97	116.88
637.435	66.262	107.948
648.003	64.147	102.635
695.186	62.8347	99.0932
695.379	62.5523	95.8831
697.212	63.1064	92.2499
702.884	65.3933	86.954
703.222	65.6513	82.579
714.797	66.7199	78.9022
759.404	64.1158	77.8112
759.55	64.1336	76.6517
762.388	65.0852	74.6669
