time	number
374.292	1
457.019	1
478.116	2
488.377	2
1445.26	1
2027.54	1
2089.89	2
2506.08	1
3380.82	1
3774.39	1
4821.05	1
4831.11	1
4851.34	1
5552.14	1
5573.12	1
6559.21	1
7405.14	1
7738.95	2
7749.14	1
8750.66	1
9150.31	1
9202.4	1
9212.62	1
9746.3	1
10486	1
11520.1	1
11572.5	1
12636.8	1
13138.9	1
14003.5	1
15002.5	1
15012.6	1
15054.2	1
15075.8	1
16000.5	1
16516.5	1
17057.9	1
17068.5	1
18074.4	1
18591.7	1
19224.7	1
19758.2	3
19809.6	2
20796.9	2
20817.3	1
21714.5	1
23017.1	1
23027.4	1
23059.1	1
24077.3	1
24970.1	1
26090.8	1
26101.1	1
26750.4	2
26762.3	1
26772.8	2
27850.7	1
28185	1
29081.5	1
29468.3	1
30262.3	1
30272.4	1
31690.6	1
31701.2	1
32363	1
32373.3	1
33379.8	1
33390.4	1
34900.8	1
35572.1	1
36106.6	1
36160.1	1
36170.7	1
36959.4	1
37468.3	1
38475.6	1
38496.6	1
39372.9	1
40203.2	1
40736.6	1
42128.9	1
42501.3	1
43201.8	1
43497	1
44374.3	1
45096.8	1
45107.1	1
45652.2	1
46310.8	1
47209.6	1
47798.6	1
47995.2	6
48009.8	2
48905	1
50437.9	2
50459.9	1
50470.6	1
50480.8	1
51530.5	1
51818.6	2
52540	3
52551.6	1
52562.9	1
52574.4	1
53719.7	1
53731.9	1
53743.7	2
53754.2	3
53795.9	1
54706.2	2
54716.6	3
55183.2	1
56015.7	1
56227.9	1
56238.1	3
