time	cwndsize
0	1
0.0109075	1
0.0211021	1
0.0312675	1
0.0413381	1
0.0514277	1
0.062281	1
0.0728195	2
0.0829385	2
0.0930828	2
0.103231	2
0.113342	2
0.124251	2
0.134376	3
0.144481	4
0.1546	4
0.165203	4
0.176067	4
0.186194	4
0.196281	5
0.207108	8
0.217278	8
0.22759	8
0.237733	8
0.247819	8
0.257908	9
0.268665	12
0.28062	15
0.292577	16
0.307186	16
0.319476	16
0.329848	16
0.340478	19
0.350799	23
0.36092	24
0.371008	27
0.381437	30
0.393668	32
0.404041	32
0.41437	35
0.424781	37
0.43518	39
0.445263	43
0.456965	47
0.46719	48
0.477494	50
0.489861	54
0.50008	56
0.510276	58
0.521312	62
0.531409	64
0.541595	64
0.551949	1
0.562487	3
0.573044	5
0.584016	8
0.594868	10
0.605377	13
0.615593	14
0.626378	18
0.637235	22
0.648277	27
0.65899	29
0.669546	32
0.679973	1
0.69015	2
0.700859	4
0.711155	6
0.721882	11
0.73231	13
0.743004	15
0.753125	17
0.763242	17.2353
0.7734	17.4706
0.783657	17.5882
0.79404	17.7647
0.804121	17.8235
0.814745	17.9412
0.824897	17.9412
0.835126	17.9412
0.845351	17.9412
0.855516	17.9412
0.867849	17.9412
0.878131	17.9412
0.889026	17.9412
0.899323	18.1144
0.90955	18.1699
0.919835	1
0.930233	5
0.94035	6
0.950484	6
0.960729	6
0.970917	6
0.981113	6
0.992748	6
1.00406	6
1.01431	6
1.0246	6
1.03489	6
1.04516	9
1.05533	10.1
1.06541	10.1
1.07592	10.6
1.08609	10.9
1.09773	11.1909
1.10821	11.2818
1.11845	11.2818
1.12869	11.2818
1.13977	11.2818
1.15001	11.3727
1.16011	11.7364
1.17026	11.8273
1.18079	12.0091
1.19168	12.4258
1.20304	12.7591
1.21315	12.9258
1.22448	13.086
1.23534	13.086
1.2464	13.086
1.25668	13.086
1.26721	13.086
1.27741	13.3937
1.28759	13.5476
1.29866	13.7014
1.3088	14.0091
1.31898	14.3662
1.3308	14.5805
1.34093	14.7234
1.35171	14.7948
1.36187	14.7948
1.37215	14.7948
1.38239	14.7948
1.39294	14.8662
1.40307	15.1424
1.41403	15.2091
1.42449	15.2758
1.4346	15.6091
1.44469	15.8758
1.45614	16.1966
1.46625	16.3216
1.47631	16.3841
1.48648	16.3841
1.49663	16.3841
1.5067	16.3841
1.51683	16.3841
1.52701	16.4466
1.5374	16.7591
1.54762	16.8216
1.55774	16.8216
1.56909	17.1267
1.57929	17.362
1.58938	17.6561
1.60069	1
1.61083	3
1.62093	3
1.63167	3
1.64179	4
1.65196	9
1.6624	9.11111
1.67255	9.11111
1.68267	9.55556
1.69273	10
1.70283	10.5111
1.7131	10.8111
1.72422	11.0111
1.73462	11.0111
1.74484	11.0111
1.75659	11.0111
1.7682	11.102
1.78152	11.102
1.79182	11.3747
1.80522	12.0944
1.81541	12.1778
1.8256	12.5111
1.83573	12.8444
1.84699	12.8444
1.85721	12.8444
1.86736	12.9278
1.87764	12.9278
1.88782	13.0111
1.89794	13.2419
1.90844	13.4726
1.91852	13.7803
1.92874	14.0825
1.93897	14.2254
1.94908	14.4397
1.95929	14.5111
1.97041	14.5111
1.98064	14.5825
1.99088	14.5825
2.00139	14.654
2.01186	14.7968
2.02192	15.0111
2.03245	15.1444
2.04358	1
2.0538	6
2.06408	8.125
2.07451	8.375
2.08469	8.5
2.09492	8.5
2.10544	8.5
2.11609	8.625
2.12623	8.75
2.13644	8.875
2.14654	9.22222
2.15768	9.44444
2.16824	9.88889
2.1788	10.1111
2.18926	10.4111
2.19962	10.5111
2.21001	10.5111
2.22014	10.5111
2.23041	10.6111
2.24058	10.7111
2.25071	10.8111
2.26097	11.102
2.27234	11.3747
2.28262	11.6475
2.29589	12.0111
2.3085	12.0944
2.31913	12.3444
2.33063	12.3444
2.34087	12.3444
2.35186	12.4278
2.36197	12.4278
2.3729	12.5944
2.38331	12.7611
2.39338	13.0111
2.40441	13.2419
2.41465	1
2.42477	4
2.43493	5
2.44502	7
2.45534	7.14286
2.46535	7.14286
2.47634	7.28571
2.48648	7.71429
2.49658	8.125
2.50713	8.5
2.51778	8.875
2.52923	9.22222
2.53937	9.22222
2.54956	9.33333
2.56048	9.33333
2.57169	9.33333
2.58247	9.66667
2.59466	10.1111
2.60503	10.4111
2.61557	10.6111
2.62572	10.9111
2.63647	11.1929
2.64788	11.2838
2.65801	11.2838
2.66883	11.2838
2.67907	11.3747
2.68918	11.5566
2.70001	11.8293
2.71022	12.0944
2.72046	12.4278
2.73065	12.5111
2.74109	12.9278
