time	rtt	rto
72.1095	72.0458	216.137
133.509	61.3356	189.486
135.428	63.0903	166.456
195.869	62.2904	148.812
197.554	63.7923	133.216
202.227	66.7269	120
206.418	70.7385	120
257.267	61.3195	120
258.06	61.9535	120
264.078	66.4754	120
266.308	68.5616	120
274.801	72.4964	120
275.596	73.1402	120
280.082	73.5911	120
281.444	74.7996	120
331.784	74.4158	120
334.268	76.6619	120
338.955	80.8271	120
345.695	87.3459	120
345.947	81.7743	120
347.951	83.5394	120
350.637	84.265	120
353.505	86.9731	120
365.069	90.2029	120
367.073	92.0527	121.942
369.512	93.8664	125.816
371.135	95.3419	129.02
380.071	99.875	135.17
381.218	100.699	139.03
383.204	101.675	141.463
387.745	106.134	146.833
406.241	74.2327	148.595
409.274	77.1632	144.862
413.758	79.4675	138.281
419.036	84.7448	127.507
423.019	83.9692	120
427.627	88.4932	120
434.484	88.6902	120
436.577	90.7015	120
439.204	93.2187	120
442.018	95.9809	120
444.582	96.5381	120
446.075	97.9516	120
448.024	97.3388	120
450.228	99.5173	120.308
455.123	101.485	123.218
460.044	106.266	129.828
471.867	106.703	133.92
477.161	111.907	141.61
479.203	112.071	145.913
483.23	116.019	152.121
486.81	117.198	156.393
489.488	119.799	160.898
494.626	123.442	166.668
498.318	127.061	173.175
504.335	124.166	172.748
506.304	126.051	173.07
510.476	129.172	175.323
514.06	132.687	179.314
516.71	133.418	181.298
520.096	136.732	184.832
522.771	134.943	183.635
530.878	142.98	190.37
556.142	149.817	201.001
558.102	151.695	208.49
567.704	158.368	219.137
572.384	162.976	229.41
573.851	160.002	230.729
576.685	162.761	232.488
581.166	162.029	230.641
585.493	166.276	232.061
594.745	171.636	236.968
599.414	176.229	243.313
601.785	174.09	242.975
604.576	176.814	243.665
613.494	178.926	244.404
618.893	184.248	248.831
620.483	183.839	249.257
622.982	186.268	250.226
625.933	186.675	249.32
891.683	242.214	309.249
893.779	242.007	346.251
896.163	244.316	369.872
905.381	244.707	381.891
911.221	250.46	391.963
921.859	257.877	402.495
924.085	259.985	407.259
926.222	259.323	405.038
930.119	263.143	403.324
935.723	265.209	400.143
1035.96	287.221	418.603
1038.8	283.288	422.187
1041.35	282.366	419.16
1052.83	291.754	423.461
1054.78	292.203	422.673
1066.38	300.483	427.393
1069.95	301.018	427.126
1070.9	301.226	423.245
1074.43	302.455	418.268
1075.71	301.48	410.285
1080.89	303.337	403.735
1082.76	294.509	386.368
1085.12	291.195	368.372
1088.27	294.233	357.568
1089.58	294.134	348.388
1097.47	291.522	337.728
1101.58	290.561	328.209
1149.17	257.384	345.271
1150.85	256.969	354.085
1152.61	258.646	355.366
1155.39	259.114	352.775
1158.58	253.117	353.395
1160.31	248.987	354.282
1175.83	122.924	461.879
1178.88	123.963	520.988
1181.61	115.1	555.126
1184.02	113.937	564.797
1186.06	115.073	556.06
1187.47	112.958	538.396
1189.72	113.907	512.678
1192.58	111.555	485.398
1195.46	112.575	454.919
1198.64	113.408	423.491
1202.41	114.04	392.623
1204.01	114.327	363.409
1205.65	115.876	335.098
1215.07	117.491	308.255
1218.61	116.933	285.166
1267.39	118.123	263.716
1268.81	117.85	245.329
1271.18	118.485	228.722
1274.35	118.851	214.059
1277.58	118.995	201.335
1278.45	118.066	191.224
1295.1	119.193	181.317
1296.73	117.749	174.138
1299.24	120.175	165.541
1303.4	121.721	157.129
1304.56	120.446	151.618
1307.08	120.923	146.61
1309.25	121.779	141.772
1310.68	120.86	138.776
1314.88	122.221	135.059
1315.82	120.259	133.935
1318.66	119.908	133.078
1319.9	117.375	134.32
1323.49	119.373	132.857
1326.42	120.658	130.352
1331.63	116.432	132.102
1333.97	118.663	130.809
1342.35	123.603	131.923
1387.51	120.046	129.675
1395.08	126.245	133.751
1396.81	125.531	135.388
1399.53	125.078	135.644
1401.75	124.095	134.377
1405.25	126.741	136.201
1422.73	127.521	137.979
1424.75	127.915	139.263
1427.4	128.059	139.913
1430.09	126.614	138.343
1432.83	128.216	138.748
