time	number
551.938	6
562.479	12
573.041	8
583.989	2
594.865	2
615.584	2
626.146	4
636.995	2
648.147	1
658.705	3
669.429	1
679.965	7
690.144	1
700.852	4
711.146	4
721.778	2
732.18	1
919.827	5
1600.68	1
2043.57	1
2053.8	1
2414.64	1
3182.31	1
3192.61	1
3202.75	1
3276.26	1
3298.25	2
3309.44	1
3862.29	1
3924.89	1
3967.17	2
4376.83	1
4419.02	2
4429.65	1
4441.55	1
5229.27	1
5241.23	2
5251.68	2
5350.52	1
5786.51	1
5796.63	1
5899.13	1
5910.51	1
6521.29	1
6532.19	3
7002.09	1
7033.89	2
7576.67	1
7619.58	1
8050.68	1
8124.82	1
8156.76	1
8168.2	2
8718.37	1
8728.52	3
8738.7	3
8751.35	5
8762.55	1
9232.16	1
9283.81	1
9347.06	1
9357.53	1
9686	1
9802.42	1
10435.8	3
10446.1	2
10851.7	1
10885.2	2
10906.2	1
11358	1
11473.8	1
12005.8	1
12026.3	1
12036.7	1
12563.2	2
12594.4	3
12606.1	3
12616.9	2
13069.5	1
13142.5	2
13183.9	1
13194.9	1
13705.7	1
13726.5	1
13737.1	1
14293.2	1
14324.4	1
14376.6	1
14878.3	2
14888.7	2
14910.3	2
15386.1	2
15426.9	2
15448.7	1
15469.8	1
15501.6	1
15892.9	1
15913.2	1
15995.5	1
16018.4	1
16562.2	1
17002.3	1
17118.3	1
17663.9	3
17674.6	3
17684.9	2
17695.6	2
18120.9	2
18132	1
18247.5	1
18779.1	1
19460.8	1
20007.2	1
20018.2	1
20123.2	3
20523.2	1
20586.3	1
21118.3	2
21128.6	1
21150.1	2
21160.5	2
21171.3	1
21790.3	2
21800.8	2
21811.8	1
22338.8	2
22371.6	1
22817.5	1
22933.1	2
22944.1	1
23477.5	1
24047.5	1
24058.4	1
24070.2	1
24165.1	3
24176.7	1
25054.1	1
25065	3
25075.1	2
25604.3	1
25709.4	2
26149.2	2
26159.5	1
26516.5	2
26589.7	1
27518.6	1
27539.6	2
27549.9	2
27560.6	1
27612.6	1
27991.8	1
28002	1
28065.5	1
28097.5	2
28108.6	3
28120.2	1
28774.7	2
28785.3	1
29376.3	1
29386.6	1
29417.6	2
29428.8	1
29950	1
29960.1	1
29971.6	1
29982	3
29994	3
30005.7	1
30409.1	1
30420.1	1
30430.2	1
30988.5	2
30998.6	1
31782.9	3
31793.1	2
31803.7	1
31845.9	1
31911.1	2
32441.7	1
32972.4	1
32983.7	1
33524.5	1
33578.5	3
33593.4	2
34023.4	2
34088.1	1
34673.8	1
34716.5	2
34727.9	2
35121.3	1
35144	1
35166.5	2
35178.9	1
35635.4	1
35697.1	1
36440.4	1
36557.3	1
36795.8	3
37363.2	1
38157.5	1
38167.9	2
38178.1	1
38683.3	1
38726.2	1
38737.9	1
38748.5	1
39292.1	1
39302.6	2
39313.6	1
39752.6	1
39858.1	1
40181.2	1
40617.3	2
40627.4	1
41110.7	1
41121	1
41661.8	1
41696.6	1
42257.8	1
42267.9	1
42319.7	1
42342.1	1
42352.6	2
42366	2
42770.5	1
42792.7	2
42805.2	2
42839.4	1
43240.7	1
43677.3	1
43772.6	1
43794.2	1
44130.3	1
44224.1	1
44256.7	1
44801.6	2
44811.7	1
47216	1
47228	1
47304.4	2
47328.5	1
