time	cwndsize
0	1
0.0109716	1
0.021824	1
0.0322055	1
0.0426921	1
0.0529173	1
0.0642561	1
0.0745326	2
0.0862938	2
0.0978296	2
0.109714	2
0.120694	2
0.131016	2
0.142348	3
0.153739	4
0.163915	4
0.174295	4
0.184495	4
0.194878	4
0.206956	6
0.217946	7
0.229085	8
0.239857	8
0.250014	8
0.260188	8
0.271117	10
0.281326	12
0.292165	12
0.303635	16
0.313835	16
0.323996	16
0.334117	19
0.344729	20
0.356315	24
0.366369	24
0.376551	24
0.387517	26
0.397751	30
0.409436	35
0.419592	39
0.429726	40
0.440039	1
0.450228	6
0.46107	9
0.471189	9
0.481314	9
0.49201	9
0.502404	9
0.512592	9
0.522777	1
0.532969	6
0.543294	7.42857
0.553785	8.125
0.564491	8.625
0.574588	9.11111
0.585145	9.66667
0.595277	9.77778
0.605369	9.77778
0.615456	9.77778
0.626828	9.77778
0.636968	9.77778
0.64706	10
0.65723	10.4111
0.667407	10.8111
0.677936	11.102
0.688069	11.102
0.698159	11.102
0.709713	11.2838
0.719941	11.6475
0.730057	12.0944
0.74166	12.4278
0.752496	12.4278
0.762713	12.4278
0.773329	12.5111
0.784942	13.0111
0.795102	13.3188
0.805204	13.7034
0.81593	13.7034
0.826027	13.7034
0.83609	13.7803
0.846417	14.154
0.857432	14.3683
0.86817	14.7254
0.878287	14.9397
0.888913	14.9397
0.899179	14.9397
0.910192	15.1444
0.92031	1
0.931372	6
0.941488	8.25
0.952091	8.5
0.962246	8.5
0.972366	8.5
0.982704	8.75
0.99308	9.22222
1.00396	9.55556
1.01543	9.88889
1.02594	9.88889
1.03653	9.88889
1.04736	10.1111
1.05895	10.7111
1.06941	10.9111
1.08034	11.1929
1.09103	11.1929
1.10201	11.1929
1.11229	11.4657
1.12261	11.8293
1.13278	12.0944
1.14289	12.5111
1.153	12.5111
1.16312	12.5111
1.17481	12.7611
1.18553	13.088
1.1957	13.3957
1.20715	13.7803
1.21724	13.7803
1.22746	13.7803
