time	rtt	rto
68.9331	68.8799	206.64
135.809	66.7686	174.047
136.993	67.6954	148.495
201.433	65.5346	131.092
203.849	67.6895	115.737
206.995	69.9266	105.904
208.424	71.1114	99.6605
265.633	64.1122	95.8864
267.624	65.8359	90.9085
274.379	70.4114	88.0627
276.344	72.1039	87.5477
278.367	71.2554	85.7725
281.929	74.5434	87.8529
282.927	74.388	88.6274
285.59	76.7729	91.3737
331.66	65.9518	90.7683
333.97	68.0707	87.7415
336.302	68.5981	84.6789
338.606	70.6248	81.7659
350.381	75.8986	85.4391
353.132	78.4523	90.4244
355.057	78.6401	93.5332
357.146	80.5487	97.2551
361.187	82.7284	101.628
362.468	83.8222	105.137
364.987	82.9634	105.808
366.579	84.3803	107.128
368.889	85.915	109.01
371.821	88.6939	112.65
373.734	88.0586	113.575
376.099	90.2523	115.853
415.899	84.1558	109.689
417.841	86.0257	106.95
419.96	85.904	104.361
422.49	88.3591	104.848
425.109	88.7242	105.063
427.52	91.0614	107.322
429.41	90.7442	107.94
431.863	93.1358	110.499
452.785	102.35	122.001
455.696	105.201	132.143
458.471	105.264	138.027
459.597	106.324	142.058
462.058	106.921	144.257
464.341	109.124	147.013
466.613	109.385	147.931
468.927	111.631	149.856
471.252	110.001	148.09
474.317	112.999	149.114
475.867	113.343	149.044
478.312	115.725	150.562
583.038	167.028	208.187
586.73	170.626	248.764
587.637	169.687	271.894
589.915	171.864	286.328
592.291	172.28	292.692
594.623	174.518	295.624
597.305	174.733	294.005
599.27	176.628	291.347
601.602	116.231	285.493
604.495	116.056	276.515
607.174	116.615	265.119
608.637	116.175	253.386
610.901	116.142	241.426
613.246	115.864	229.906
615.549	116.323	218.38
617.935	116.177	207.755
621.524	116.443	197.688
623.313	117.07	187.993
669.238	67.5734	222.725
671.568	67.0094	241.162
673.822	66.5811	248.194
677.308	68.6094	245.359
680.119	69.1649	237.489
681.6	68.2935	227.826
683.083	67.4808	217.211
686.377	68.3881	204.772
688.827	67.2338	193.357
691.618	68.2313	181.051
735.675	66.3293	171.114
737.708	66.0421	161.57
739.345	67.5796	150.976
741.756	67.8492	141.182
744.157	66.7589	133.417
747.391	67.176	125.873
750.783	69.0915	117.412
752.324	69.1889	110.264
753.771	67.3023	105.94
755.99	67.0688	102.1
758.619	66.9081	98.6255
801.116	65.3476	96.7197
803.434	65.6042	94.2641
806.574	68.6367	89.1036
808.702	69.3552	84.4487
810.957	69.1079	81.1386
813.23	68.9805	78.7019
816.264	68.7948	76.9615
817.845	66.9632	77.1668
819.835	67.4199	76.5831
822.564	68.7341	74.7638
824.687	68.5961	73.5021
826.947	68.2319	72.8395
869.971	68.7929	71.873
870.835	67.3092	72.3505
873.888	67.2222	72.5824
877.224	70.4769	73.8735
878.507	69.716	73.7587
881.26	70.2502	74.158
882.68	69.3546	73.2903
884.815	68.4586	72.7156
888.234	70.2892	73.2799
890.187	70.2895	73.5571
893.015	70.3658	73.7227
894.663	69.8831	73.1835
898.109	71.0616	74.0523
942.775	72.7106	76.3841
943.92	73.0366	78.1663
945.562	71.6133	77.5744
948.878	71.5607	76.9404
950.2	72.807	77.7583
953.691	75.1254	80.7486
954.872	73.5237	80.7333
957.208	74.4295	81.517
961.711	76.8408	84.5225
962.234	73.9089	82.9565
965.72	75.4744	83.4073
966.503	73.3964	81.1174
970.392	75.6359	81.8928
977.386	79.1841	86.198
1006.58	63.7147	92.3752
1008.6	64.6272	94.7349
1010.28	64.6224	95.3468
1011.49	62.5163	96.6311
1017.08	66.8239	92.6387
1017.27	66.9324	89.117
1019.57	65.7907	87.1116
1020.96	66.0319	84.9182
1070.82	64.1357	84.5478
1076.45	67.7525	80.5022
1076.62	66.2831	78.7345
1077.5	65.9258	77.498
1081.87	64.6992	77.3982
1082.05	64.7525	76.8892
1085.96	66.3526	74.7759
1086.11	65.0961	74.2252
1088.84	67.7609	73.6686
1136.79	65.8852	72.6409
1141.65	65.1205	72.4245
1141.84	65.1829	71.9995
1143.7	66.1643	70.649
1146.76	64.8028	70.8138
1148.47	66.3747	69.9726
1153.41	67.3782	70.4371
1154.22	68.0749	71.4301
