time	number
423.559	4
444.479	4
454.793	4
464.998	2
475.16	6
486.55	4
497.5	4
528.22	8
956.81	1
1941.81	1
2749.38	1
2770.51	1
2833.66	1
3359.73	1
3369.94	1
3381.17	1
4054.75	2
4065.72	1
4075.93	1
4464	1
4819.97	2
4840.39	1
5280.6	2
5960.55	1
6257.58	1
6267.89	1
6730.06	1
7345.56	1
7407.39	1
7814.81	1
8153.34	1
8163.5	2
9134.37	1
9825.64	1
9835.89	1
9878.38	1
10522.3	1
10574	1
10584.5	1
10806.3	1
10869.6	2
11217.9	2
11562.1	1
12104.5	2
12114.9	1
12605.7	1
13244.7	1
13630.6	1
14328	1
14871.3	1
14881.4	2
15403.7	1
15413.9	1
15903.1	1
16354.5	1
17127	1
17137.1	1
17609.4	2
17619.6	1
18024.7	1
18067.4	1
18474.8	1
18485	1
19088.5	1
19660.5	1
20088.4	1
20431.6	1
21312.5	1
21322.7	1
21332.8	3
21343.3	1
21812.8	1
21833.9	1
22354.4	1
22956.5	1
22967	2
22977.1	3
22988.1	1
23442.6	1
23464.1	1
24134.1	1
24576.5	2
24911.7	2
24953.5	4
25381.4	1
25932.2	2
25943.8	3
25954.1	1
26269.2	1
26283.3	3
26294.9	3
26606.1	3
26637.1	1
27107.7	1
27128	1
27783.8	1
27816.4	1
28316	1
28326.2	1
28823.5	1
29337.1	1
29403.4	1
29887.7	1
30067.5	1
30488.3	1
30541.3	1
31302.6	1
31990.4	2
32041.8	1
32482.8	2
32557.4	1
33358.8	1
33410.7	1
34413.9	2
34425	2
34435.3	1
34935.7	1
34945.9	2
35607.9	1
35885.1	3
36646.1	2
37424.6	1
37465.8	1
37476.4	1
37803.8	1
37835.1	1
38139.3	1
38833.8	1
39286.6	1
39719.1	1
39729.4	1
40192	1
40929.4	2
40940.2	2
41567.5	1
41577.8	1
41989	1
42050.4	1
42061.7	1
42879.9	1
43155.1	1
43630.4	1
44033.3	3
45026.7	1
45046.9	1
45314.4	1
45680.8	1
45698	3
45754.2	1
47627.8	1
47942.8	1
49180.7	3
50409.2	1
50723.2	1
51677.1	3
51721.3	2
52300.8	2
52312.2	1
52323.9	1
53388.4	1
53914.6	1
