time	cwndsize
0	1
0.0119001	1
0.0221277	1
0.0330648	1
0.043438	1
0.0537041	1
0.0639724	1
0.0741329	2
0.0851853	2
0.0965437	2
0.106953	2
0.117398	2
0.127678	2
0.139565	4
0.149654	4
0.159849	4
0.170678	4
0.180853	4
0.191109	4
0.201539	5
0.212469	8
0.22358	8
0.234034	8
0.244722	8
0.254856	8
0.265895	9
0.276083	11
0.286994	16
0.297532	16
0.308161	16
0.319191	16
0.331333	17
0.341509	20
0.351908	21
0.361956	25
0.373752	29
0.384215	32
0.395313	32
0.405848	32
0.416142	34
0.426579	37
0.437552	40
0.448152	40
0.458954	42
0.470444	48
0.480659	51
0.491198	56
0.501445	60
0.511763	63
0.523021	64
0.534231	64
0.545504	64
0.55572	32
0.566068	32
0.576616	32.0938
0.586939	32.1875
0.5972	32.25
0.607441	32.3125
0.618242	32.4688
0.629373	32.5
0.640002	32.5
0.650549	32.5312
0.661094	32.5938
0.673209	32.6875
0.685897	32.8438
0.69805	33.0303
0.708895	33.1818
0.719476	33.3333
0.730351	33.4545
0.74209	33.6061
0.753682	33.697
0.765981	33.7879
0.77861	33.9697
0.789455	33.9697
0.799712	33.9697
0.81028	33.9697
0.820465	33.9697
0.830703	33.9697
0.841266	33.9697
0.851814	33.9697
0.862491	33.9697
0.872701	33.9697
0.882933	33.9697
0.893098	33.9697
0.903717	33.9697
0.913932	33.9697
0.924093	33.9697
0.934445	33.9697
0.945189	33.9697
0.955852	33.9697
0.96703	33.9697
0.978297	33.9697
0.989812	33.9697
1.00075	33.9697
1.01149	33.9697
1.02216	33.9697
1.03261	34.1176
1.04327	34.2647
1.05335	34.3824
1.06357	34.4412
1.07368	34.5294
1.0838	34.5294
1.09399	34.5588
1.10487	34.5588
1.11512	34.5588
1.12625	34.6765
1.13662	34.6765
1.14688	34.7059
1.1571	34.7353
1.16828	34.8235
1.17914	34.8529
1.18934	34.9118
1.19958	34.9412
1.21028	34.9412
1.22044	34.9412
1.23155	34.9412
1.24176	34.9412
1.25191	34.9412
1.26244	17.4706
1.27263	17.4706
1.2828	17.4706
1.29363	17.4706
1.30491	17.4706
1.3154	17.4706
1.32631	17.4706
1.33658	17.4706
1.3472	17.4706
1.35849	17.4706
1.3693	17.4706
1.38057	17.4706
1.39121	17.4706
1.40235	17.5882
1.4136	17.8824
1.42396	18.1111
1.43481	18.3333
1.44538	18.6111
1.45642	18.6667
1.46654	18.6667
1.47665	18.6667
1.48675	18.7778
1.49778	18.7778
1.5079	18.8889
1.5182	18.8889
1.52834	19
1.53844	19
1.54947	19.0526
1.55967	19.1053
1.56984	19.3158
1.58119	19.3684
1.59163	19.3684
1.6018	19.3684
1.61203	19.3684
1.6228	19.3684
1.63367	19.3684
1.64433	19.3684
1.65456	19.3684
1.66473	19.3684
1.67494	19.3684
1.68519	19.3684
1.69622	19.3684
1.70717	19.3684
1.7179	19.3684
1.72816	19.3684
1.73912	19.3684
1.75026	19.4737
1.76106	19.7368
1.77123	20
1.78236	20.15
1.79266	20.2
1.80361	20.3
1.81384	20.3
1.82407	20.35
1.83493	20.35
1.84511	20.35
1.85576	20.35
1.86662	20.35
1.87683	20.35
1.88745	20.35
1.89764	20.35
1.90782	20.4
1.91935	20.65
1.92952	20.85
1.94051	21.1429
1.95075	21.3333
1.96087	21.3333
1.97192	21.3333
1.98226	21.3333
1.9931	21.3333
2.00345	21.3333
2.01356	21.5238
2.02371	21.7143
2.034	21.9524
2.04412	22.1364
2.05434	22.3182
2.06525	22.3182
2.07606	22.3182
2.0862	22.3182
2.09629	22.3182
2.10647	22.3182
2.11683	22.4545
2.1269	22.6818
2.13764	22.8636
2.14789	23.0435
2.15804	23.2609
2.16853	23.3043
2.17901	23.3043
2.18924	23.3043
2.20019	23.3043
2.21034	23.3043
2.22074	23.3478
2.23137	23.5217
2.24279	23.6957
2.2535	23.913
2.26384	24.125
2.27403	24.2917
2.28427	24.2917
2.29449	24.2917
2.30482	24.2917
2.31492	24.2917
2.3251	24.2917
2.33521	24.3333
2.34628	24.5417
2.35636	24.7083
2.36719	24.9167
2.3793	25.12
2.38939	25.28
2.39949	25.28
2.41032	25.28
2.42047	25.28
2.43081	25.28
2.44094	25.28
2.4512	25.28
2.46247	25.48
2.47343	25.64
2.48361	25.8
2.49371	26
2.50465	26.1923
