segno	rtt	rto
0	83.5975	100
1	65.8009	250.792
2	71.0266	250.792
3	63.2435	224.566
4	63.9691	224.566
5	68.8051	224.566
6	70.2328	224.566
7	62.1902	224.566
8	63.7932	224.566
9	68.5635	224.566
10	70.1297	224.566
11	76.7503	224.566
12	79.1144	224.566
13	79.185	224.566
14	81.4674	224.566
15	62.8657	205.552
16	67.2914	205.552
17	65.8103	205.552
18	70.465	205.552
19	71.6723	205.552
20	73.8677	205.552
21	74.4616	205.552
22	76.788	205.552
23	90.3539	205.552
24	94.3595	205.552
25	93.239	205.552
26	94.6755	205.552
27	98.9509	205.552
28	101.087	205.552
29	97.7155	205.552
30	100.069	205.552
31	73.4944	205.552
32	74.6222	205.552
33	73.1937	205.552
34	75.2694	205.552
35	76.3918	205.552
36	83.7684	205.552
37	82.9439	205.552
38	89.5596	205.552
39	94.434	180.298
40	96.2336	180.298
41	95.1659	180.298
42	98.3887	180.298
43	98.7594	180.298
44	102.731	180.298
45	104.668	180.298
46	107.237	180.298
47	123.637	180.298
48	123.798	180.298
49	132.236	180.298
50	134.43	180.298
51	134.479	180.298
52	137.332	180.298
53	137.744	180.298
54	141.096	180.298
55	137.295	180.298
56	138.407	180.298
57	138.862	180.298
58	140.86	180.298
59	143.043	180.298
60	146.312	180.298
61	145.768	180.298
62	147.664	180.298
63	147.609	180.298
64	149.731	180.298
65	151.955	180.298
66	154.049	180.298
67	152.451	180.298
68	154.731	180.298
69	155.074	180.298
70	158.21	180.298
71	158.921	180.298
72	165.445	180.298
73	166.041	180.298
74	172.652	180.298
75	171.814	180.298
76	174.123	180.298
77	173.245	167.674
78	176.167	167.674
79	184.813	167.674
80	186.863	167.674
81	187.548	167.674
82	190.671	167.674
83	191.002	167.674
84	193.2	167.674
85	192.175	167.674
86	194.706	167.674
87	194.859	167.674
88	197.074	167.674
89	195.097	167.674
90	197.309	167.674
91	197.866	167.674
92	200.76	167.674
93	205.688	167.674
94	209.075	167.674
236	236.875	553.155
237	235.091	553.155
238	238.268	553.155
239	239.089	553.155
240	236.098	553.155
241	237.78	553.155
242	233.532	553.155
243	235.228	553.155
244	235.136	553.155
245	235.903	553.155
246	231.456	553.155
247	231.226	553.155
248	231.282	553.155
249	230.563	553.155
250	227.762	553.155
251	226.588	553.155
252	229.048	553.155
253	229.286	553.155
254	228.432	553.155
255	228.283	553.155
256	227.497	553.155
257	227.775	553.155
258	97.7542	388.735
259	98.7873	388.735
260	96.73	388.735
261	99.1365	388.735
262	98.8043	388.735
263	101.712	388.735
264	98.9339	388.735
265	100.817	388.735
266	100.151	388.735
267	99.8129	388.735
268	100.924	388.735
269	99.9061	388.735
270	99.0154	388.735
271	102.342	388.735
272	100.896	388.735
273	100.801	388.735
274	100.975	388.735
275	99.7145	388.735
276	101.184	388.735
277	101.312	388.735
278	100.971	388.735
279	100.836	388.735
280	100.659	388.735
281	101.504	388.735
282	102.89	388.735
283	102.432	388.735
284	104.914	388.735
285	105.049	388.735
286	104.903	388.735
287	105.064	388.735
288	106.206	388.735
289	104.167	388.735
290	106.248	333.06
291	104.73	333.06
292	103.381	333.06
293	105.597	333.06
294	104.727	333.06
295	104.564	333.06
296	104.655	333.06
297	103.517	333.06
298	104.472	333.06
299	104.322	333.06
300	101.143	333.06
301	105.17	333.06
302	103.367	333.06
303	105.174	333.06
304	104.412	333.06
305	106.853	333.06
306	106.579	333.06
307	108.588	333.06
308	104.394	333.06
309	107.391	333.06
310	110.436	333.06
311	109.611	333.06
