segno	rttvar	srtt	rto
0	36.0334	72.0667	216.2
1	28.5869	71.2858	185.633
7	23.5067	70.2525	164.279
17	17.8994	70.1178	141.716
31	15.8481	71.3296	134.722
52	23.4748	77.124	171.023
63	37.4817	87.0618	236.988
194	83.4612	114.737	448.581
213	74.3977	120.638	418.228
243	61.2881	117.893	363.045
270	48.4676	116.642	310.513
296	37.028	116.303	264.415
321	27.7752	116.305	227.406
344	22.4105	117.095	206.737
367	18.983	118.183	194.114
389	16.0522	119.09	183.299
411	15.2769	120.709	181.816
433	15.7959	122.878	186.062
458	16.3741	125.142	190.638
488	17.5867	127.795	198.141
519	19.1437	130.771	207.346
551	20.7975	133.991	217.181
584	22.2625	137.324	226.374
618	23.5618	140.756	235.003
653	25.3393	144.59	245.947
689	26.5854	148.38	254.722
726	27.4939	152.158	262.134
764	28.6468	156.171	270.758
803	29.7528	160.305	279.316
843	30.3912	164.343	285.908
884	31.1938	168.543	293.319
926	32.1636	172.928	301.582
969	32.2888	177.011	306.166
1013	32.5957	181.2	311.583
1058	33.7222	185.838	320.727
1104	33.9198	190.152	325.831
1151	35.3832	195.124	336.656
1199	35.8647	199.787	343.246
1248	35.6458	204.161	346.744
1298	35.9538	208.771	352.586
1349	35.74	213.158	356.118
1401	35.2963	217.404	358.589
1454	35.6878	222.011	364.763
1508	35.981	226.619	370.543
1563	36.3701	231.311	376.791
1619	36.4833	235.914	381.847
1676	36.5402	240.503	386.664
1734	36.5765	245.089	391.395
1793	37.1481	249.946	398.539
1853	36.6983	254.365	401.158
1914	36.6234	258.915	405.408
1976	36.7707	263.566	410.649
2039	37.0962	268.325	416.71
2103	37.0956	272.962	421.344
2168	36.9405	277.522	425.284
2234	37.2708	282.304	431.388
2301	37.1641	286.91	435.566
2369	37.5811	291.764	442.088
2438	37.6771	296.509	447.218
2508	38.0363	301.399	453.544
2579	30.9613	302.616	426.461
2651	33.4605	307.736	441.578
2724	30.9968	310.686	434.673
2798	33.6006	315.863	450.265
2873	33.509	320.017	454.053
2949	33.3696	324.136	457.614
3026	36.1426	329.694	474.264
3104	33.6233	332.952	467.445
3183	34.7047	337.695	476.514
3263	34.3903	341.876	479.437
3344	39.7135	348.837	507.691
3426	35.2786	351.583	492.698
3506	36.5182	356.613	502.686
3578	36.6589	361.248	507.884
3649	38.2952	366.649	519.83
3725	37.8096	371.193	522.431
3798	37.9653	375.997	527.858
3869	39.7658	381.643	540.706
3950	38.3938	385.927	539.503
4032	38.0455	390.553	542.735
4121	38.2308	395.401	548.324
4212	39.1855	400.657	557.399
4304	37.6317	404.778	555.305
4397	38.041	409.687	561.851
4491	36.026	413.435	557.539
4586	34.7036	417.277	556.091
4682	34.2219	421.374	558.261
4779	34.8163	425.949	565.214
4877	35.1675	430.476	571.146
4976	34.9372	434.757	574.506
5076	35.4948	439.403	581.382
5177	35.8373	444.011	587.36
5279	36.7745	448.959	596.058
5382	36.8738	453.606	601.101
5486	36.464	458.01	603.866
5591	36.384	462.528	608.064
5697	36.7266	467.248	614.154
5804	36.4296	471.69	617.408
5912	36.5392	476.298	622.455
6021	37.0326	481.112	629.243
6131	36.5327	485.492	631.623
6242	36.77	490.177	637.257
6354	36.8248	494.8	642.099
6467	36.6149	499.299	645.758
6581	36.4206	503.778	649.461
6696	37.1435	508.692	657.267
6812	36.5519	513.039	659.247
6929	36.5753	517.62	663.921
7047	37.2454	522.527	671.509
7166	38.8624	527.991	683.441
7286	35.3873	531.112	672.661
7406	36.7231	536.203	683.095
7528	37.155	541.009	689.629
7651	37.9232	546.038	697.731
7775	37.5441	550.589	700.765
7900	36.5844	554.802	701.139
8026	37.1048	559.635	708.054
8153	37.0409	564.241	712.405
8281	37.2456	568.974	717.956
8410	37.2926	573.653	722.823
8540	37.0807	578.208	726.531
8671	37.2706	582.938	732.021
8803	39.184	588.554	745.29
8936	38.4289	593.074	746.79
9070	38.1974	597.762	750.552
9205	37.1965	602.037	750.823
9341	36.296	606.236	751.42
9478	37.4906	611.37	761.332
9616	37.4385	616.03	765.784
9755	37.7551	620.868	771.889
9895	38.1889	625.805	778.56
10130	102.691	588.78	999.543
