time	cwndsize
0	1
0.0110957	1
0.0220235	1
0.0323479	1
0.0425998	1
0.0527873	1
0.0629514	1
0.0741754	2
0.0845658	2
0.094844	2
0.105746	2
0.116509	2
0.128078	2
0.139199	3
0.149353	4
0.159495	4
0.171867	4
0.183002	4
0.194912	4
0.205658	6
0.216229	8
0.226922	8
0.239212	8
0.249772	8
0.260786	8
0.271772	11
0.281957	12
0.292797	16
0.30288	16
0.312969	16
0.323107	16
0.333826	18
0.344271	21
0.354952	24
0.366321	24
0.376896	28
0.387885	32
0.398635	32
0.409339	34
0.419612	39
0.430431	42
0.441016	44
0.452013	23.5
0.462844	23.5435
0.473504	23.5435
0.485585	23.7174
0.496501	23.8913
0.507293	24.0634
0.517758	24.1884
0.528718	24.2301
0.540212	24.2301
0.551667	24.2717
0.562436	24.3967
0.573223	24.6051
0.583872	24.8134
0.594832	24.8967
0.607596	25.0617
0.617721	25.0617
0.627974	25.2617
0.63846	25.3417
0.648703	25.4617
0.658936	25.4617
0.669366	25.4617
0.680255	25.4617
0.690423	25.4617
0.700622	25.4617
0.711137	25.4617
0.721779	25.4617
0.732011	25.4617
0.742463	25.4617
0.752715	25.4617
0.763953	25.4617
0.774416	12.7509
0.784632	12.9175
0.794864	13.1547
0.805054	13.2316
0.81563	13.3086
0.826813	13.4624
0.837634	13.6163
0.849559	13.6932
0.86137	13.847
0.872802	14.0723
0.883462	14.2866
0.893742	14.5723
0.904462	14.5723
0.914725	14.5723
0.924979	14.5723
0.935769	14.6437
0.945989	14.6437
0.956738	14.6437
0.968121	14.7866
0.978315	14.7866
0.989299	15.0675
0.999887	15.2675
1.01094	15.5342
1.02116	15.5342
1.03139	15.6675
1.04152	15.7342
1.05165	15.9342
1.06298	16.1884
1.07356	16.3759
1.08379	16.5009
1.09412	16.5009
1.10469	16.6884
1.11486	16.7509
1.12518	16.9384
1.13574	17.1773
1.1459	17.4126
1.15684	17.4715
1.16689	17.4715
1.17838	17.6479
1.18933	17.6479
1.19955	17.8832
1.20982	18.112
1.21995	18.3342
1.23024	18.4453
1.24038	18.4453
1.25049	18.4453
1.2606	18.612
1.27106	18.6675
1.28115	18.8898
1.29141	19.1061
1.30159	19.3167
1.31172	19.4219
1.32194	19.4219
1.33216	19.4219
1.34319	19.5798
1.3535	19.5798
1.3642	19.843
1.37584	20.1009
1.38597	20.2509
1.39602	20.4009
1.40615	20.4009
1.41632	20.4009
1.42706	20.5009
1.43717	20.5509
1.44782	20.7009
1.45811	20.9009
1.46853	21.0961
1.47864	21.2866
1.48881	21.3818
1.49891	21.3818
1.50912	21.3818
1.52026	21.4771
1.5304	21.5247
1.54083	21.6675
1.55116	21.858
1.56149	22.0918
1.57343	22.2281
1.58358	22.3645
1.59378	22.3645
1.60398	22.3645
1.61405	22.41
1.62456	22.5009
1.6347	22.5463
1.64548	22.7281
1.65567	22.9554
1.66615	23.1313
1.67698	23.3052
1.68764	23.3487
1.69785	23.3487
1.70851	23.3487
1.71902	23.3922
1.72991	23.4791
1.74013	23.5661
1.75032	23.7835
1.76038	23.9574
1.77212	24.1259
1.78229	24.2925
1.79269	24.3342
1.80281	24.3342
1.81297	24.3342
1.82318	24.3342
1.83336	24.4592
1.84393	24.5425
1.85595	24.7092
1.86617	24.8342
1.87638	25.0409
1.88749	25.2009
1.8976	25.3209
1.9077	25.3209
1.91885	25.3209
1.92899	25.3209
1.93933	25.4009
1.94944	25.4409
1.96016	25.5209
1.97067	25.7209
1.98168	25.8809
1.99217	26.0393
2.00239	26.1932
2.0134	26.3086
2.02356	26.3086
2.03398	26.3086
2.04404	26.3086
2.05421	26.3855
2.06534	26.4239
2.07551	26.5009
2.08646	26.6932
2.09659	26.847
2.10709	27.0379
2.11717	27.149
2.1287	27.2972
2.13886	27.2972
2.1497	27.2972
2.16072	27.2972
2.17094	27.3342
2.1811	27.4083
2.19172	27.4824
2.20252	27.5564
2.21275	27.7046
2.22413	27.9268
2.23424	28.0723
2.2451	28.2152
2.25528	28.2866
2.26613	28.2866
2.27689	28.2866
2.28715	28.2866
2.2974	28.3223
2.30755	28.3937
2.31778	28.4294
2.32788	28.5366
2.33874	28.7152
2.34935	28.858
2.3603	29.0354
2.37165	29.1733
2.38181	29.2767
2.39204	29.2767
2.40221	29.2767
2.41282	29.2767
2.42421	29.3112
2.43441	29.3457
2.44526	29.3802
2.4554	29.4836
2.46561	29.656
2.47568	29.794
2.48655	29.9319
2.49745	30.1009
2.50781	30.2342
2.51836	30.2675
2.52931	30.2675
2.53949	30.2675
2.54978	30.2675
2.56001	30.3009
2.57025	30.3342
2.58068	30.4009
2.5911	30.4675
2.60154	30.6342
2.61192	30.7675
2.62241	30.9342
2.63271	31.0654
2.64329	31.1944
2.65386	31.2589
2.66436	31.2589
2.67453	31.2589
2.68523	31.2589
2.69595	31.2912
2.70688	31.2912
2.71712	31.3557
2.72727	31.4202
2.73839	31.5493
2.74854	31.7105
2.75876	31.8396
2.76918	32.0009
2.77929	32.0946
2.78978	32.2196
2.7999	32.2509
2.81054	32.2509
2.82076	32.2509
2.83087	32.2821
2.84185	32.2821
2.85315	32.3134
2.86336	32.3446
2.87421	32.4384
2.88436	32.5634
2.89519	32.7196
2.90595	32.8446
2.91654	33.0009
2.92663	33.0918
2.93769	33.213
2.94914	33.2433
2.96	33.2433
2.9706	33.2433
2.98111	33.2736
2.99163	33.2736
3.00183	33.3039
3.01207	33.3342
3.02227	33.3948
3.03254	33.5463
3.04342	33.6675
3.05356	33.7887
3.06395	33.9403
3.07497	34.0891
3.0851	34.1773
3.09568	34.2362
3.10621	34.2362
3.11641	34.2362
3.12681	34.2656
3.13701	34.2656
3.14868	34.2656
3.1602	34.3244
3.17033	34.3538
3.18042	34.442
3.192	34.5891
3.20215	34.7068
3.21254	34.8538
3.22267	34.9715
3.23428	35.0866
3.24512	35.2009
3.25605	35.2294
3.26665	35.2294
3.27731	35.2294
3.28755	35.258
3.29772	35.258
3.30794	35.258
3.31942	35.3152
3.33042	35.3437
3.34067	35.4294
3.35135	35.5723
3.36278	35.7152
3.37289	35.8294
3.38331	35.9723
3.39388	36.0842
3.40502	36.1953
3.41658	36.2231
3.42772	36.2231
3.43791	36.2231
3.44857	36.2509
3.45931	36.2509
3.47003	36.2509
3.48023	36.2786
3.49057	36.3342
3.50112	36.3898
3.51146	36.5286
3.52167	36.6398
3.53193	36.7509
3.54204	36.8898
3.55282	37.0009
3.56303	37.109
3.57412	37.1901
3.58453	37.2171
3.5953	37.2171
3.60544	37.2171
3.61691	37.2441
3.62711	37.2441
3.63797	37.2441
3.64869	37.2711
3.65895	37.3252
3.66931	37.4063
3.6801	37.5144
3.69025	37.6225
3.70119	37.7576
3.71177	37.8928
3.72188	38.0009
3.73257	38.1061
3.74343	38.1851
3.75505	38.2114
3.76522	38.2114
3.77545	38.2114
3.78573	38.2377
3.79586	38.2377
3.80624	38.2377
3.81648	38.2377
3.82655	38.2903
3.83721	38.3167
3.84737	38.4482
3.8583	38.5798
3.86917	38.6851
3.88006	38.8167
3.89149	38.9482
3.90162	39.0522
3.91199	39.1547
3.92407	39.206
3.93428	39.206
3.94449	39.206
3.9554	39.2316
3.96647	39.2316
3.97723	39.2316
3.98795	39.2316
3.9985	39.2829
4.00948	39.3086
4.01964	39.3855
4.03055	39.5137
4.04067	39.6163
4.05135	39.7445
4.06143	39.847
4.07233	39.9752
4.08381	40.0509
4.09506	40.1509
4.10623	40.2009
4.11695	40.2009
4.12709	40.2009
4.13769	40.2259
4.14873	40.2259
4.15955	40.2259
4.16967	40.2259
4.18048	40.2759
4.19067	40.3009
4.20135	40.3759
4.21184	40.4759
4.22198	40.6009
4.23227	40.7009
4.24235	40.8009
4.25509	40.9509
4.26538	41.0009
4.27634	41.1472
4.28643	41.1716
4.29709	41.196
4.30724	41.196
4.31752	41.196
4.32807	41.2204
4.33822	41.2204
4.34864	41.2204
4.35867	41.2204
4.3688	41.2692
4.37889	41.2936
4.38916	41.3667
4.4002	41.4887
4.41042	41.5862
4.4223	41.7326
4.43241	41.8057
4.44284	41.9521
4.45384	42.0247
4.46539	42.1437
4.47556	42.1675
4.48587	42.1913
4.49606	42.1913
4.50616	42.1913
4.51625	42.2152
4.52742	42.2152
4.53757	42.2152
4.54785	42.2152
4.55874	42.2628
4.56995	42.2866
4.5801	42.358
4.59042	42.4771
4.60165	42.5961
4.61175	42.6913
4.62349	42.8104
4.63637	42.9056
4.64735	43.0009
4.65802	43.1404
4.66984	43.1869
4.68045	43.1869
4.69147	43.1869
4.70246	43.1869
4.71271	43.2102
4.72293	43.2102
4.73359	43.2102
4.74459	43.2102
4.75506	43.2567
4.76523	43.2799
4.77548	43.3265
4.78572	43.4427
4.79589	43.559
4.80734	43.6753
4.81753	43.7683
4.82847	43.8846
4.84013	44.0009
4.85029	44.0691
4.86149	44.16
4.87272	44.1827
4.88318	44.1827
4.89377	44.1827
4.90398	44.2054
4.91534	44.2054
4.92543	44.2054
4.93583	44.2054
4.94599	44.2054
4.95675	44.2509
4.9685	44.2736
4.9791	44.3645
4.99013	44.4781
5.00059	44.5691
5.0107	44.6827
5.02147	44.7963
5.03155	44.8872
5.04261	45.0009
5.05308	45.0675
5.06459	45.1564
5.07554	45.1786
5.08573	45.1786
5.09594	45.1786
5.10619	45.2009
5.11688	45.2009
5.12745	45.2009
5.13778	45.2009
5.14797	45.2009
5.15805	45.2231
5.16837	45.2675
5.17854	45.312
5.19015	45.4231
5.20087	45.5342
5.21089	45.6231
5.22099	45.712
5.23192	45.8231
5.24249	45.9342
5.25342	46.0009
5.26361	46.0878
5.27525	46.153
5.28668	46.1748
5.29682	46.1748
5.30708	46.1748
5.31812	46.1965
5.3283	46.1965
5.33889	46.1965
5.34933	46.1965
5.36028	46.1965
5.37048	46.2183
5.38063	46.2617
5.39076	46.327
5.4022	46.4357
5.41244	46.5226
5.42272	46.6096
5.43293	46.7183
5.44391	46.827
5.45467	46.9139
5.46667	47.0009
5.47703	47.1073
5.4889	47.1498
5.50124	47.1711
5.51214	47.1711
5.52236	47.1711
5.53293	47.1924
5.54307	47.1924
5.55352	47.1924
5.56362	47.1924
5.57456	47.2136
5.58483	47.2136
5.59503	47.2562
5.60606	47.32
5.61627	47.4051
5.6264	47.5115
5.6371	47.6179
5.64724	47.703
5.65806	47.8094
5.66899	47.8945
5.68135	48.0009
5.69203	48.0425
5.70409	48.1467
5.71552	48.1675
5.72646	48.1675
5.73671	48.1675
5.74688	48.1884
5.75707	48.1884
5.7675	48.1884
5.77804	48.1884
5.78816	48.1884
5.79928	48.2092
5.80958	48.23
5.82067	48.2717
5.83096	48.355
5.84115	48.4592
5.85188	48.5634
5.86257	48.6467
5.87781	48.7925
5.89085	48.855
5.90164	48.9384
5.91204	49.0621
5.92384	49.1437
5.93513	49.1641
5.94533	49.1641
5.95547	49.1641
5.96663	49.1845
5.97682	49.1845
5.98732	49.1845
5.99765	49.1845
6.00777	49.1845
6.01893	49.205
6.02919	49.2254
6.04018	49.2458
6.05034	49.3274
6.06071	49.409
6.07091	49.4907
6.08115	49.5927
6.09146	49.6743
6.10159	49.7764
6.11247	49.858
6.12276	49.9192
6.13488	50.0209
6.14504	50.1009
6.15524	50.1409
6.16572	50.1609
6.17625	50.1609
6.18642	50.1609
6.19665	50.1809
6.20715	50.1809
6.21734	50.1809
6.22811	50.1809
6.23893	50.2009
6.24918	50.2009
6.25937	50.2209
6.2711	50.2409
6.2813	50.3209
6.2924	50.4009
6.30551	50.5209
6.31563	50.6009
6.32581	50.7209
6.33679	50.8009
6.34721	50.8809
6.35793	50.9809
6.37215	51.0597
6.38508	51.1381
6.39517	51.1577
6.40622	51.1577
6.41692	51.1577
6.42718	51.1773
6.43797	51.1773
6.44826	51.1773
6.45843	51.1773
6.46916	51.1969
6.47964	51.1969
