segno	rtt	rto
0	68.7189	100
1	65.0871	206.157
2	68.3675	206.157
3	67.562	174.975
4	68.1971	174.975
5	72.9238	174.975
6	73.9442	174.975
7	66.0613	148.913
8	70.7258	148.913
9	73.3339	148.913
10	74.277	148.913
11	77.9326	134.069
12	80.2409	134.069
13	81.8428	134.069
14	84.9005	134.069
15	67.0813	120.115
16	70.8443	120.115
17	74.8292	120.115
18	76.5688	120.115
19	76.1095	112.709
20	78.3855	112.709
21	79.9723	112.709
22	83.0541	112.709
23	91.8636	111.792
24	93.6482	111.792
25	93.7047	111.792
26	97.7378	111.792
27	96.5534	111.792
28	99.2341	111.792
29	97.6552	117.971
30	100.629	117.971
31	82.5211	110.78
32	85.7089	110.78
33	87.9318	110.78
34	91.0298	110.78
35	93.5046	104.807
36	98.1723	104.807
37	100.897	104.807
38	103.216	104.807
39	103.038	104.807
40	106.409	104.807
41	105.122	104.807
42	107.106	104.807
43	107.799	105.736
44	109.508	105.736
45	110.33	105.736
46	112.819	105.736
47	127.719	118.919
48	129.839	118.919
49	132.639	118.919
50	135.011	118.919
51	135.003	118.919
52	138.366	118.919
53	135.643	133.333
54	137.282	133.333
55	138.804	133.333
56	141.147	133.333
57	142.969	133.333
58	143.479	133.333
59	143.945	133.333
60	146.984	133.333
61	150.347	144.932
62	152.774	144.932
91	244.066	245.189
92	245.261	245.189
93	245.642	245.189
94	245.094	245.189
95	245.741	245.189
96	246.071	245.189
97	246.813	245.189
98	247.382	245.189
99	246.625	245.189
100	246.639	245.189
101	246.911	245.189
102	246.343	245.189
103	247.491	245.189
104	246.968	245.189
105	245.856	245.189
106	246.368	245.189
107	246.509	245.189
108	248.217	245.189
109	245.537	245.189
110	245.915	245.189
111	246.232	245.189
112	247.85	245.189
113	246.656	245.189
114	245.175	245.189
115	116.351	361.28
116	118.789	361.28
117	117.476	361.28
118	117.335	361.28
119	116.463	361.28
120	119.479	435.687
121	89.214	501.62
122	90.4689	501.62
123	89.989	501.62
124	91.9602	501.62
125	89.4085	508.983
126	91.0297	508.983
127	93.0895	508.983
128	94.262	508.983
129	64.9726	479.105
130	64.8691	479.105
131	65.1219	479.105
132	66.751	479.105
133	65.6829	479.105
134	66.5113	445.425
135	70.712	445.425
136	68.2436	445.425
137	67.4654	438.94
138	66.8761	438.94
139	67.5235	438.94
140	68.1334	438.94
141	67.4551	438.94
142	69.999	438.94
143	69.4449	438.94
144	70.1897	445.669
145	70.5118	445.669
146	70.7785	445.669
147	69.4652	445.669
148	69.1593	445.669
149	72.8041	436.842
150	69.5701	415.8
151	71.7455	415.8
152	74.8473	415.8
153	72.0023	415.8
154	73.3108	415.8
155	70.7033	415.8
156	71.7922	415.8
157	73.1777	391.832
158	74.1106	391.832
159	74.9114	391.832
160	73.9902	391.832
161	74.299	365.597
162	74.2213	365.597
163	74.3473	365.597
164	74.3776	365.597
165	78.2223	337.152
166	76.4488	313.055
167	76.5818	313.055
168	73.8966	313.055
169	76.2529	313.055
170	77.4739	313.055
171	77.9042	288.64
172	77.374	288.64
173	76.1552	288.64
174	76.4009	288.64
175	80.5174	288.64
176	79.0539	262.126
177	79.4684	262.126
178	78.7249	239.411
179	78.5325	239.411
180	78.9985	239.411
181	79.282	239.411
182	80.1085	215.912
183	82.0756	197.739
184	81.7727	197.739
185	82.5886	197.739
186	81.2874	197.739
187	80.56	181.126
188	81.2916	181.126
189	80.4727	181.126
190	81.1718	181.126
191	81.232	181.126
192	79.2533	164.322
193	81.8515	164.322
194	82.6149	164.322
195	83.8829	151.593
196	84.3476	151.593
197	84.1488	151.593
198	84.1855	151.593
199	84.1237	141.149
200	85.3445	131.638
201	84.9828	122.066
202	85.4372	122.066
203	87.173	122.066
204	86.9909	122.066
205	86.0681	115.86
206	85.6994	115.86
207	87.2296	115.86
208	84.9231	115.86
209	86.6813	110.096
210	86.7109	110.096
211	86.7285	110.096
212	89.6379	110.096
213	89.4636	110.096
214	89.4894	103.893
215	87.8555	103.893
216	88.3757	103.893
217	87.344	103.893
218	88.6846	99.4683
219	90.7748	97.4583
220	90.8926	95.3537
221	91.3307	95.3537
222	88.5314	95.3537
223	91.2734	95.3537
