segno	rttvar	srtt	rto
0	36.5392	73.0783	219.235
1	29.4075	72.0768	189.707
3	23.5391	71.335	165.491
6	17.9936	71.5047	143.479
7	15.2925	70.606	131.776
11	12.6263	71.1845	121.69
14	11.4998	72.1996	118.199
15	11.0779	70.973	115.285
19	8.45044	70.902	104.704
21	6.76362	71.1149	98.1694
23	7.81905	72.4881	103.764
27	9.8509	74.4814	113.885
31	7.94295	74.204	105.976
35	7.30183	74.8763	104.084
38	8.36064	76.3185	109.761
41	10.2268	78.2966	119.204
45	12.2126	80.5679	129.418
47	16.1232	84.0497	148.543
50	19.8798	87.9434	167.463
54	23.477	92.227	186.135
59	26.1952	96.5208	201.302
93	46.7614	110.078	297.124
95	60.7618	122.924	365.971
100	72.5998	136.438	426.837
118	61.0117	139.719	383.766
119	51.9911	136.603	344.567
121	44.2078	133.995	310.827
126	36.8957	132.125	279.708
131	31.6555	130.134	256.756
132	32.8349	125.587	256.926
135	39.7083	118.046	276.879
139	42.3436	111.765	281.139
143	43.0378	106.125	278.276
147	41.5299	101.499	267.619
150	39.0818	97.5317	253.859
153	36.442	93.9664	239.734
158	33.139	91.0626	223.619
162	29.3302	88.8247	206.145
163	25.5842	87.0314	189.368
166	21.9864	85.6322	173.578
170	18.6214	84.5664	159.052
175	15.5321	83.7834	145.912
179	13.339	82.9385	136.294
180	10.9069	82.4871	126.115
183	9.43335	81.8605	119.594
185	7.42279	81.6866	111.378
189	5.91255	81.5139	105.164
193	4.89632	81.283	100.868
197	3.99098	81.1236	97.0875
198	3.82464	81.5393	96.8379
201	4.08977	82.1499	98.509
205	3.36916	82.3009	95.7775
209	3.30621	82.6905	95.9154
212	3.33438	83.1179	96.4554
216	3.31506	83.525	96.7853
217	3.49341	84.0286	98.0022
220	3.10397	84.2705	96.6864
223	3.49601	84.8546	98.8386
228	3.93869	85.5129	101.268
232	4.31944	86.1956	103.473
236	4.14468	86.6482	103.227
237	4.71989	87.4538	106.333
240	4.99117	88.1795	108.144
243	4.75109	88.6833	107.688
247	4.69293	89.2481	108.02
251	4.94478	89.9607	109.74
254	5.75964	90.9862	114.025
258	5.58449	91.6186	113.957
261	5.70146	92.3751	115.181
264	5.6806	93.0774	115.8
269	5.35763	93.626	115.057
273	5.59903	94.4164	116.812
277	5.04178	94.8376	115.005
280	5.71734	95.8056	118.675
283	5.95023	96.6367	120.438
286	6.04288	97.4268	121.598
290	6.044	98.1828	122.359
295	6.25072	99.0416	124.045
299	6.41901	99.9071	125.583
303	6.75065	100.875	127.878
306	7.08587	101.887	130.23
310	6.99433	102.727	130.704
315	6.91991	103.564	131.243
321	7.05245	104.495	132.705
325	7.32533	105.513	134.814
327	6.99695	106.265	134.252
330	6.51164	106.896	132.943
334	6.09189	107.501	131.868
339	5.44757	107.94	129.73
344	5.87218	108.833	132.322
347	6.57112	109.917	136.201
352	6.52654	110.716	136.822
355	5.41963	110.978	132.657
358	5.03802	111.465	131.617
363	4.64467	111.898	130.476
368	4.26743	112.29	129.36
373	4.01584	112.697	128.761
378	3.90396	113.143	128.759
380	4.86101	114.11	133.554
382	5.26383	114.919	135.974
385	5.4922	115.691	137.66
389	6.40708	116.835	142.463
395	6.40146	117.633	143.239
400	6.14663	118.306	142.892
405	5.81663	118.909	142.176
407	6.07811	119.767	144.08
409	6.71088	120.843	147.687
414	5.93846	121.296	145.05
420	5.75668	121.947	144.974
426	5.94288	122.76	146.532
431	5.98036	123.522	147.443
433	5.62614	124.092	146.597
435	5.85478	124.91	148.329
437	5.81019	125.619	148.86
442	5.79925	126.34	149.537
448	5.26807	126.799	147.872
454	5.39975	127.524	149.123
459	5.3761	128.187	149.691
462	5.22399	128.783	149.679
463	5.76663	129.707	152.774
465	5.58555	130.337	152.68
469	5.43089	130.958	152.682
476	5.00274	131.423	151.434
482	4.66171	131.878	150.525
487	4.79509	132.527	151.708
492	3.74585	132.602	147.585
493	4.78808	133.591	152.744
496	5.27835	134.435	155.548
501	5.23124	135.071	155.996
507	5.13741	135.678	156.228
513	5.0663	136.285	156.55
519	5.05305	136.912	157.124
523	5.04551	137.539	157.721
524	5.04915	138.172	158.369
526	5.22092	138.889	159.773
531	5.23543	139.549	160.491
538	5.04416	140.108	160.284
545	4.98249	140.707	160.637
550	5.71821	141.698	164.571
555	5.67224	142.39	165.079
556	5.98534	143.255	167.197
558	5.99058	144.006	167.968
563	5.58953	144.554	166.913
570	5.35173	145.134	166.541
577	4.89175	145.573	165.14
583	4.66892	146.073	164.749
588	4.62898	146.637	165.153
589	5.48007	147.641	169.561
592	5.80081	148.486	171.69
599	5.78282	149.203	172.334
606	5.39137	149.73	171.295
613	5.88523	150.651	174.191
619	5.97043	151.429	175.311
622	5.77165	152.076	175.162
623	5.81091	152.817	176.06
626	5.76664	153.521	176.588
633	5.52537	154.121	176.223
640	5.18044	154.639	175.361
647	4.79006	155.092	174.252
654	4.90048	155.746	175.348
657	4.95344	156.385	176.199
658	5.32581	157.19	178.493
661	5.29337	157.84	179.013
