time	cwndsize
0	1
0.0109786	1
0.0220815	1
0.0337395	1
0.0440731	1
0.0543121	1
0.0651426	1
0.0769127	2
0.0879856	2
0.0983823	2
0.108755	2
0.120079	2
0.132291	4
0.14346	4
0.155236	4
0.166385	4
0.176706	4
0.18788	4
0.199666	6
0.209907	8
0.221305	8
0.232663	8
0.242862	8
0.253195	8
0.263618	11
0.273695	15
0.283823	16
0.294105	16
0.305398	16
0.315722	16
0.326304	19
0.336576	23
0.348053	28
0.359019	32
0.36956	32
0.379745	32
0.390861	35
0.402797	40
0.413929	45
0.424047	49
0.434227	54
0.447861	59
0.46051	65
0.471944	70
0.482078	1
0.492498	1
0.503986	1
0.514225	1
0.525501	1
0.536697	1
0.546935	1
0.557225	1
0.567589	1
0.578659	1
0.589202	1
0.599769	1
0.6103	1
0.620445	1
0.631437	1
0.642141	2
0.652452	3.83446
0.662656	4.56988
0.673814	4.56988
0.684065	4.99753
0.695366	5.92867
0.70636	6.26135
0.717594	6.26135
0.728525	6.72885
0.738696	6.72885
0.748786	7.16526
0.759825	7.83782
0.770897	8.21454
0.782386	8.45624
0.794035	8.57449
0.805326	8.57449
0.81656	9.14257
0.826777	9.5725
0.836952	9.98374
0.847297	10.1831
0.857476	10.2813
0.86771	10.2813
0.878154	10.5704
0.889274	11.0352
0.899611	11.4811
0.910724	11.7404
0.920867	11.9102
0.931024	11.9102
0.942403	12.2425
0.953101	12.6456
0.963405	12.959
0.973554	13.265
0.983698	13.4153
0.993867	13.4153
1.00484	13.7111
1.01554	14.0719
1.02619	14.3541
1.03705	14.6991
1.04736	14.9022
1.05757	14.9022
1.06848	15.1689
1.07949	15.4309
1.09047	15.7522
1.10161	16.0671
1.11289	16.3146
1.12302	16.3146
1.13336	16.6189
1.14442	16.8582
1.1552	17.1528
1.16568	17.4423
1.17668	17.6705
1.18697	17.7271
1.19898	17.9517
1.20914	18.1735
1.22027	18.5012
1.23101	18.7699
1.24229	18.9821
1.25244	19.0873
1.2646	19.3478
1.27496	19.6049
1.28665	19.8586
1.29863	20.1091
1.30966	20.3566
1.32003	20.5036
1.33132	20.7945
1.34315	21.0338
1.35382	21.2234
1.36489	21.4579
1.37688	21.6899
1.38719	21.9195
1.39836	22.1466
1.40898	22.3267
1.42002	22.5498
1.43118	22.7706
1.44131	22.9458
1.4523	23.1629
1.46244	1
1.47258	6
1.48293	10
1.49355	12.2483
1.50373	12.5717
1.51388	12.8869
1.52565	13.2703
1.53581	13.5692
1.54594	13.5692
1.55824	13.7891
1.56863	14.0769
1.57882	14.4286
1.5895	14.7719
1.59957	15.0408
1.61078	15.0408
1.62157	15.2394
1.63166	15.5647
1.64249	15.8201
1.65299	16.1337
1.66425	16.4413
1.67441	16.5021
1.68548	16.7432
1.69676	16.9808
1.70765	17.2732
1.71906	17.5608
1.73166	17.8437
1.74245	17.9556
1.75344	18.1774
1.76433	18.4508
1.77715	18.7202
1.78759	18.9858
1.79876	19.2477
1.80899	19.2996
1.81916	19.5573
1.82958	19.8117
1.84106	20.0128
1.85164	20.2614
1.86179	20.4581
1.87195	20.6529
1.88364	20.8939
1.89481	21.1321
1.90673	21.3677
1.91813	21.6007
1.92964	21.8312
1.93985	22.0138
1.95076	22.24
1.96216	22.4639
1.97323	22.6856
1.98418	22.8614
1.99815	23.1227
2.00872	23.3381
2.01882	23.509
2.0317	23.7631
2.04238	23.931
2.05322	24.1392
2.06403	24.3045
2.07424	24.5095
2.08468	24.7128
2.09477	24.8743
2.10648	25.0747
2.11661	1
2.12744	6
2.13771	10
2.14856	13.1534
2.1587	13.4549
2.16877	13.8225
2.17884	14.1096
2.18892	14.391
2.19974	14.5297
2.21088	14.667
2.22309	15.0048
2.23357	15.3351
2.24449	15.6584
2.25516	15.9123
2.26543	15.9752
2.27702	16.1622
2.28852	16.53
2.29883	16.7707
2.30933	17.0667
2.3205	17.2999
2.33118	17.3577
2.34208	17.587
2.355	17.9255
2.36639	18.2027
2.38135	1
2.39207	6
2.40225	8
2.41334	10.2971
2.42355	10.6802
2.43434	11.1404
2.4444	11.4952
2.45556	11.5822
2.4666	11.5822
2.4773	12.0077
2.48758	12.2558
2.49771	12.579
2.50921	12.9716
2.51943	13.1253
2.53034	13.1253
2.54075	13.5019
2.55182	13.7958
2.56337	14.1545
2.57349	14.435
2.58365	14.6418
2.59425	14.6418
2.60442	14.9802
2.61556	15.2454
2.62571	15.5061
2.63655	15.8259
2.6484	16.0772
2.65941	16.0772
2.67047	16.3858
2.68144	16.6887
2.69147	16.9271
2.7025	17.2205
2.71323	17.4516
2.7235	17.5089
2.73523	17.7363
2.74535	18.0164
2.75654	18.2922
2.7673	18.5099
2.7778	18.7785
2.78916	18.9378
2.79981	19.1481
2.81148	19.4079
2.8217	19.6641
2.83227	19.8668
2.84267	20.1172
2.85402	20.3153
2.86426	20.5115
2.87509	20.7058
2.88666	20.9462
2.89746	21.1838
2.90948	21.4188
2.92055	21.6512
2.93211	21.8812
2.94222	22.0634
2.95356	22.2891
2.96406	22.5125
2.97417	22.6897
2.9847	22.9092
2.99676	23.1266
3.00753	23.2991
3.01833	23.5129
3.02865	23.6826
3.03968	23.893
3.05096	24.1015
3.06194	24.267
3.0731	24.4724
3.08427	24.676
3.09598	24.878
3.10712	25.0783
3.11728	25.2374
3.12756	1
3.13891	6
3.14906	10
3.15929	13.0769
3.16961	13.4549
3.18056	1
3.19166	1
3.20251	3.90856
3.21266	4.16441
3.22419	4.63158
3.23513	5.62582
3.24591	6.14322
3.25629	6.14322
3.26749	6.306
3.27846	6.46458
3.28908	6.91805
3.29965	7.61288
3.31071	8.12537
3.32099	8.12537
3.33244	8.36968
3.3426	8.36968
3.35366	8.72314
3.36512	9.17299
3.37596	1
3.38613	3
3.39743	5
3.40765	5
3.41869	5.57776
3.42913	6.42297
3.43929	7.16696
3.44941	7.16696
3.4596	7.16696
3.4704	7.16696
3.48105	7.44335
3.49119	8.09245
3.50132	8.69252
3.51227	9.03319
3.52266	9.03319
3.53292	9.03319
3.54374	9.36133
3.55383	9.78154
3.56427	10.2825
3.5753	10.5715
3.58638	10.7599
3.59779	10.7599
3.60801	10.9449
3.61823	11.2168
3.62909	11.7415
3.64014	12.1613
3.65026	12.3252
3.66047	12.3252
3.67151	12.4869
3.6819	12.8043
3.69246	13.1901
3.70364	13.5649
3.71394	13.8574
3.72437	13.8574
3.73581	14.0014
3.74697	14.3549
3.75736	14.6999
3.76793	15.037
3.77949	15.3012
3.79076	15.3666
3.80201	15.561
3.81335	15.9427
3.82403	16.1921
3.83554	16.4986
3.84641	16.7397
3.85732	16.7994
3.86835	17.095
3.88006	17.3278
3.89096	17.6144
3.90236	17.8965
3.91309	18.119
3.92443	18.2292
3.93577	18.5018
3.94586	18.7171
3.95714	18.9827
3.96897	19.2447
3.97932	19.4517
3.99014	19.6565
4.00031	19.8592
4.01108	20.1097
4.02125	20.3079
4.03173	20.5529
4.0426	20.7469
4.05416	20.9868
4.06584	21.2239
4.07685	21.4585
4.08826	21.6905
4.09888	21.8743
4.1095	22.1019
4.12241	22.3272
4.13327	22.5503
4.1445	22.7712
4.15532	22.9899
4.16681	23.1634
4.17874	1
4.18886	5
4.19927	10
4.21013	12.1661
4.22105	12.5717
4.23126	1
4.24161	6
4.25261	7.42017
4.26294	7.42017
4.27352	7.81738
4.28359	8.31709
4.29374	8.78802
4.30412	8.78802
4.31564	9.23468
4.32579	9.23468
4.33723	9.55582
4.34878	10.0681
4.35973	10.4597
4.37115	10.5553
4.38139	10.9293
4.39238	10.9293
4.40283	11.2015
4.413	11.641
4.42451	12.0643
4.43543	12.2295
4.44612	12.4732
4.45738	12.4732
4.46881	12.8691
4.47963	13.1771
4.49011	13.5523
4.50052	13.8451
4.51084	13.9891
4.52105	13.9891
4.53209	14.2729
4.54417	14.6199
4.55632	15.0256
4.568	15.3554
4.57915	15.4206
4.59157	15.6143
4.60164	15.8689
4.61282	16.1815
4.62407	16.4882
4.63413	16.7295
4.6453	16.8488
4.65606	17.0262
4.66718	17.26
4.67883	17.5477
4.69011	17.8309
4.70149	18.1095
4.71242	18.2198
4.724	18.4384
4.73485	18.708
4.7467	18.9737
4.7569	19.2358
4.76776	19.4429
4.77793	19.5968
4.78885	19.8506
4.79966	20.1012
4.81044	20.2995
4.82202	20.5446
4.83231	20.7868
4.84287	20.9308
4.85436	21.1686
4.86457	21.4038
4.87509	21.6364
4.88709	21.8665
4.89821	22.0489
4.90833	22.2297
4.91906	22.4537
4.93022	22.6755
4.94094	22.8952
4.95206	23.0694
4.96255	23.2853
4.97267	23.4566
4.98279	23.669
4.99423	23.8376
5.00591	1
5.01673	1
5.02798	3.90856
5.0381	4.84749
5.04888	1
5.06027	3.90856
5.07176	5.05378
5.08283	5.62582
5.09333	5.62582
5.10347	5.62582
5.1137	5.62582
5.12386	6.306
5.13517	7.0626
5.14648	7.61288
5.15843	7.61288
5.16921	7.61288
5.17944	7.61288
5.18966	8.24844
5.19997	8.72314
5.21049	9.17299
5.22185	9.38974
5.23253	9.38974
5.24297	9.38974
5.2535	9.7057
5.26384	10.2104
5.27553	10.691
5.28606	11.0604
5.29616	11.0604
5.30645	11.0604
5.31668	11.2405
5.32683	11.7641
5.33695	12.1005
5.34792	12.5082
5.35841	12.6676
5.36986	12.7465
5.38084	12.825
5.39102	13.2102
5.40272	13.5845
