time	rtt	rto
65.6178	65.5527	196.658
131.568	65.848	164.214
132.061	66.1655	140.206
197.943	66.2592	122.242
199.338	67.3705	109.954
199.75	67.6305	100.852
203.442	71.2363	97.8968
260.9	62.8685	93.5485
262.472	64.2489	88.5283
263.188	63.7887	84.8778
265.495	65.9067	80.2635
267.882	68.1087	79.2639
271.622	71.6904	82.2889
272.234	68.677	80.5527
275.308	71.5232	82.2442
324.094	63.1002	82.4916
324.507	63.2928	81.8795
325.78	63.2202	80.9605
328.176	65.4291	77.8702
331.454	68.2042	77.3426
333.659	70.2348	78.9951
336.022	70.4339	80.0298
338.221	72.4978	82.7309
340.709	72.705	84.4168
343.125	74.835	87.5534
344.509	72.7964	86.9209
347.869	75.9743	89.6396
349.228	76.9411	92.0844
352.051	79.5985	96.2051
354.441	79.0188	97.7382
356.17	80.5251	99.8539
386.779	62.5884	103.495
387.312	62.9216	104.315
389.325	64.8176	101.9
391.022	66.3584	97.8082
393.448	67.6121	93.0433
395.896	69.8343	87.2907
398.262	70.002	83.1587
401.001	72.5546	82.9077
402.797	71.2471	80.9485
405.648	73.8825	82.3244
408.005	74.2356	83.3608
410.244	76.2526	86.0248
413.532	77.421	88.7823
414.563	78.256	91.1761
416.932	78.6216	92.7546
419.469	80.9629	95.9828
421.411	80.4996	97.1108
424.438	83.2522	100.429
426.139	82.8852	101.656
428.401	84.8886	104.129
431.155	86.5742	107.047
433.468	88.7027	110.717
436.112	88.1191	111.78
438.528	90.5216	114.442
439.954	90.6056	115.535
443.31	93.6873	118.941
446.082	93.9017	120.628
448.687	96.2251	123.513
450.394	95.8686	124.153
453.81	99.1148	127.341
457.04	100.816	130.465
458.694	102.309	133.268
460.075	73.1581	139.963
462.337	75.1429	140.532
464.217	76.8372	137.379
466.77	79.3177	131.248
469.007	79.681	125.284
471.559	82.0836	117.843
473.077	82.0009	111.914
476.883	85.5616	106.378
478.013	84.4667	100.948
480.28	86.5323	99.1191
482.96	86.9413	97.9854
484.962	88.6461	98.8142
486.806	88.447	98.8164
489.176	90.6304	100.95
491.408	90.2802	101.634
495.294	93.878	105.775
496.37	93.4797	107.673
499.521	96.3614	111.717
500.606	94.8366	112.176
503.798	97.7444	115.206
505.56	97.4597	116.329
508.135	99.8424	119.156
510.024	99.6849	120.231
512.098	101.574	122.42
514.353	100.725	122.25
516.858	103.046	124.076
519.034	104.418	126.161
522.519	107.729	130.575
523.708	106.681	131.579
526.139	108.924	133.982
529.157	109.479	135.402
531.002	111.1	137.346
533.217	111.743	138.526
536.465	114.832	141.938
537.747	113.241	141.54
540.097	115.423	142.85
542.569	116.429	143.984
544.792	118.591	146.3
547.104	118.619	146.985
550.128	121.492	149.78
553.023	121.773	151.046
554.173	122.725	152.034
557.091	123.56	152.705
559.741	126.064	155.051
561.311	125.11	154.613
564.268	127.911	156.554
565.778	127.163	156.09
568.01	129.23	157.208
571.11	131.023	159.085
572.862	129.262	157.458
575.006	127.333	153.339
577.748	128.775	151.445
579.822	129.125	149.888
582.051	128.12	147.087
585.03	127.874	144.379
586.833	128.034	142.266
589.027	128.666	141.146
592.163	129.444	140.896
593.873	128.387	139.185
596.683	129.573	139.059
598.267	128.917	137.942
601.807	129.978	138.12
603.97	130.892	139.011
606.166	129.011	137.226
607.739	129.536	136.389
609.977	129.598	135.695
718.719	64.2838	190.192
718.908	63.8021	222.442
720.869	62.8955	239.443
744.567	62.0257	245.843
747.902	64.0334	242.542
748.557	62.2002	236.401
750.026	63.4894	225.8
752.006	63.5148	213.748
754.203	64.0748	200.654
756.551	64.6039	187.331
759.677	65.5449	173.928
761.865	64.6151	162.56
763.679	66.3499	150.52
765.904	66.2277	140.096
782.075	63.2574	133.546
782.267	63.3263	126.99
784.757	63.7614	120.318
806.334	61.6722	116
810.651	62.6562	110.608
810.847	62.7702	105.471
812.718	64.1003	99.6012
814.35	64.2302	94.5263
816.948	64.9396	89.6285
819.038	64.7484	85.81
822.745	66.1085	81.4559
823.651	63.9184	80.0353
826.88	64.9196	77.7233
828.273	64.4937	76.1786
831.199	67.3425	75.2626
832.848	66.85	73.86
846.125	63.9561	73.8516
847.066	64.7586	72.8347
850.141	65.2853	71.4541
870.193	63.7626	71.6876
874.427	63.679	71.6664
874.715	63.831	71.2699
878.662	65.8255	70.5908
880.118	67.1755	71.515
882.443	67.9983	72.9114
884.426	67.4067	73.0088
885.776	66.6451	72.0409
889.427	66.5606	71.142
890.601	66.8568	70.7421
893.807	66.8552	70.3565
896.416	68.0879	71.3807
897.619	66.3246	70.3101
902.059	69.1097	72.3154
909.781	63.5616	73.775
909.982	63.6926	74.2991
912.767	65.6486	72.6
914.711	64.5669	72.2143
934.827	64.5349	71.7501
937.037	62.5138	72.9886
938.259	63.5429	72.5735
942.086	63.3374	72.1987
943.563	63.3498	71.665
947.391	64.8502	70.1318
947.588	63.0673	70.1796
948.764	62.9077	70.1283
950.975	65.0457	69.526
953.291	63.782	68.7598
955.678	65.0202	68.4526
958.498	64.5855	67.6546
960.658	64.1456	67.0823
964.247	66.5325	68.8259
965.586	63.4321	68.8493
972.752	62.8715	69.1859
972.952	62.9308	69.1575
976.654	63.792	68.1907
976.938	62.1258	68.8768
998.597	63.6741	67.7613
1002.22	65.091	68.2075
1003.68	66.4661	69.9499
1003.83	65.5213	69.9216
1007.01	64.8027	68.957
1008.55	64.8839	68.2856
1012.98	65.4979	68.4295
1013.18	65.5495	68.4902
1015.15	66.2853	69.266
1018.54	67.4643	71.0084
1020.99	67.624	72.2207
1023.68	67.8711	73.1506
1025.23	66.5924	72.1574
1026.94	66.1531	70.8374
1030.13	65.7811	69.7881
1031.77	67.2971	70.3456
1034.55	68.884	72.4016
1036.27	63.4216	73.5778
1038.59	65.5947	72.1307
1041.1	64.3487	72.0672
1043.47	66.4884	71.264
1062.8	64.1006	71.494
1065.67	63.3492	72.0713
1066.48	62.7354	72.7148
1067.89	64.0218	71.6995
1072.57	65.4403	70.5878
1074.18	65.5572	69.8288
1079.15	66.0698	69.774
1079.36	66.135	69.6957
1079.79	66.521	69.9672
1082.9	67.6655	71.3253
1084.22	65.5839	70.0566
1086.42	65.3287	69.3075
1089.45	65.6461	68.4139
1091.25	65.9142	68.0088
1093.85	66.8178	68.694
1096.03	65.7993	68.0103
1098.72	66.8517	68.6143
1100.77	66.1188	68.1311
1103.82	67.4814	69.284
1105.13	66.4475	68.8211
1107.3	66.0994	68.2553
1111.7	68.1352	69.9286
1126.98	64.0828	71.1098
1129.04	63.3541	72.303
1129.28	63.5801	72.6087
1130.6	64.0362	72.128
1132.86	64.914	70.7916
1136.81	64.2407	70.3201
1138.51	64.3266	69.7455
1142.28	63.0237	70.3391
1142.79	63.4014	70.1696
1144.43	64.5777	68.8176
1147.03	63.4133	68.8167
1149.01	64.7278	68.0257
1151.9	65.3769	68.1339
1154.03	64.4797	67.363
1156.24	64.8924	67.0094
1158.62	64.6687	66.4596
1161.07	64.9536	66.3633
1164.15	65.3165	66.6642
1165.39	66.3758	68.0113
1167.99	67.1099	69.6701
1170.2	66.2887	69.7548
1173.92	68.6879	72.4012
1175.26	67.8825	73.1158
1176.96	65.1341	72.1375
1191.27	62.5561	73.5324
1195.1	66.0176	72.103
1195.22	65.8895	70.8307
1197.44	66.7575	70.8178
1199.51	66.5485	70.4474
1201.86	64.9439	70.0927
1205.18	66.6063	69.9807
1206.24	63.8666	70.6797
1209.69	66.838	70.8033
1211.4	66.914	70.846
1213.96	66.7862	70.6074
1215.29	66.1875	69.6578
1217.55	67.4633	70.3615
1219.13	67.1239	70.3509
1221.4	67.2716	70.4092
1224.69	68.3337	71.5443
1228.1	69.3813	73.3675
1229.15	67.98	72.8628
1230.63	66.3602	72.1119
1233.49	68.0265	71.9533
1235.43	67.3298	70.9427
1238.94	68.6424	71.6432
1240.21	66.18	71.6125
1242.86	67.5064	70.8379
1244.59	67.5682	70.2951
1255.15	63.7839	72.6157
1257.87	62.7654	74.7539
1258.32	63.039	75.543
1260.48	62.9089	75.7839
1264.05	64.4762	74.1682
1264.62	64.8776	72.454
1266.34	64.374	71.5328
1269.59	64.3132	70.7578
1271.85	65.5556	69.8434
1273.82	64.0498	69.6545
1276.9	65.4401	68.9603
1278.44	64.3688	68.6134
1280.97	65.5721	68.3609
1283.15	65.4874	68.0127
1285.32	66.1281	68.4261
1289.09	67.5935	70.2742
1289.71	64.9078	69.6408
1292.33	64.1245	69.7626
1294.59	65.38	68.7441
1296.96	66.1933	68.8855
1299.24	65.6432	68.2753
1302.25	66.7188	69.0027
1304	64.9703	68.7056
1307.62	67.2829	69.8895
1309.34	66.4002	69.592
1311.71	68.5989	71.7706
1313.69	69.0365	73.5935
1318.85	63.5963	74.3947
1321.15	63.1762	74.9507
1321.81	63.4447	74.7126
1323.31	62.734	74.8261
1329.09	64.9059	72.6223
1329.42	64.7468	71.0742
1330.36	63.9338	70.5719
1333.16	63.4692	70.4413
1336.35	64.4087	69.3157
1337.25	63.3513	69.3489
1341.24	64.2387	68.4067
1342.66	64.0785	67.7983
1344.72	63.6737	67.6371
1347.46	64.194	66.9522
1349.37	63.9336	66.6443
1351.34	62.1522	67.9163
1354.19	64.4119	67.3875
1355.57	63.1481	67.3587
1358.4	65.8009	68.5888
1361.12	66.4269	70.0132
1362.88	65.7787	70.1066
1365.57	66.2387	70.5502
1368.05	65.6918	70.0913
1369.69	65.5833	69.5306
1373.22	65.5038	68.9498
1376.54	67.1083	70.2661
1377.65	65.8439	69.6087
1379.29	65.5071	68.6808
1383.65	64.7083	68.4767
1386.12	64.8819	68.0731
1386.45	64.5744	67.9776
1388.15	64.7903	67.6196
1391.81	62.6157	69.1991
1393.78	64.3064	68.5505
1396.13	65.7034	68.67
1398.06	64.7966	67.7866
1400.3	63.837	67.953
1403.37	66.0265	68.6019
1405.39	64.0483	68.4171
1407.73	64.9798	67.7238
1410.88	67.86	70.4233
1411.79	66.7092	70.8202
1414.34	66.7759	71.0272
1417.16	67.6938	72.0628
1419.02	67.6121	72.5139
1421.54	67.2744	72.277
1425.89	69.5885	74.5685
1427.13	68.6404	74.8501
1428.08	66.8459	72.8838
1430.84	67.8662	72.4986
1433.38	67.7152	71.931
1436.01	67.8573	71.5867
1437.96	68.1827	71.6103
1439.77	66.4468	71.2884
1442.66	66.0277	71.2926
1444.47	66.7318	70.5147
1447.1	67.6655	70.3728
1448.98	65.2296	71.1857
1451.95	65.755	71.0733
1455.08	68.575	72.0687
1455.81	67.599	71.5148
1459.45	67.5382	70.9605
1460.43	68.316	71.3648
1463.26	69.398	72.7521
1466.66	70.4312	74.7201
1467.62	69.4749	74.8017
1470.37	69.9373	75.209
1472.27	68.7923	74.0234
1475.37	69.8413	74.262
1477.01	68.4846	72.8993
1479.85	68.8631	72.1659
1482	70.1442	73.0226
1484.71	70.0421	73.38
1486.23	68.9525	72.2845
1488.57	69.4817	72.0567
1490.88	69.2422	71.5574
1493.24	67.3414	72.412
1495.68	68.4845	71.8142
1498.64	70.4678	72.9516
1500.37	69.4501	72.4755
1503.22	69.732	72.3857
1505.61	69.5036	71.9869
1507.34	69.3117	71.4317
1509.73	69.8633	71.6216
1511.89	69.155	71.147
1514.12	69.5593	71.0072
1516.49	71.7211	73.3022
1518.87	71.6684	74.6996
1522.14	73.0809	77.111
1524.19	72.1324	77.5005
1526.03	70.8477	76.1431
1529.32	73.4557	78.0207
1531.37	71.8269	77.2779
1534.3	73.8065	78.8471
1550.72	62.0475	85.1344
1554.9	63.9229	86.898
1557.85	64.5107	86.8231
1559.32	63.5373	86.9283
1560.77	62.0206	87.5936
1562.96	62.4845	86.825
1566.09	62.7702	85.3101
1570.7	64.9815	81.6766
1571.04	63.6043	79.9756
1573.37	63.5377	78.4058
1578.04	66.0517	75.7886
1578.37	64.151	74.4873
1580.98	64.3865	73.1042
1581.87	65.0875	71.3108
1585.89	66.9219	71.6752
1589.04	66.7907	71.6183
1589.36	65.0419	70.6319
1592.02	65.9013	69.7536
1593.35	63.8958	70.2029
1597.39	65.9192	69.6001
1598.52	64.1217	69.7261
1615.27	64.4589	69.3386
1617.94	62.9093	70.2877
1620.35	62.4102	71.1167
1621.74	62.3231	71.4649
1623.92	63.0883	70.7382
1629.13	66.0794	71.2601
1629.47	66.2258	71.6054
1631.32	65.1321	70.4334
1634.15	63.3392	70.1747
1636.72	65.6292	70.0111
1638.53	65.0634	69.1303
1640.72	62.5797	69.8861
1643.25	64.8405	68.9741
1644.78	63.6995	68.5461
1648.08	66.1491	69.4841
1651.08	65.0906	68.8046
1652.65	63.5126	68.7856
1654.72	65.3146	68.6072
1656.58	64.4569	67.759
1659.55	66.1195	68.6751
1661.68	64.1966	68.2271
1663.94	65.3202	68.0264
1666.54	67.7127	70.5017
1677.41	62.0294	71.9045
1681.61	63.5741	71.1648
1683.72	63.2603	70.7167
1684.94	63.1427	70.2926
1686.92	62.8974	70.0054
1691.73	62.4966	69.9455
1693.13	63.6121	68.6974
1694.79	63.4132	67.8934
1697.84	63.5873	67.0735
1698.94	62.1244	67.7065
1703.28	64.6516	67.8812
1706.35	65.5652	68.9228
1707.32	63.9716	67.7085
1708.22	63.3872	67.2591
1711.25	63.0442	67.1433
1713.48	64.9175	67.5877
1715.12	63.9468	66.7039
1717.58	64.8659	67.0717
1720.47	65.6507	68.127
1722.98	66.25	69.4164
1724.16	64.5042	68.1995
1726.55	64.76	67.5733
1729.36	65.3228	67.7076
1732.56	65.9221	68.3954
1741.07	63.5674	68.5615
1745.52	63.7391	68.3641
1745.97	62.1508	69.4799
1749.76	64.7642	68.7712
1750.09	63.0663	68.7261
1754.59	62.7583	68.7891
1756.93	63.1255	68.3207
1758.67	63.7803	67.278
1762.67	64.6613	67.3318
1763.99	65.7918	68.5555
1766.09	67.0829	70.7246
1768.52	65.1362	69.8443
1769.69	63.1995	69.7805
1772	64.5792	68.6002
1776.01	67.716	71.229
1777.2	65.849	70.744
1780.21	66.6293	71.1505
1782.76	67.5083	72.2648
1783.54	65.8066	70.9331
1786.16	65.5697	69.6324
