time	number
482.053	1
492.473	7
503.96	4
514.199	4
525.472	6
536.671	4
546.908	4
557.203	6
567.559	3
578.634	3
589.177	10
599.496	5
610.223	3
1462.41	1
2116.59	2
2381.33	2
3127.54	1
3180.53	1
3191.63	1
3375.93	2
4178.71	1
4231.24	1
5005.88	1
5016.7	2
5048.85	1
5879.41	1
5935.75	1
6672.62	1
6684.19	1
6727.54	2
6737.7	1
7586.04	1
7651.62	1
8286.49	1
8339.38	1
8525.75	1
8536.5	1
9498.93	1
10052.7	1
10063.8	2
10074	1
10891.1	1
10933	1
10944.1	1
11307	1
12047.5	1
12090.5	1
12634.1	1
12966.3	1
13492.1	1
14130	2
14140.3	1
14201.1	1
14731	1
14742.3	1
15565	1
15611.7	1
15896.5	1
16084.7	1
16281.7	1
17113.3	1
17123.4	1
17367.4	1
17622	2
17665	2
18461.3	1
18471.6	1
18483.5	1
18494.7	1
18525	1
18723.8	1
18998.7	2
19329.3	1
19458.2	5
19468.4	2
19478.9	1
19499.7	2
19741.1	1
19772.5	2
20054.2	1
20289.8	1
20945.1	2
20957.4	1
20977.8	1
20988.2	1
20998.5	1
21009.8	3
21434.7	1
22010.2	1
22775.1	1
23028	1
23038.5	2
23060.7	1
23379.6	1
23703.7	2
24420.4	1
24463.6	1
24474.5	1
25293.1	1
25606.1	1
25773	1
26660.9	1
26970.4	2
27657.6	1
27724.8	2
27870.9	2
28201.1	1
28442.8	1
28457.6	1
28491.3	1
29381.9	1
29435.3	1
29911.5	2
30848.3	1
30902.5	2
30913.1	1
31218.5	2
