time	cwndsize
0	1
0.0120515	1
0.0224863	1
0.0332187	1
0.0435087	1
0.0549951	1
0.0653257	1
0.075537	2
0.0867458	2
0.0987417	2
0.108992	2
0.12045	2
0.130631	2
0.141808	4
0.153323	4
0.165045	4
0.176419	4
0.186655	4
0.198783	6
0.210757	8
0.221676	8
0.233071	8
0.244477	8
0.254619	8
0.265876	10
0.276856	15
0.286966	16
0.298301	16
0.309166	16
0.319594	16
0.33205	19
0.343095	24
0.354679	29
0.366541	32
0.37729	32
0.388278	32
0.399418	36
0.410447	41
0.421767	46
0.431932	50
0.442867	55
0.454199	60
0.464299	64
0.474408	69
0.486719	74
0.49708	78
0.507605	83
0.519079	1
0.529458	5
0.543639	11
0.554623	16
0.565864	21
0.576524	26
0.587496	30
0.598488	35
0.610851	40
0.62201	1
0.632755	4
0.650912	13
0.661937	18
0.673852	23
0.685404	23.2166
0.696594	23.4311
0.70826	23.6438
0.719492	23.8545
0.730315	24.0217
0.742125	24.2292
0.753303	24.4348
0.764639	24.6388
0.774709	24.8007
0.785897	25.0017
0.798136	25.201
0.809147	25.3988
0.819347	25.5951
0.829672	25.751
0.840499	25.9446
0.851423	26.0984
0.862809	26.2894
0.873517	26.4791
0.883932	26.6298
0.895333	26.817
0.906468	27.003
0.916829	27.1876
0.927654	27.3345
0.938833	27.5169
0.950264	27.6981
0.960941	27.8423
0.972509	28.0214
0.986047	28.1994
1.00286	28.4818
1.01338	28.622
1.02924	28.8657
1.04018	29.0385
1.0514	29.2103
1.06253	29.381
1.07399	29.5508
1.08559	29.7196
1.09581	29.854
1.10714	30.0211
1.11728	30.1541
1.12831	30.3196
1.13863	30.4841
1.14876	30.6151
1.16082	30.7781
1.17115	30.9402
1.18234	31.0693
1.19385	31.2299
1.20528	31.3897
1.21691	31.5486
1.2282	31.7068
1.23985	31.8642
1.25133	32.0208
1.2619	32.1766
1.27383	32.3008
1.28541	32.4553
1.29778	32.609
1.3087	32.7926
1.32182	32.9144
1.33708	33.1265
1.35537	33.3672
1.36673	33.5168
1.37825	33.6657
1.38931	33.814
1.40062	33.9616
1.41069	34.0792
1.42164	34.2257
1.43218	34.3424
1.44302	34.4878
1.4535	34.6325
1.46359	34.7478
1.47517	34.8915
1.48591	35.006
1.49782	35.1486
1.50872	35.2906
1.51977	35.4321
1.52986	35.5448
1.54003	35.6853
1.55277	35.8252
1.56402	1
1.57419	6
1.58476	11
1.5949	15
1.60522	18.1109
1.61542	18.3308
1.62561	18.548
1.63687	18.8161
1.64729	19.0803
1.65814	19.2891
1.669	19.5469
1.68069	19.8014
1.69289	20.0526
1.71481	20.3008
1.72585	20.5459
1.74169	20.7881
1.75202	21.0275
1.76229	21.2171
1.77312	21.4517
1.78331	21.6376
1.79398	21.8677
1.80418	22.05
1.81451	22.2758
1.82513	22.4549
1.83592	22.6767
1.84611	22.8525
1.85629	23.0705
1.86639	23.2434
1.87646	23.415
1.887	23.6278
1.89711	23.7966
1.90959	24.006
1.92027	24.2136
1.93094	24.4194
1.94117	24.5828
1.95137	24.7451
1.96166	24.9465
1.97208	25.1064
1.98361	25.305
1.99437	25.4627
2.00482	25.6584
2.0159	25.814
2.02669	26.0071
2.03703	26.1988
2.05515	26.427
2.0729	26.7282
2.08437	26.9147
2.09541	27.1
2.10717	27.3206
2.11931	27.5032
2.12956	27.6845
2.14069	27.8287
2.15242	28.0079
2.16428	28.186
2.17481	28.3629
2.18612	28.5388
2.1969	28.7135
2.20735	28.8526
2.21844	29.0255
2.23056	29.1973
2.2407	29.3341
2.25139	29.5041
2.26441	29.6732
2.27652	29.8413
2.28742	30.0085
2.29884	30.1748
2.31021	30.3401
2.32154	30.5046
2.33222	30.6681
2.34239	30.7983
2.35354	30.9603
2.36494	31.1215
2.37526	31.2498
2.39351	31.4732
2.4036	31.6001
2.42199	31.8523
2.43353	32.0402
2.44391	32.196
2.45568	32.351
2.46726	32.4745
2.47771	32.6281
2.4884	32.7811
2.49962	32.9029
2.51029	33.0546
2.52088	33.1755
2.53102	33.3259
2.54233	33.4757
2.55545	33.595
2.57209	33.8324
2.58299	33.9505
2.5944	34.0975
2.60939	34.3023
2.61949	34.4478
2.63237	34.5927
2.64299	34.737
2.65309	34.852
2.66784	34.9952
2.6785	35.1663
2.69462	1
2.70766	8
2.7207	13
2.74185	18.2761
2.75569	18.548
2.76639	18.8692
2.77696	19.0803
2.78908	19.3409
2.80293	19.4956
2.81525	19.7508
2.82746	20.0526
2.83806	20.2514
2.85083	20.4971
2.86124	20.7399
2.87316	20.9798
2.88332	21.1698
2.89403	21.405
2.90425	21.5913
2.91459	21.8218
2.92538	22.0046
2.93643	22.2309
2.94655	22.4103
2.95668	22.6325
2.96755	22.8087
2.97763	23.0271
2.98778	23.2003
2.99967	23.415
3.01196	23.6278
3.02344	23.8387
3.03371	24.0477
3.04572	24.2549
3.05752	24.4603
3.07191	24.664
3.082	24.8661
3.09317	25.0665
3.10542	25.2654
3.12176	25.5019
3.14527	25.7752
3.16035	26.1605
3.17408	26.3131
3.19107	26.6156
3.20551	26.8403
3.21688	26.989
3.22705	27.026
3.24195	27.284
3.25682	27.5395
3.26948	27.7206
3.28062	27.9005
3.29129	28.0793
3.30608	28.2923
3.31671	28.4686
3.32787	28.6438
3.33956	28.8179
3.34966	28.9564
3.3602	29.1287
3.37069	29.2658
3.38416	29.4362
3.39434	29.6057
3.4069	29.7742
3.41787	29.9418
3.42964	30.1084
3.44009	30.2741
3.45355	30.4389
3.47325	30.6681
3.49789	30.9926
3.51246	31.2498
3.52284	31.4095
3.54058	31.6317
3.55506	31.7895
3.56523	31.9464
3.57592	32.1338
3.59063	32.2891
3.60368	32.4745
3.61389	32.5975
3.62614	32.7811
3.64114	32.9333
3.65695	33.1453
3.67236	33.3559
3.6857	33.5354
3.69584	33.6842
3.7074	33.8324
3.71833	33.9505
3.72972	34.0975
3.74093	34.2439
3.75182	34.3896
3.7629	34.5348
3.77311	34.6505
3.78393	34.7945
3.79402	34.9094
3.80724	35.0809
3.82224	35.2516
3.84378	35.4779
3.86278	1
3.88192	14
3.89283	18.0556
3.90406	18.3308
3.91492	18.548
3.92644	18.8161
3.93825	19.0803
3.95047	19.3409
3.96061	19.5981
3.97188	19.8519
3.98297	20.1025
3.99398	20.3008
4.00535	20.5459
4.01638	20.7881
4.02801	21.0275
4.03893	21.2171
4.05128	21.4983
4.06195	21.6838
4.07233	21.9134
4.08433	22.1406
4.09496	22.3655
4.106	22.5439
4.11748	22.7648
4.12823	22.9836
4.13957	23.2003
4.1497	23.3722
4.16114	23.5854
4.18167	23.9225
4.19384	24.1722
4.20481	24.3783
4.21546	24.542
4.22662	24.7451
4.23686	24.9465
4.24858	25.1064
4.25933	25.305
4.26943	25.4627
4.28019	25.6584
4.29298	25.8527
4.30373	26.0455
4.31481	26.1988
4.32493	26.3891
4.33617	26.578
4.34709	26.7656
