time	rtt	rto
68.3341	68.2459	204.738
132.473	64.0292	174.304
132.821	64.1816	150.753
198.172	65.6035	131.348
198.682	65.9237	116.279
199.732	66.8687	103.989
201.35	68.4333	100
264.736	66.4328	100
265.539	66.957	100
269.002	70.2823	100
269.594	70.8744	100
271.779	71.965	100
274.79	74.7202	100
276.43	74.9625	100
279.196	77.4533	100
328.009	63.1528	100
329.882	64.7554	100
331.619	66.0021	100
333.097	67.2343	100
334.847	65.7238	100
337.302	67.9745	100
339.783	70.11	100
341.821	72.0638	100
344.436	72.5368	100
346.506	74.3274	100
349.691	74.7778	100
350.867	75.6734	100
354.304	77.7944	100
355.747	78.9897	100
358.034	78.7426	100
361.987	82.4902	100
393.478	65.3689	101.851
394.002	65.6933	101.678
395.132	65.1241	100.938
397.465	67.1775	100
400.189	68.4857	100
401.516	69.5688	100
405.459	72.2318	100
406.281	72.7629	100
408.992	74.0175	100
410.757	75.4925	100
413.886	76.4563	100
416.234	78.5283	100
417.877	77.9683	100
421.37	81.1871	100
422.281	80.3658	100
424.808	82.6987	100
428.331	83.7962	101.957
430.549	85.8065	105.365
433.106	86.4978	107.768
434.174	87.3733	109.665
437.438	87.6502	110.525
438.96	88.9754	111.865
441.8	90.8687	114.16
443.83	92.73	117.031
446.907	92.4999	117.898
448.451	93.8595	119.202
450.299	94.4552	119.936
452.94	96.9094	122.383
454.959	96.8215	123.093
459.132	100.823	127.24
460.852	98.7679	126.824
463.193	100.928	128.104
464.45	70.8388	138.915
466.596	72.7135	142.241
469.232	75.1641	140.107
472.004	77.8532	134.324
473.87	78.6575	128.061
476.424	80.9641	120.388
478.494	80.8756	114.199
482.055	83.0079	107.229
485.199	84.8624	102.696
486.435	85.7504	100.163
487.678	86.0707	100
491.642	89.8408	101.117
493.515	87.9559	100.419
495.539	89.7965	101.643
499.801	93.4641	106.202
500.133	93.6267	108.979
502.784	93.6955	110.398
504.45	95.1763	112.474
506.431	95.6208	113.796
509.145	98.1744	116.968
510.949	96.956	117.092
514.017	99.6843	119.613
515.986	99.6602	120.618
518.645	102.149	123.422
520.501	102.521	125.016
522.562	104.057	127.087
526.713	105.237	129.054
527.511	105.848	130.288
529.787	107.458	132.146
542.841	120.369	147.118
542.96	118.049	153.498
543.011	117.929	156.442
543.482	115.094	153.98
543.543	115.006	151.051
543.686	112.923	145.659
551.727	120.804	149.963
553.872	120.699	151.759
553.989	120.659	151.921
554.505	120.229	150.567
555.927	121.465	150.121
558.81	120.793	148.177
560.394	122.224	147.655
563.994	124.985	149.624
565.284	126.132	151.437
567.276	125.381	150.991
570.489	128.425	153.322
571.812	127.928	153.515
576.372	129.412	154.511
576.501	127.007	151.675
581.169	130.869	153.388
581.314	128.273	150.888
583.645	128.636	148.949
586.405	131.252	149.985
588.708	127.795	146.19
591.371	128.102	143.469
593.741	129.238	142.482
595.198	130.537	142.883
597.62	128.286	140.227
599.745	127.684	137.433
602.158	129.938	137.831
604.621	130.558	138.543
640.021	137.168	146.197
640.122	137.124	150.889
650.499	145.978	163.497
650.621	145.925	171.165
650.707	141.463	170.389
650.758	139.733	167.029
650.804	135.195	159.334
650.847	135.067	153.642
651.65	132.898	151.224
655.902	136.973	149.343
707.988	88.7586	186.546
709.852	90.4357	206.436
712.119	90.354	215.936
733.31	67.0968	238.596
734.904	68.4423	246.93
738.144	69.6098	245.8
741.814	69.0901	240.007
742.277	69.2906	230.689
744.675	71.6317	217.482
746.73	73.0997	202.972
750.156	76.3751	186.526
752.609	78.233	170.665
754.578	77.2595	158.22
756	73.4876	150.823
758.483	75.5571	141.741
760.597	75.4384	133.817
764.304	77.6628	124.846
767.313	78.6612	116.611
768.418	77.107	111.38
770.226	74.6412	109.034
772.355	76.0438	105.193
776.241	76.2462	101.584
778.636	77.5341	100
779.992	77.6093	100
782.745	77.0946	100
784.008	75.9433	100
786.195	76.24	100
789.541	77.2751	100
790.696	76.4996	100
794.155	76.8066	100
797.788	78.51	100
798.994	76.7778	100
801.002	77.2868	100
802.953	76.9512	100
804.884	76.8785	100
807.754	79.5601	100
809.27	78.2588	100
811.924	78.5026	100
814.167	79.1795	100
817.45	79.2035	100
819.114	77.2001	100
821.037	78.7053	100
823.971	79.1943	100
826.078	79.2332	100
828.28	77.8307	100
830.473	77.7611	100
833.053	78.3722	100
835.368	79.3676	100
837.493	78.899	100
840.191	78.9234	100
843.088	78.6763	100
844.51	77.0986	100
847.115	78.5601	100
849.906	78.3761	100
851.543	79.087	100
853.963	77.6203	100
856.649	77.6716	100
859.987	79.9	100
862.396	79.5488	100
863.912	79.8034	100
865.241	80.9346	100
868.692	82.4333	100
870.138	80.4936	100
873.098	82.3428	100
876.741	82.4632	100
878.221	80.3379	100
879.479	80.3802	100
882.596	81.4571	100
883.944	80.8955	100
886.654	81.6959	100
888.657	80.8056	100
890.937	81.6095	100
893.912	81.8619	100
896.182	81.2744	100
897.989	80.4328	100
901.146	81.9658	100
903.779	82.6348	100
905.216	81.1366	100
907.352	81.1807	100
909.563	81.1764	100
912.109	81.5484	100
914.652	81.5161	100
916.577	81.2065	100
919.171	81.5701	100
921.331	81.0323	100
923.708	80.5179	100
926.777	82.1822	100
929.575	84.812	100
930.614	83.4069	100
933.057	82.9886	100
936.63	85.0123	100
937.6	83.5376	100
940.803	84.0692	100
942.333	82.2448	100
944.546	82.036	100
948.257	84.2524	100
949.88	84.5757	100
952.517	83.7195	100
954.431	84.1923	100
956.553	83.3602	100
958.742	81.9084	100
961.364	82.8218	100
965.679	86.1342	100
966.874	84.1659	100
967.787	83.7823	100
971.115	84.3462	100
972.515	83.7953	100
985.482	94.4432	100
985.756	91.7403	102.285
985.856	89.5919	102.371
985.952	87.8769	100.098
986.994	85.749	100
992.232	88.3521	100
993.477	88.2024	100
993.734	88.2959	100
1002.3	94.8735	102.069
1002.56	92.8904	104.037
1002.67	90.4945	102.284
1002.76	88.0138	100
1003.84	87.2012	100
1008.38	89.1075	100
1011.7	90.2537	100
1013.03	89.242	100
1013.88	87.0033	100
1014.66	84.9846	100
1016.86	86.2388	100
1025.38	92.2294	100
1025.68	88.9442	100
1025.81	88.1539	100
1028.27	87.3765	100
1033.37	91.0343	100
1033.67	89.0214	100
1034.37	86.0122	100
1039	89.0245	100
1039.94	87.2972	100
1040.2	85.7046	100
1043.45	86.7917	100
1045.33	86.4896	100
1050.11	88.6729	100
1050.41	84.5637	100
1052.02	84.7093	100
1056.32	88.4733	100
1057.78	86.5627	100
1060.26	88.8517	100
1061.62	89.0847	100
1064.16	78.5983	100.373
1068.12	82.322	100.512
1069.19	83.299	100
1071.56	85.5701	100
1073.67	86.6241	100
1075.19	82.8529	100
1079.62	86.0848	100
1080.19	86.4102	100
1082.79	80.4162	100
1085.26	82.6563	100
1087.62	84.9129	100
1089.4	86.5979	100
1091.64	87.7486	100
1094.49	85.9905	100
1096.05	84.2524	100
1100.16	87.0572	100
1101.69	87.7548	100
1103.6	88.9227	100
1106.05	89.0807	100
1108.66	83.1921	100
1110.47	84.7274	100
1113.73	87.8754	100
1114.91	86.5495	100
1118.05	84.5709	100
1119.52	85.7983	100
1122.72	88.2958	100
1124.78	85.6726	100
1127.48	87.9478	100
1128.83	88.8336	100
1131.13	90.8888	100
1134.56	91.0035	100
1135.87	90.5313	100
1138.11	87.9041	100
1141.19	90.7261	100
1143.58	91.4504	100
1146.69	90.2839	100
1147.43	89.5879	100
1150.13	89.767	100
1153.04	91.3287	100
1155.92	91.6591	100
1158.01	89.7889	100
1160.34	91.0672	100
1161.52	89.8665	100
1163.6	89.8571	100
1167.19	91.9237	100
1169.37	89.6512	100
1170.94	90.6887	100
1173.99	91.1009	100
1175.93	90.56	100
1178.6	90.8761	100
1180.75	91.2276	100
1182.36	90.5911	100
1184.71	90.1133	100
1187.36	91.2221	100
1190.41	90.1533	100
1193.52	91.6981	100
1194.15	90.4608	100
1196.54	90.3841	100
1199.75	93.4084	100
1201.17	92.3962	100
1203.52	92.9271	100
1205.6	91.737	100
1209.61	94.62	100
1211.15	93.0068	100
1213.78	94.1689	100
1215.45	92.618	100
1218.59	93.7396	100
1220.36	92.7794	100
1222.11	93.2159	100
1224.37	93.1351	100
1226.77	92.113	100
1229.73	93.789	100
1231.21	93.0033	100
1234.31	93.0212	100
1235.89	92.2021	100
1238.42	91.6163	100
1241.49	93.9924	100
1243.94	93.7148	100
1246.03	92.8899	100
1247.66	91.57	100
1250.96	92.8463	100
1252.23	91.8124	100
1254.65	93.0297	100
1257.35	93.6835	100
1260.17	92.8767	100
1261.64	92.2671	100
1263.97	92.9814	100
1267.75	93.6496	100
1268.57	92.5415	100
1272.49	96.2595	100
1273.84	95.1364	100
1275.54	94.6893	100
1279.69	97.2498	101.749
1280.47	95.238	101.119
1283.9	96.4349	101.867
1285.68	95.1624	100.758
1288.97	95.3494	100.065
1290.85	96.6485	100.924
1292.25	95.5799	100.152
1296.89	97.067	101.176
1297.82	96.5713	101.162
1299.37	95.7497	100.085
1302.08	96.4026	100
1303.61	93.8681	100.387
1306.99	95.7613	100
1308.43	94.5367	100
1311.56	96.0057	100
1320.51	101.814	105.384
1321.59	101.157	108.663
1321.72	99.5511	108.775
1321.93	97.4538	106.2
1328.08	101.224	108.478
1334.79	104.95	113.939
1335.09	103.829	115.98
1335.22	100.806	113.54
1336.76	100.805	111.539
1336.96	98.4336	109.6
1337.2	95.6125	110.447
1342.64	98.5958	107.929
1343.11	96.7981	107.558
1354.74	107.018	114.724
1354.97	103.91	115.69
1355.08	103.851	115.889
1355.18	102.892	114.565
1355.27	100.526	111.552
1359.63	102.174	110.312
1361.78	101.498	108.483
1365.4	103.685	109.525
1366.34	102.262	108.426
1366.6	98.756	109.147
1367.89	99.2521	108.862
1373.92	101.328	107.305
1374.07	100.224	106.409
1375.94	100.329	105.535
1377.8	97.9846	106.851
1381.87	101.29	106.173
1383.23	99.2277	105.955
1384.02	98.2866	106.426
1385.93	96.8497	107.738
1389.07	98.1666	107.106
1390.59	98.3288	106.27
1393.01	95.4545	107.988
1395.22	97.3491	107.066
1399.6	100.111	106.561
1400.37	98.1915	105.24
1402.95	99.222	104.112
1405.98	98.8534	102.805
1407.45	98.9556	101.938
1410.21	98.5437	101.445
1412.79	92.207	106.576
1414.83	93.1798	108.642
1417.33	95.5771	107.418
1418.72	96.741	105.226
1420.87	86.3343	112.628
1424.29	89.4428	113.944
1426.47	91.5605	112.189
1428.69	93.5468	108.655
1430.16	94.8931	105.626
1432.98	96.153	104.72
1434.82	97.8128	105.725
1437.63	100.373	109.019
1440.84	98.0599	108.307
1442.67	99.4906	109.129
1444.64	89.8938	111.712
1446.29	91.278	111.514
1448.72	93.6005	108.72
1452.16	96.9402	107.551
1453.29	97.984	107.627
1456.45	96.6811	105.909
1458.86	97.0328	104.89
1460.8	95.2964	103.095
1462.7	96.2978	101.861
1465.3	98.6478	103.521
1467.45	99.4818	105.396
1470.87	96.949	103.593
1471.98	97.8597	103.226
1474.6	98.5996	103.65
1477	99.1049	104.339
1479.25	97.2784	102.575
1482.26	98.9264	103.104
1484.95	100.853	105.488
1486.1	100.065	106.021
1490.01	100.874	107.095
1492.08	101.388	108.184
1493.52	100.351	107.519
1496.13	100.81	107.374
1497.83	98.1241	106.358
1500.12	99.6942	105.184
1503.02	99.9636	104.545
1505.78	99.6911	103.675
1508.39	102.119	105.712
1510.23	102.705	107.596
1511.86	101.434	107.249
1513.99	101.096	106.459
1517.04	102.106	106.909
1519.4	101.953	106.883
1522.68	103.758	108.742
1523.45	102.488	108.378
1525.85	101.443	106.779
1529.22	102.639	106.909
1530.13	101.327	105.679
1533.72	103.449	106.866
1535.18	102.08	105.997
1538.18	103.302	106.679
1539.88	102.191	105.771
1542.22	101.267	105.443
1544.84	102.054	104.741
1548.09	102.572	104.779
1552.34	105.984	108.574
1552.65	103.832	108.562
1556.13	103.874	108.453
1556.53	103.229	107.514
1562.26	105.702	109.546
1563.28	104.293	109.173
1566.36	105.468	110.099
1567.65	104.851	109.867
1567.98	102.574	109.389
1569.89	102.329	109.078
1572.52	101.539	109.355
1574.56	102.517	108.436
1577.32	102.421	107.732
1580.07	101.508	107.903
1582.36	103.025	106.836
1583.85	101.449	107.091
1586.22	101.202	107.298
1588.79	103.588	107.315
1591	104.838	108.616
1593.28	103.13	107.43
1595.55	103.364	106.781
1598.2	104.565	107.6
1600.78	104.553	108.028
1603.24	105.403	109.157
1604.85	104.619	108.899
1607.18	104.055	107.961
1609.62	103.726	106.965
1612.41	103.921	106.332
1614.22	103.765	105.722
1616.64	104.67	106.229
1619.41	105.354	107.283
1621.23	104.079	106.485
1623.58	104.061	105.902
1625.85	103.06	106.337
1628.16	104.649	106.526
1631.15	105.159	107.165
1633.06	103.764	106.781
1635.67	105.477	107.637
1638.07	104.244	106.846
1639.86	104.617	106.576
1642.21	103.491	106.749
1645.21	105.269	107.292
1647.05	104.721	106.969
1650.41	105.469	107.529
1651.7	103.516	107.672
1654.79	102.352	108.654
1656.42	103.719	107.906
1658.67	102.518	108.335
1661.33	104.747	108.18
1663.39	100.367	110.32
1666.2	102.855	109.236
1668.27	64.9382	141.502
1670.38	65.4111	159.871
1673.63	66.3354	168.165
1675.02	65.3125	171.32
1678.78	66.2749	169.236
1680.29	65.9639	164.923
1690.39	73.6214	152.3
1690.7	71.2528	143.63
1690.82	69.492	137.219
1690.93	67.2277	132.877
1692.54	66.5962	128.528
1698.21	69.8733	120.871
1714.19	82.915	118.025
1714.5	81.3283	113.275
1714.61	78.844	106.365
1714.71	76.5277	100
1716.57	76.6109	100
1716.8	74.4956	100
1716.92	71.5843	100
1724.64	78.1915	100
1725	77.8916	100
1733.51	83.0089	100
1734.56	82.7831	100
1741.14	86.2671	100.351
1741.47	84.9795	101.701
1741.57	82.7741	100
1743.31	81.8792	100
1744.67	81.279	100
1750.12	83.8268	100
1750.54	82.1892	100
1751.27	80.7961	100
1754.64	80.9131	100
1755.68	80.5553	100
1758.4	79.3155	100
1760.42	80.0194	100
1762.72	72.2274	100
1765.82	75.0653	100
1768.12	77.2514	100
1769.68	78.7151	100
1772	80.9876	100
1774.61	81.9553	100
1776.92	78.5781	100
1780.21	65.9421	100
1781.36	66.8139	101.741
1783.71	69.0605	101.716
1786	71.2442	100
1789.4	72.7995	100
1790.63	73.7784	100
1793.19	76.2343	100
1795.34	70.5778	100
1797.59	72.5271	100
1800.36	66.7406	100
1802.81	68.1876	100
1804.61	63.3867	100
1806.97	65.447	100
1812.19	70.5727	100
1812.53	69.1354	100
1813.94	69.1994	100
1816.49	66.179	100
1818.63	68.0455	100
1822.92	71.5813	100
1823.58	72.0676	100
1825.63	70.8911	100
1828.08	72.3296	100
1830.31	71.803	100
1832.76	72.2385	100
1835.14	72.3412	100
1837.32	71.3983	100
1839.85	71.4849	100
1842.09	72.328	100
1844.99	72.8922	100
1846.59	71.896	100
1849.52	72.4954	100
1851.25	70.9413	100
1853.53	72.0759	100
1855.87	72.0772	100
1858.23	72.1524	100
1860.53	71.047	100
1863.42	72.715	100
1865.24	71.9475	100
1867.7	72.2939	100
1869.87	72.2089	100
1872.92	72.4864	100
1874.54	73.9517	100
1876.87	73.7692	100
1880.54	75.8672	100
1883.75	76.7059	100
1884.01	71.757	100
1886.76	74.1618	100
1888.98	74.9656	100
1892.49	75.9158	100
1893.69	74.9791	100
1896.24	73.2262	100
1897.87	74.219	100
1900.2	74.492	100
1902.95	74.7604	100
1905.94	75.5556	100
1907.3	74.4619	100
1910.75	75.5393	100
1911.89	74.5036	100
1914.33	74.401	100
1916.57	74.4065	100
1919.56	74.4826	100
1921.59	74.9501	100
1923.6	73.9864	100
1926.26	74.9435	100
1928.31	74.7077	100
1930.59	76.8437	100
1932.9	76.9561	100
1935.22	76.9143	100
1937.55	76.9478	100
1940.26	76.757	100
1943.14	77.8225	100
1944.7	76.9394	100
1946.95	77.0085	100
1949.58	76.5891	100
1951.55	76.9283	100
1954.87	77.8705	100
1956.14	75.4726	100
1958.7	74.875	100
1960.92	76.908	100
1964.29	77.4624	100
1966	76.9504	100
1967.8	75.2426	100
1970.7	76.9253	100
1973.25	76.9237	100
1976.29	78.3562	100
1978.17	77.9032	100
1979.77	76.726	100
1982.27	76.2425	100
1988.88	81.4678	100
1989.83	82.1835	100
1990.05	79.2126	100
1993.62	81.6247	100
1994.76	80.3228	100
1996.07	79.376	100
1999.68	79.9925	100
2001.24	79.5817	100
2004.37	80.6787	100
2005.81	79.4552	100
2008.74	80.3138	100
2010.29	79.6173	100
2012.96	79.931	100
2016.09	80.7689	100
2016.81	79.1729	100
2019.33	78.9754	100
2022.95	79.7156	100
2023.74	78.9538	100
2027.26	80.2023	100
2029.15	79.4754	100
2031.55	79.9199	100
2033.67	78.7026	100
2036.61	80.414	100
2037.94	79.1425	100
2040.46	79.4318	100
2042.85	78.4601	100
2054.77	88.6751	100
2054.95	88.6759	100
2055.05	87.1921	100.272
2056.33	85.5544	100
2056.47	83.1182	100
2062.42	86.0208	100
2072.32	94.0388	105.184
2072.49	92.6256	109.145
2072.6	90.2266	108.53
2072.7	83.7167	105.022
2072.8	82.9183	102.752
2072.93	82.8355	100.716
2081.01	87.304	100
2081.31	86.4739	100
2083.04	86.113	100
2084.17	84.38	100
2085.51	84.1988	100
2085.69	81.2188	100
2092.68	86.8067	100
2094.13	85.2785	100
2094.29	83.9208	100
2095.53	82.4556	100
2098.9	82.7262	100
2099.91	83.0381	100
2104.13	84.6985	100
2104.72	81.6708	100
2106.91	83.1041	100
2108.87	84.9892	100
2112.03	84.6958	100
2113.5	84.2458	100
2118.48	86.8701	100
2119.19	85.4154	100
2119.43	82.7126	100
2122.07	84.0838	100
2125.06	84.5598	100
2127.02	84.0668	100
2129.35	74.5031	100
2131.39	76.3992	100
2133.42	78.3238	100
2137.61	81.2246	100
2138.78	82.2644	100
2141.47	78.9418	100
2143.63	71.2397	100
2145.24	72.7008	100
2147.83	75.1961	100
2150.59	77.8508	100
2152.85	80.0109	100
2154.65	81.6747	100
2156.99	75.847	100
2159.76	78.375	100
2162.26	79.105	100
2165.66	81.4131	100
2167.07	81.3109	100
2168.81	83.0555	100
2170.72	77.9657	100
2173.84	81.0138	100
2176.78	82.5805	100
2177.79	83.4641	100
2182.11	86.518	100
2182.91	83.9053	100
2185.1	85.0802	100
2187.27	83.029	100
2189.79	85.0111	100
2191.98	84.9922	100
2195.33	86.3508	100
2196.5	84.3658	100
2199.14	85.5361	100
2202.24	83.2686	100
2204	84.7614	100
2206.63	86.3677	100
2209.49	87.316	100
2210.5	85.3357	100
2214.3	87.2138	100
2215.5	86.1548	100
2217.76	86.2694	100
2220.52	87.027	100
2222.88	85.1622	100
2225.12	86.2214	100
2228.23	86.6311	100
2230.18	86.4496	100
2232.52	87.1801	100
2233.76	85.8036	100
2236.57	85.8672	100
2238.89	87.9675	100
2241.59	88.6532	100
2243.47	88.7395	100
2247.14	90.0498	100
2248.73	88.8538	100
2250.94	88.5508	100
2254.19	88.4333	100
2255.11	87.9337	100
2257.6	88.6221	100
2262.7	91.9013	100
2264.02	90.0698	100
2265.5	88.615	100
2266.45	88.5711	100
2270.35	88.092	100
2273.25	90.2854	100
2275.13	89.9171	100
2276.56	89.2447	100
2278.22	88.315	100
2281.58	89.4965	100
2283.26	87.7822	100
2285.29	88.6923	100
2287.43	88.2297	100
2290.16	87.7797	100
2292.27	88.1704	100
2295.19	88.4544	100
2298.52	88.9178	100
2300.8	90.2384	100
2301.35	86.9508	100
2303.73	88.1592	100
2306.72	88.8449	100
2309.59	91.5244	100
2311.05	90.4153	100
2313.65	90.4688	100
2315.89	90.6236	100
2318.33	88.4891	100
2320.17	89.8879	100
2323.26	90.6384	100
2325.03	91.1705	100
2327.29	90.6151	100
2329.74	90.8368	100
2331.85	90.1493	100
2334.29	90.7587	100
2337.19	89.9115	100
2339.93	91.1015	100
2341.36	90.3323	100
2344.76	90.4549	100
2346.73	91.6178	100
2349.21	91.4974	100
2351.59	88.7326	100
2353.28	89.1776	100
2355.64	90.0712	100
2358.79	92.2934	100
2360.5	90.019	100
2364.2	90.8024	100
2364.68	89.4486	100
2366.98	90.3512	100
2369.99	91.6306	100
2372.41	90.7177	100
2374.29	90.9201	100
2377.06	91.6903	100
2378.35	92.8087	100
2381.2	93.7628	100
2383.01	92.7487	100
2393.01	100.67	106.292
2393.29	97.9969	108.904
2393.4	94.7844	106.663
2394.74	93.8331	103.751
2402.63	101.223	109.844
2402.93	99.0935	111.178
2403.04	96.2153	108.437
2405.5	95.4925	105.443
2405.74	94.5819	103.48
2406.41	92.6534	103.6
2420.12	104.124	111.844
2421.18	102.74	115.456
2421.69	101.422	115.946
2421.78	98.3882	112.4
2421.89	96.8532	109.291
2422.2	94.8039	108.655
2429.14	99.2899	108.207
2431.66	99.713	108.11
2431.9	97.5366	105.635
2432.02	94.7211	106.221
2433.29	93.2483	107.535
2435.3	93.8792	107.399
2440	95.1085	105.812
2440.28	93.5477	105.801
2442.45	93.1362	105.771
2443.68	91.9891	106.361
2446.78	93.4349	105.033
2449.22	93.4708	103.768
2451.7	92.8149	103.19
2454	94.8262	101.389
2455.41	94.8158	100
2457.87	93.5631	100
2460.39	95.6544	100
2465.12	98.0367	102.227
2466.7	96.6046	102.202
2467.3	94.7917	100.835
2469.26	94.8513	100
2471.91	94.7479	100
2474.58	96.1662	100
2476.79	95.4728	100
2479.34	96.2271	100
2481.95	88.8665	103.603
2484.89	91.5542	103.971
2485.81	92.3729	103.108
2488	93.1545	101.522
2490.54	87.8167	104.89
2493.15	90.173	104.506
2495.65	92.5673	101.71
2499.35	93.7932	100.675
2500.04	94.2653	100.312
2502.7	96.185	102.044
2504.34	84.1409	108.008
2506.65	85.404	110.071
2509.62	87.9104	108.461
2511.03	89.2069	105.628
2515.44	93.5138	105.02
2516.07	93.8383	104.627
2518.46	89.217	103.271
2521.48	89.7608	101.466
2522.99	91.0429	100
2525.91	93.8525	100.151
2528.7	96.5934	103.85
2529.95	96.6029	106.062
2532.95	97.5435	108.276
2536.1	96.0132	107.672
2539.55	99.2236	110.523
2540.38	97.8591	110.506
2541.74	97.9939	110.251
2544.33	97.4377	109.075
2548.04	98.6865	109.344
2549.53	97.7169	108.097
2555.08	101.01	110.659
2556.53	101.058	112.093
2556.79	98.7846	110.131
2557.85	96.3151	107.919
2562.79	97.561	105.575
2565.47	98.3978	104.727
2571.63	104.276	110.586
2571.85	102.491	112.226
2571.98	99.9638	110.154
2572.56	97.8698	108.321
2575.84	98.9686	106.102
2582.07	102.624	108.535
2582.73	100.673	107.753
2584.16	99.1251	106.007
2584.74	98.2993	105.368
2587.89	99.7012	104.301
2589.18	98.5385	103.775
2592.14	98.8778	102.969
2595.11	99.3459	102.188
2595.94	96.5659	103.77
