time	number
519.072	2
529.448	4
543.632	4
554.616	5
565.814	6
576.518	5
587.487	4
597.827	18
610.45	6
622.004	7
632.747	4
650.906	3
661.875	1
1564.01	1
2694.61	1
3862.76	4
4873.76	1
4884.53	1
5911.82	2
5923.66	1
5973.59	2
5986	1
6965.15	2
8003.35	1
8053.35	1
8085.67	2
8097.17	1
9087.87	1
9098.34	1
9112.84	1
9124.54	2
10129.4	3
10199.6	1
11182.3	1
11203.4	1
11216.1	1
11249.4	2
12232.2	1
12292.6	1
13274.5	2
13292.8	2
13315	1
14312.5	2
14333.3	5
14344.5	1
14354.8	1
14365.8	1
15353.5	1
15391.9	1
16406	2
16417.5	1
17448.4	1
17477.7	2
17491.4	1
17535	1
18515.1	5
18534	1
18561.9	2
18573.5	4
19314.6	1
20359.9	2
20370.7	1
20440.6	1
21454.7	1
22482.6	1
22492.9	1
22503.9	1
23562.4	3
23578.7	1
