time	cwndsize
0	1
0.0109792	1
0.022179	1
0.0325076	1
0.0427167	1
0.0539094	1
0.0653741	1
0.0762809	2
0.0875187	2
0.0977592	2
0.10884	2
0.120362	2
0.130651	2
0.141768	4
0.152056	4
0.162286	4
0.173459	4
0.184686	4
0.194976	4
0.20601	8
0.21759	8
0.230006	8
0.241173	8
0.252329	8
0.263201	10
0.273431	14
0.283802	16
0.294271	16
0.305604	16
0.31588	16
0.326892	18
0.337099	22
0.348076	27
0.358456	31
0.36881	32
0.379088	32
0.390269	34
0.401411	39
0.411501	43
0.423823	48
0.435564	1
0.446825	6
0.457987	11
0.468355	16
0.478399	20
0.488642	24
0.499107	27.074
0.510095	27.2215
0.522057	1
0.533583	6
0.545816	11
0.556612	14.1425
0.567156	14.4926
0.577256	14.7666
0.588014	14.9689
0.598169	14.9689
0.608378	14.9689
0.618634	15.3
0.629549	15.624
0.63984	15.8785
0.651687	16.1909
0.661821	16.1909
0.672247	16.1909
0.682638	16.558
0.69381	16.7983
0.704179	17.0939
0.715304	17.3844
0.725491	17.4419
0.73565	17.4419
0.746998	17.7267
0.757766	17.9513
0.768691	18.283
0.778903	18.5008
0.789155	18.6625
0.799329	18.6625
0.809432	18.9289
0.819803	19.1916
0.829883	19.3991
0.840953	19.6045
0.851726	19.8583
0.863286	19.8583
0.874972	20.1088
0.885598	20.3562
0.896957	20.6007
0.908021	20.8422
0.918132	21.0335
0.92857	21.081
0.938782	21.3172
0.949766	21.5507
0.959878	21.7357
0.970152	21.9191
0.981149	22.1463
0.991409	22.2815
1.00208	22.4605
1.01254	22.6822
1.02376	22.9018
1.03484	23.1193
1.04496	23.2918
1.05575	23.4631
1.06631	23.6754
1.07811	23.8439
1.08989	24.0529
1.10104	24.2601
1.11188	24.4655
1.12323	24.6692
1.13426	24.8712
1.14496	25.0316
1.15578	25.2307
1.1663	25.3889
1.17781	25.5852
1.18793	25.7412
1.19804	25.9349
1.20851	26.1271
1.21865	26.2799
1.22889	26.4317
1.23949	26.6204
1.24992	26.7703
1.26118	26.9566
1.27155	27.1415
1.28299	1
1.29313	6
1.30377	10
1.31391	14.0714
1.3241	14.3536
1.335	14.6986
1.34538	14.9689
1.35664	15.3
1.36708	15.3
1.37719	15.3653
1.38773	15.624
1.39882	15.9415
1.40906	16.1909
1.41961	16.4974
1.43048	16.558
1.44131	16.6184
1.45262	16.8578
1.46298	17.1524
1.47403	17.4419
1.48551	17.7267
1.49584	17.7831
1.50809	17.8394
1.51928	18.1179
1.52994	18.3922
1.54	18.6087
1.55122	18.8759
1.5615	18.9817
1.57328	19.0344
1.58434	19.2956
1.595	19.5534
1.60511	19.7572
1.61562	20.0089
1.62568	20.1585
1.63701	20.2576
1.6483	20.5032
1.65982	20.7459
1.6709	20.9858
1.68159	21.1758
1.69271	21.3641
1.70431	21.5042
1.71486	21.7357
1.72544	21.9648
1.73625	22.1463
1.74759	22.3712
1.75826	22.5494
1.76985	22.7263
1.78093	22.9018
1.79126	23.1193
1.80177	23.3348
1.81284	23.5057
1.8276	23.7177
1.8377	23.9695
1.84796	24.1774
1.85914	24.3424
1.87092	24.5471
1.88116	24.7502
1.89282	24.9114
1.90361	25.1115
1.9146	25.3099
1.92567	25.5069
1.93674	25.6633
1.94691	25.8576
1.95722	26.0119
1.96798	1
1.97816	5
1.9884	10
1.99931	14
2.0102	14.3536
2.02033	14.6302
2.03103	14.9689
2.04204	15.2343
2.05282	15.2343
2.06362	15.3653
2.07561	15.688
2.08667	16.0042
2.09792	16.3142
2.10922	16.4974
2.12055	16.4974
2.13198	16.7385
2.14205	16.9763
2.15288	17.2688
2.16307	17.4992
2.17501	17.7267
2.18545	17.7267
2.19657	17.9513
2.20752	18.2281
2.21847	18.5008
2.22864	18.7161
2.2388	18.9289
2.24902	18.9289
2.25919	19.1393
2.27015	19.3475
2.28166	19.6045
2.2926	19.8078
2.30284	20.0589
2.31318	20.1088
2.32337	20.2576
2.33474	20.552
2.34526	20.7459
2.35538	20.9381
2.3658	21.1758
2.37593	21.3172
2.38609	21.4576
2.39727	21.6434
2.40783	21.8734
2.41825	22.1011
2.42839	22.2815
2.43909	22.505
2.45049	22.5938
2.46154	22.7703
2.47171	22.9891
2.4822	23.2488
2.49273	23.4204
2.50285	23.5907
2.51359	23.7598
2.52381	23.9277
2.53399	24.136
2.54535	24.3424
2.55635	24.5471
2.56697	24.7097
2.57785	24.9114
2.58908	25.1115
2.5992	25.2704
2.61026	25.4676
2.62052	25.6243
2.6336	25.8188
2.64369	26.0119
2.65446	26.2036
2.66466	26.3559
2.6756	26.5451
2.68568	26.6954
2.69644	26.8822
2.70804	27.0677
2.71948	27.2519
2.73064	27.3984
2.74153	27.5804
2.75269	27.7612
2.76394	27.9409
2.77436	28.0838
2.7851	28.2613
2.79584	28.4026
2.80659	28.5782
2.81846	28.7528
2.82997	28.9262
2.84038	29.0987
2.85107	29.2359
2.86263	29.4065
2.87333	29.5423
2.88342	29.7112
2.89406	29.8791
2.90441	30.0127
2.91571	30.179
2.92579	30.3113
2.93679	30.4759
2.94695	30.6069
2.95803	30.7699
2.96937	30.9321
2.98021	31.0934
2.99085	1
3.00161	6
3.01251	10
3.02277	15
3.03287	16.1868
3.04345	16.4933
3.05428	16.7345
3.06591	17.0312
3.07628	17.2649
3.08765	17.2649
3.09875	17.4954
3.10966	17.7794
3.12005	18.0033
3.13026	18.2793
3.14205	18.4972
3.15223	18.4972
3.16267	18.7659
3.17331	18.9782
3.18428	19.2402
3.19498	19.4987
3.20635	19.703
3.21757	19.7538
3.22766	19.9555
3.23866	20.2048
3.25012	20.4511
3.26153	20.6944
3.27188	20.887
3.2824	20.9826
3.2937	21.1726
3.30485	21.4077
3.31562	21.6403
3.32575	21.8245
3.33663	22.0527
3.34692	22.1433
3.35828	22.3682
3.36941	22.5908
3.38081	22.8113
3.39113	22.9861
3.40213	23.2028
3.41225	23.3319
3.4225	23.5879
3.4342	23.757
3.44459	23.9667
3.45486	24.1332
3.46667	24.3397
3.47775	24.5444
3.48905	24.7475
3.49983	24.9488
3.51001	25.1088
3.52118	25.3073
3.53129	25.465
3.54143	25.6607
3.55253	25.8163
3.56339	26.0094
3.57496	26.201
3.58503	26.3534
3.59607	26.5425
3.60615	26.6929
3.61735	26.8797
3.62787	27.0652
3.63859	1
3.64912	6
3.65923	10
3.67064	14.0714
3.68076	14.3536
3.69189	14.6986
3.70273	15.0357
3.71353	15.3
3.72432	15.3
3.73445	15.3653
3.74582	15.688
3.75739	16.0042
3.76825	16.3142
3.78017	16.558
3.79034	16.558
3.80195	16.7385
3.81277	16.9763
3.82312	17.2688
3.8338	17.4992
3.84425	17.7831
3.85493	17.7831
3.8669	17.9513
3.87698	18.1731
3.88709	18.3922
3.89824	18.6625
3.90977	18.9289
3.9199	18.9817
3.93083	19.1393
3.94237	19.3991
3.95289	19.6555
3.96316	19.8583
3.97447	20.1088
3.98563	20.1585
3.9969	20.3562
4.00719	20.6007
4.01871	20.8422
4.02982	21.081
4.04108	1
4.05184	4
4.06212	7
4.0723	11.0909
4.08345	11.5346
4.09514	11.9618
4.10722	12.3741
4.11828	12.3741
4.12876	12.3741
4.13931	12.5352
4.14952	12.9291
4.15962	13.3113
4.17003	13.6093
4.18129	13.6828
4.19155	13.6828
4.20283	13.8286
4.21299	14.1864
4.2235	14.5355
4.23394	14.8087
4.24463	14.9435
4.25558	14.9435
4.26664	15.077
4.27692	15.4058
4.28851	15.7276
4.29951	15.9804
4.30974	16.1674
4.32067	16.1674
4.33158	16.2909
4.34239	16.5956
4.35375	16.8947
4.36588	17.1886
4.37616	17.4201
4.387	17.4201
4.39808	17.6486
4.40923	17.8742
4.41936	18.1522
4.43057	18.426
4.44078	18.6421
4.45128	18.6421
4.46287	18.8558
4.474	19.1195
4.48588	19.3796
4.49677	19.6362
4.50689	19.8391
4.51797	19.8391
4.52906	20.0899
4.53973	20.3376
4.54988	20.5335
4.56101	20.7759
4.57164	20.9678
4.58205	21.0154
4.59272	21.2523
4.60373	21.4399
4.61472	21.6721
4.62518	21.9018
4.63529	22.0839
4.64641	22.2195
4.65756	22.4436
4.66771	22.6213
4.67937	22.8852
4.69154	23.1029
4.70231	23.3185
4.71353	23.4469
4.72412	23.6594
4.73544	23.87
4.74641	24.0371
4.75653	24.2444
4.76799	24.45
4.77925	24.6538
4.78968	24.8559
4.80041	25.0165
4.81091	25.2157
4.82214	25.374
4.83271	25.5704
4.84278	25.7265
4.85423	25.9202
4.86487	26.1126
4.87589	26.2654
4.88605	26.4552
4.89753	26.6437
4.90834	26.7935
4.91889	26.9796
4.92909	27.1276
4.94034	27.3114
4.95055	27.4575
4.96185	27.6392
4.97321	27.8196
4.98478	27.9989
4.99544	1
5.00555	5
5.01668	10
5.027	14
5.03785	15.2649
5.04793	15.5253
5.05898	15.8447
5.07083	16.1578
5.08146	16.2197
5.09271	16.2813
5.10398	16.5862
5.11524	16.8855
5.12606	17.1211
5.13667	17.4686
5.14683	17.4686
5.15697	17.5829
5.16833	17.8655
5.17978	18.0883
5.19108	18.3631
5.20207	18.6338
5.2132	18.6874
5.2242	18.8475
5.23564	19.1113
5.24575	19.2679
5.25581	19.4746
5.26739	19.73
5.27846	19.8817
5.29008	20.0821
5.30144	20.3299
5.31175	20.4771
5.32343	20.7201
5.33416	20.9125
5.34488	21.0556
5.35772	21.292
5.36789	21.5258
5.37979	21.7571
5.3915	21.986
5.40206	22.1673
5.41336	22.3024
5.42402	22.5257
5.43416	22.7028
5.44462	22.9221
5.45585	23.1394
5.4659	23.3118
5.47763	23.4829
5.48853	23.6951
5.49909	23.8635
5.51091	24.0723
5.52176	24.2793
5.53333	24.4845
5.54444	24.688
5.55467	24.8497
5.56535	25.0502
5.57973	1
5.58997	6
5.60086	11
5.61205	13.2294
5.6237	13.6031
5.63583	13.8948
5.6462	14.251
5.6573	14.3212
5.66841	14.3212
5.67857	14.5985
5.6888	14.8706
5.70023	15.2038
5.71141	15.5299
5.72173	15.5943
5.73253	15.5943
5.74357	15.9123
5.755	16.2241
5.76579	16.53
5.77589	16.7707
5.78711	16.8303
5.79831	16.8897
5.80836	17.1253
5.81867	17.4153
5.83091	17.7005
5.8411	17.9255
5.85226	18.0369
5.86394	18.1476
5.87507	18.367
5.8865	18.6913
5.89747	18.9044
5.9093	19.1674
5.9205	19.2716
5.93091	19.3752
5.94247	19.6829
5.95314	19.9356
5.96515	20.1852
