time	rtt	rto
69.2579	69.206	207.618
132.725	63.3584	178.132
133.907	64.333	154.342
196.446	63.6296	136.532
196.795	63.7879	122.428
197.689	63.6871	111.428
200.898	66.6466	100.314
262.516	65.9738	92.3943
262.933	66.1541	86.2134
264.094	67.2575	82.1819
266.635	69.7412	81.8641
270.905	73.1176	85.075
271.482	73.504	87.2433
274.883	73.8931	88.6746
275.779	74.5935	89.9399
326.1	63.4922	90.4331
326.47	63.6686	89.7606
329.258	66.2742	86.224
330.922	67.8849	81.8703
333.886	69.7382	80.3016
335.102	70.8114	80.1495
337.351	70.6231	79.546
341.251	74.3293	83.0406
342.525	71.5111	81.8912
344.361	73.0532	82.5474
347.715	76.1821	86.2014
350.002	78.4124	90.7953
352.658	77.6844	92.604
354.356	79.1996	95.0294
356.7	80.869	98.0045
359.918	83.9227	102.857
389.135	62.9394	107.064
390.009	63.6152	107.855
392.27	65.7537	105.121
394.084	67.5168	100.553
395.819	66.4389	97.4665
399.006	69.343	91.9302
401.09	70.0845	86.9424
403.435	72.1867	84.7706
405.431	71.4379	82.1098
407.676	73.346	82.1766
410.806	75.6143	84.4964
412.234	76.849	87.1303
414.665	77.2156	88.9499
416.814	79.1014	91.8988
419.295	77.92	92.1051
422.039	80.3858	94.5711
423.942	81.3144	96.7909
426.584	83.8888	100.66
428.309	83.8542	102.636
431.454	86.8129	106.675
434.058	86.2497	108.071
436.337	88.345	110.662
438.663	88.5655	111.913
440.08	89.7737	113.364
442.669	89.9158	113.739
446.653	93.7094	117.508
447.614	93.1511	118.61
449.854	95.1919	120.833
451.666	94.8682	121.127
454.057	97.0786	122.986
456.529	96.5125	122.759
459.178	98.9812	124.567
461.185	71.9493	133.102
465	75.5832	133.612
465.651	75.5844	132.132
468.245	78.041	127.244
470.704	78.3044	122.269
472.694	80.0107	116.137
475.194	81.0462	110.077
478.143	83.7329	103.996
479.731	83.8293	99.4796
482.025	85.8821	98.3363
484.444	85.3434	96.5908
486.743	87.4506	97.4644
488.928	87.7736	98.0881
527.061	107.635	120.519
529.193	109.477	136.909
531.843	109.703	147.063
539.747	117.512	161.343
540.805	116.861	168.612
542.004	117.839	172.865
543.5	116.815	172.786
545.218	117.674	171.951
559.567	62.0961	192.452
562.419	63.8921	200.261
563.62	62.8572	202.029
566.563	63.3993	198.366
572.301	66.571	188.97
573.459	65.6171	179.813
574.604	63.2674	172.291
575.746	62.7127	164.433
578.087	62.6433	156.158
580.543	61.7004	148.631
583.038	62.9384	139.891
610.441	63.5708	131.197
610.799	63.0367	123.846
612.607	64.7914	115.586
615.341	64.293	109.014
617.114	65.7788	102.004
619.227	66.6747	95.4876
622.962	67.5951	89.5054
623.894	67.1115	85.318
626.225	66.5587	82.4849
628.679	66.0986	80.5305
630.991	67.263	77.778
635.1	68.4402	76.0895
636.118	63.6906	77.6064
638.921	65.3747	76.6934
639.939	65.2548	75.8455
642.71	66.8941	73.6729
646.216	68.0673	73.3552
647.002	66.3863	72.2849
649.734	66.5952	71.2154
673.909	63.3296	73.2266
674.004	63.3075	74.2565
675.35	64.4925	73.5533
677.726	65.0525	72.3187
680.095	64.6585	71.6262
682.44	65.2297	70.4542
684.954	65.6322	69.3102
689.421	66.3327	69.2326
690.184	66.2087	68.9515
691.776	65.4268	68.4157
694.648	65.8436	67.9023
696.129	65.045	67.9406
699.468	64.2676	68.5554
700.964	64.7562	68.3973
703.973	64.9541	68.0066
706.141	66.1419	68.2599
708.629	65.8693	68.0531
712.106	69.2752	71.6809
713.32	66.9925	71.4184
715.121	68.0624	72.3114
718.172	68.3166	73.0507
737.802	63.8031	73.8612
738.004	63.9551	73.9459
739.914	64.5029	73.2098
