time	number
435.556	1
488.632	6
498.839	3
509.573	7
522.048	5
533.577	5
545.575	3
556.448	1
1282.98	1
1345.24	1
1967.97	1
2030.93	1
2990.85	1
3065.85	1
3638.58	1
4041.07	1
4995.43	1
5579.72	1
5635.71	1
6088.74	1
6896.4	1
7410.83	2
7422.43	1
7432.67	1
8191.55	1
8258.25	1
8886.1	1
8940.97	1
9636.46	1
9699.58	1
10451.6	1
10517.2	1
11031.3	1
11822.6	1
11885	1
11896.2	1
12957.3	1
13412.8	1
13478.9	1
14003.1	1
14013.4	2
14937.2	1
15001.1	1
15335.1	1
16041.9	1
16294.5	1
16815.6	1
17010.2	1
17594.1	1
17605.6	1
17639.2	1
17976.7	1
18862.7	2
19718.2	1
20530.3	1
21169.5	1
21540	1
22064	2
22786	1
22808.3	1
23717.8	1
23770.3	1
24415.1	1
24869.4	1
25060.5	1
26093.6	1
26158.3	1
26782.2	1
27350.8	1
27362.5	1
28089.5	1
28829.2	1
28841.6	2
