time	cwndsize
0	1
0.0121599	1
0.0235421	1
0.0339025	1
0.0442368	1
0.0545284	1
0.0652752	2
0.0754927	2
0.0865917	2
0.0983749	2
0.108619	2
0.119567	2
0.130339	4
0.141545	4
0.151798	4
0.162706	4
0.173739	4
0.185556	4
0.196902	6
0.20833	8
0.219061	8
0.230237	8
0.242049	8
0.253108	8
0.265371	10
0.275635	15
0.286127	16
0.296652	16
0.306829	16
0.317867	16
0.329403	19
0.339471	23
0.350957	28
0.361474	32
0.372539	32
0.383	32
0.393149	35
0.403631	39
0.41422	44
0.425231	1
0.436174	6
0.447283	11
0.458799	16
0.468923	20
0.479962	24.0417
0.490656	24.2083
0.501721	1
0.512074	6
0.523158	10
0.533568	13.1538
0.544885	13.3077
0.556002	13.6154
0.567016	13.9231
0.577584	13.9231
0.588545	13.9231
0.599139	14.2198
0.609643	14.3626
0.619728	14.6484
0.629878	14.8626
0.640433	14.8626
0.651538	14.8626
0.662141	15.1388
0.672294	15.2722
0.682678	15.6055
0.693074	15.8055
0.703921	15.8055
0.714504	15.8055
0.725469	16.068
0.735711	16.2555
0.746088	16.5055
0.757306	16.7555
0.767467	16.7555
0.777661	16.7555
0.789188	17.0055
0.799352	17.182
0.809591	17.4761
0.819749	17.7114
0.830013	17.7114
0.840251	17.7114
0.850373	17.7702
0.860849	18.1166
0.871369	18.3944
0.881475	18.5611
0.892592	18.6722
0.904077	18.6722
0.915438	18.8388
0.925619	19.0581
0.936099	19.3213
0.946224	19.5318
0.956479	19.6371
0.966654	19.6371
0.977624	19.6897
0.987885	19.9529
0.999235	20.2055
1.01001	20.4555
1.02109	20.6055
1.03144	20.6055
1.04202	20.6555
1.05219	20.9055
1.0627	21.1484
1.07282	21.3388
1.08368	21.5769
1.09415	21.5769
1.10468	21.6245
1.11488	21.8626
1.12493	22.0964
1.13618	22.2782
1.14685	22.46
1.15701	22.5509
1.16782	22.5964
1.17794	22.8237
1.1886	23.049
1.19868	23.2229
1.20876	23.4403
1.21943	23.5272
1.2296	23.5707
1.24031	23.7881
1.25041	23.962
1.26104	24.1722
1.27278	24.3805
1.28372	24.5055
1.29586	24.5888
1.3059	24.7972
1.3168	25.0055
1.32816	25.1655
1.33946	25.3655
1.34963	25.4855
1.35975	25.6055
1.37101	25.7655
1.3811	25.9655
1.39123	26.1209
1.40149	26.3132
1.41231	26.467
1.42404	26.5824
1.43733	26.7747
1.44869	27.0055
1.45891	27.1536
1.47078	27.3388
1.48154	27.487
1.49324	27.5981
1.50454	27.7462
1.51508	27.9314
1.52581	1
1.53599	6
1.5471	10
1.55828	15
1.56866	15.2667
1.57897	15.5333
1.58936	15.8667
1.60049	15.9333
1.61108	15.9333
1.62176	16
1.63202	16.2542
1.64213	16.5042
1.65307	16.8167
1.66342	16.8792
1.67368	16.8792
1.68458	16.9417
1.69481	17.2395
1.70555	17.4748
1.71642	17.7689
1.72655	17.8277
1.7367	17.8277
1.74745	17.8865
1.75757	18.1708
1.76841	18.4486
1.77857	18.6153
1.79572	18.7819
1.80754	18.7819
1.81888	18.8931
1.82905	1
1.83941	6
1.84979	10.1
1.8602	10.3
1.87123	10.3
1.88167	10.3
1.89205	10.9
1.90224	11
1.913	11.1
1.92363	11.2818
1.93389	11.2818
1.94514	11.4636
1.95524	11.7364
1.96622	11.9182
1.97748	12.0924
1.98829	12.2591
1.99847	12.2591
2.00928	12.4258
2.01941	12.6758
2.03027	12.8424
2.04064	13.0091
2.05238	13.2399
2.0637	13.2399
2.07406	13.2399
2.08431	13.6245
2.09452	13.7783
2.10502	13.9322
2.11602	14.2234
2.12685	14.2234
2.14028	14.3662
2.15044	14.5805
2.16067	14.7234
2.17092	14.7234
2.18224	15.1424
2.19326	15.2091
2.20354	15.2091
2.21379	15.5424
2.22397	15.6758
2.23502	15.6758
2.24537	16.0091
2.25572	16.1966
2.26601	16.1966
2.27668	16.5091
2.28745	16.6341
2.29763	16.6341
2.3082	17.0091
2.31834	17.1856
2.32849	17.1856
2.33882	17.4797
2.34901	17.5973
2.35916	17.5973
2.37076	17.8914
2.38201	18.1758
2.39218	18.1758
2.40245	18.4535
2.41341	18.5646
2.42373	18.6202
2.43392	18.7869
2.44423	19.0617
2.45469	19.167
2.46513	19.4301
2.47629	19.5354
2.48736	19.588
2.49743	19.7459
2.50894	20.0091
2.51905	20.1591
2.53035	20.4091
2.54198	20.5091
2.55354	20.6091
2.56366	20.7591
2.57463	21.0091
2.58526	21.2472
2.59575	21.39
2.606	21.4853
2.61733	21.5805
2.62852	21.771
2.63875	21.9615
2.64965	22.1909
2.6613	22.4182
2.67174	22.4636
2.68206	22.5545
2.69406	22.7818
2.70556	22.9636
2.71635	23.183
2.7278	23.4004
2.73806	23.4439
2.74919	23.5743
2.75933	23.7917
2.76942	23.9656
2.77983	24.1341
2.7906	24.3424
2.80176	24.4258
2.81308	24.5508
2.82353	24.7591
2.83481	24.9258
2.84495	25.0891
2.85618	25.2891
2.86632	25.4091
2.8774	25.5291
2.88823	25.6491
2.89914	25.8491
2.90961	26.0476
