time	cwndsize
0	1
0.0109415	1
0.0218787	1
0.0329813	1
0.0432993	1
0.0536866	1
0.0657747	1
0.0760569	2
0.0862677	2
0.0976344	2
0.108023	2
0.119674	2
0.131567	4
0.143167	4
0.154615	4
0.1668	4
0.178241	4
0.189943	4
0.20142	6
0.212502	7
0.222656	8
0.233931	8
0.244247	8
0.254954	8
0.266446	10
0.277568	11
0.288141	12
0.299374	13
0.30951	13
0.321039	14
0.33233	15
0.34351	16
0.354444	17
0.366621	18
0.377491	19
0.387804	1
0.398134	2
0.408533	3
0.418973	4
0.430286	5
0.441455	6
0.451927	7
0.462094	8
0.472388	8
0.483615	9
0.49399	1
0.504267	2
0.51536	3
0.525988	4
0.537452	5
0.548055	5.2
0.558472	5.2
0.57007	5.4
0.581885	5.8
0.593511	6
0.604441	6.16667
0.616235	6.33333
0.626686	6.33333
0.638516	6.5
0.650231	6.66667
0.660559	6.83333
0.670761	7
0.681071	7.14286
0.691825	7.28571
0.702773	7.42857
0.713059	7.57143
0.723232	7.71429
0.73477	7.85714
0.745023	8
0.755146	8.125
0.765985	8.25
0.776411	8.25
0.787313	8.375
0.798081	8.5
0.80873	8.625
0.818943	8.75
0.829668	8.875
0.839986	9
0.851147	9.11111
0.861542	9.22222
0.871714	9.33333
0.882006	9.44444
0.892155	9.44444
0.902375	9.55556
0.913686	9.66667
0.923823	9.77778
0.934981	9.88889
0.945484	10
0.955682	10.1
0.96595	10.2
0.976753	10.3
0.988386	10.4
0.999672	10.5
1.01062	10.6
1.02191	10.7
1.0321	10.7
1.04241	10.8
1.05319	10.9
1.06346	11
1.07368	11.1
1.08442	11.1909
1.0947	11.2818
1.10484	11.3727
1.11591	11.4636
1.1271	11.5545
1.13725	11.5545
1.14748	11.6455
1.15892	11.7364
1.16994	11.8273
1.18116	11.9182
1.19282	12.0091
1.20299	12.0924
1.2132	12.1758
1.22396	12.2591
1.23483	12.3424
1.24504	12.4258
1.2562	12.5091
1.2665	12.5091
1.27679	12.5924
1.28704	1
1.29739	2
1.30845	3
1.31873	4
1.32901	5
1.3392	6
1.35065	7
1.36211	7.14286
1.37341	7.28571
1.3836	7.28571
1.39383	7.42857
1.40406	7.57143
1.41539	7.71429
1.42778	7.85714
1.43914	8
1.44939	8.125
1.45955	8.25
1.46976	8.375
1.48084	8.5
1.49128	8.625
1.50142	8.75
1.51251	8.875
1.52269	8.875
1.5331	9
1.54445	9.11111
1.55473	9.22222
1.56585	9.33333
1.57609	9.44444
1.58737	9.55556
1.59874	9.66667
1.60999	9.77778
1.62064	9.88889
1.63082	10
1.64104	10.1111
1.65222	10.2111
1.66268	10.2111
1.67311	10.3111
1.68383	10.4111
1.69441	10.5111
1.70488	10.6111
1.71608	10.7111
1.72652	10.8111
1.73685	10.9111
1.7477	11.0111
1.75811	11.102
1.76894	11.1929
1.77916	11.1929
1.79018	11.2838
1.8014	11.3747
1.81164	11.4657
1.82194	11.5566
1.83215	11.6475
1.84234	11.7384
1.85272	11.8293
1.86286	11.9202
1.87452	1
1.88584	2
1.8962	2
1.90725	3
1.91771	4
1.92855	5
1.93963	6
1.94985	7
1.96005	7.14286
1.9702	7.28571
1.98041	7.42857
1.99058	7.57143
2.00074	7.57143
2.01091	7.71429
2.02148	7.85714
2.03169	8
2.04317	8.125
2.05367	8.25
2.06478	8.375
2.07525	8.5
2.0863	8.625
2.09654	8.75
2.10667	8.875
2.11684	8.875
2.12713	9
2.13779	9.11111
2.14905	9.22222
2.16017	9.33333
2.17062	9.44444
2.18085	9.55556
2.19115	9.66667
2.20162	9.77778
2.21228	9.88889
2.22353	10
2.2343	10
2.24452	10.1111
2.25574	10.2111
2.26605	10.3111
2.27626	10.4111
2.28652	10.5111
2.2976	10.6111
2.30803	10.7111
2.31833	10.8111
2.3296	10.9111
2.34085	11.0111
2.35231	11.102
2.36397	11.1929
2.37489	11.2838
2.38524	11.2838
2.39594	11.3747
2.40633	11.4657
2.41689	11.5566
2.42711	11.6475
2.43738	11.7384
2.44762	11.8293
2.45792	11.9202
2.46891	12.0111
2.48025	12.0944
2.49155	12.1778
2.50164	12.1778
2.51188	12.2611
2.5221	12.3444
2.53356	12.4278
2.54387	12.5111
2.55409	12.5944
2.56515	12.6778
2.57562	12.7611
2.58583	12.8444
2.59599	12.9278
2.60625	12.9278
2.61679	1
2.62706	2
2.63852	3
2.64871	4
2.65888	5
2.66912	6
2.67946	7
2.69027	7.14286
2.70073	7.28571
2.71154	7.28571
2.72316	7.42857
2.73414	7.57143
2.74479	7.71429
2.75593	1
2.76639	2
2.77731	3
2.78887	4
2.79927	4.25
2.80949	4.5
2.82048	4.75
2.83134	5
2.84178	5
2.85246	5
2.86271	5.2
2.87388	5.4
2.88437	5.6
2.89459	6
2.90568	6
2.91595	6
2.92631	6.16667
2.93655	6.33333
2.94767	6.5
