segno	rtt	rto
0	64.8546	100
1	64.3701	194.564
2	64.7365	194.564
3	66.3177	162.56
4	66.6545	162.56
5	67.3505	138.169
6	69.8445	138.169
7	67.231	121.546
8	68.3357	121.546
9	68.9653	109.29
10	70.8469	109.29
11	74.5192	100.697
12	74.7556	100.697
13	74.9154	96.8222
14	76.3576	96.8222
15	64.2777	90.496
16	64.7469	90.496
17	64.077	86.8601
18	66.5591	86.8601
19	67.7644	84.6035
20	70.9453	84.6035
21	70.6334	84.7508
22	73.4079	84.7508
23	70.5941	88.5442
24	72.8356	88.5442
25	75.9536	90.8613
26	77.0393	90.8613
27	76.8368	92.0584
28	78.8212	92.0584
29	80.5983	93.9306
30	83.2295	93.9306
31	62.7093	93.5851
32	62.8111	93.5851
33	64.3588	92.0319
34	67.6243	92.0319
35	68.3079	90.7461
36	70.5051	90.7461
37	70.3879	86.8971
38	73.1141	86.8971
39	73.6654	82.6809
40	75.9237	82.6809
41	74.4978	82.1444
42	76.7587	82.1444
43	78.0842	81.0915
44	80.3174	81.0915
45	79.2338	83.195
46	83.1991	83.195
47	84.3782	81.104
48	84.853	81.104
49	85.4064	81.925
50	86.8277	81.925
51	87.0944	85.6876
52	90.4556	85.6876
53	89.838	89.0739
54	91.3374	89.0739
55	92.1301	90.6924
56	94.7991	90.6924
57	95.1144	93.5539
58	97.2165	93.5539
59	95.8181	96.9706
60	99.6421	96.9706
61	98.3581	101.661
62	99.8688	101.661
63	72.4959	105.867
64	74.0433	105.867
65	76.4413	107.189
66	79.1508	107.189
67	79.7956	105.316
68	81.3843	105.316
69	80.3844	99.9489
70	82.3808	99.9489
71	83.9273	94.8187
72	85.9195	94.8187
73	86.1841	88.7709
74	88.156	88.7709
79	93.6594	83.7794
80	94.9919	83.7794
81	94.9917	85.9892
82	97.4727	85.9892
83	98.37	85.5207
84	100.386	85.5207
85	101.583	87.4122
86	103.621	87.4122
87	101.899	89.8119
88	104.112	89.8119
89	104.161	93.5325
90	106.376	93.5325
93	108.359	98.8622
95	62.2569	101.572
96	62.0778	99.4718
97	62.6686	97.9676
98	62.0357	98.8306
99	63.1696	98.8306
100	62.9189	98.8306
101	61.715	98.8306
102	62.8766	98.8306
103	62.3048	105.255
104	63.7626	133.3
105	63.3283	133.3
106	61.4716	135.765
107	62.937	135.765
108	63.1054	159.465
109	62.4784	172.137
110	64.3932	176.497
111	63.0889	176.355
112	63.5454	171.697
113	63.2737	165.468
114	62.7371	159.229
115	63.8995	151.071
116	62.0181	143.461
117	65.0658	134.656
118	63.9735	127.042
119	64.3935	127.042
120	67.0262	121.679
121	65.1023	114.996
122	62.4329	108.836
123	63.9175	103.912
124	63.0571	97.7115
125	63.9509	93.7422
126	63.5259	89.7799
127	63.2385	86.5977
128	64.2936	84.2499
129	63.8636	81.0199
130	64.2131	80.0113
131	64.06	76.3951
132	64.2067	74.3834
133	64.7616	74.3834
134	66.8039	72.3704
135	65.6358	73.0082
136	66.2203	71.0755
137	64.0575	71.8687
138	64.1564	70.7954
139	61.9861	70.6289
140	61.8819	69.5009
141	62.2589	68.9591
142	65.91	68.6853
143	64.3487	67.7237
144	62.6183	67.0891
145	63.751	66.451
