segno	rtt	rto
0	66.7278	100
1	64.0991	200.183
2	64.1999	200.183
3	68.8682	169.12
4	69.192	169.12
5	78.7496	145.364
6	90.3916	145.364
7	64.5301	128.641
8	65.1424	128.641
9	74.328	116.163
10	85.5683	116.163
11	88.6683	117.258
12	99.2154	117.258
13	99.31	129.871
14	110.606	129.871
15	80.4765	120.884
16	91.6214	120.884
17	102.677	112.69
18	113.391	112.69
19	115.977	107.23
20	127.472	107.23
21	128.945	115.264
22	139.355	115.264
23	138.742	123.096
25	139.49	139.025
27	140.533	148.341
29	140.516	165.63
31	139	148.174
33	139.54	141.179
35	139.002	147.479
37	139.828	162.265
39	63.9875	204.409
40	63.7264	204.409
41	64.6794	204.409
42	67.3014	204.409
43	69.446	204.409
44	69.2508	204.409
45	63.4081	241.455
46	64.5916	260.45
47	64.9653	265.933
48	71.4482	260.948
49	81.8748	260.948
50	80.7308	249.749
51	79.8587	236.936
52	75.2698	228.399
53	79.0904	216.606
54	77.5921	203.789
55	80.3542	185.367
56	80.6145	160.594
57	92.2878	160.594
58	92.9731	142.878
59	93.1082	130.073
60	93.7268	124.116
61	92.2114	115.337
62	93.9962	109.754
63	93.1817	102.668
64	93.1075	97.2027
65	94.3722	106.23
66	104.466	106.23
67	104.416	112.489
68	104.836	116.139
69	105.462	118.511
70	106.152	117.588
71	104.826	118.197
72	103.502	116.924
73	104.834	115.263
74	103.196	114.904
75	105.278	125.382
76	116.339	125.382
77	115.863	131.548
78	116.696	135.22
79	114.841	137.384
80	115.789	138.582
81	115.997	136.864
82	116.901	133.245
83	116.365	131.44
84	117.24	127.58
85	115.575	126.628
86	116.972	137.78
87	117.237	143.893
88	128.268	143.893
89	127.928	147.966
90	128.213	147.574
91	127.03	147.36
92	127.042	146.468
93	128.327	145.946
95	116.546	142.996
96	118.288	139.598
97	116.848	138.189
98	116.568	136.9
100	117.067	147.848
101	117.183	154.038
102	118.102	157.606
103	117.395	157.699
104	118.017	156.814
105	117.87	156.748
106	117.5	152.013
107	117.494	146.273
108	82.4507	129.455
109	82.1487	127.33
110	80.0028	125.772
111	80.5171	124.827
112	79.3479	123.982
113	80.6865	123.982
114	80.8199	123.982
115	80.2291	153.889
116	91.5576	153.889
117	91.715	171.546
118	94.7544	182.218
119	92.852	185.577
120	93.8262	185.522
121	91.9822	180.996
122	92.8288	174.775
123	92.8639	168.273
124	93.158	151.342
125	105.118	151.342
126	105.508	138.225
127	103.083	128.799
128	104.431	120.331
129	104.823	114.204
130	106.237	110.161
131	105.043	106.199
132	105.268	103.151
133	104.325	100.716
134	104.136	112.336
135	104.139	120.176
136	115.486	120.176
137	116.999	122.134
138	116.3	124.34
139	115.471	125.607
140	115.07	127.379
141	116.416	126.539
142	117.037	125.568
143	117.898	123.237
144	117.508	120.903
145	117.191	118.85
147	117.357	129.809
148	117.223	138.255
149	116.662	142.347
150	117.259	143.285
151	117.27	142.581
152	116.346	142.774
153	116.466	142.775
154	115.64	142.941
155	115.433	141.828
156	116.423	139.981
157	115.448	138.244
158	128.449	138.244
159	80.8992	126.606
160	81.1883	124.162
161	81.6958	122.058
162	81.413	121.584
163	81.4798	120.095
164	80.4489	133.528
165	81.3294	133.528
166	80.8279	161.101
167	93.758	161.101
168	94.5031	176.436
169	94.379	183.079
170	93.294	184.518
171	94.1049	182.182
172	92.8586	178.404
173	93.1076	172.093
174	93.7854	165.554
175	92.5617	147.841
176	103.649	147.841
177	104.167	135.365
178	103.558	125.762
179	103.693	118.142
180	103.757	112.504
181	104.96	108.577
182	105.058	105.291
183	103.969	102.612
184	103.969	101.254
185	104.067	110.769
186	105.303	117.372
187	116.561	117.372
188	117.069	120.609
189	116.661	122.351
190	116.29	122.984
191	116.439	124.151
192	116.747	124.428
193	116.19	122.78
194	116.2	121.11
195	116.852	119.589
196	115.623	119.496
197	127.598	119.496
198	127.719	131.657
199	127.675	139.737
200	127.527	143.872
201	129.562	145.318
202	127.921	145.528
203	127.966	145.103
204	127.91	143.312
205	129.167	141.3
206	128.755	139.928
207	128.177	136.925
208	126.563	147.759
210	126.947	154.376
211	127.306	157.835
212	129.868	158.996
213	126.735	161.064
214	128.066	159.592
215	127.308	157.685
216	130.211	155.443
217	128.05	154.525
218	127.083	152.666
219	127.951	150.049
220	128.108	145.832
221	128.032	142.895
223	68.3897	136.44
224	69.4872	134.119
225	69.117	133.354
226	70.112	132.859
227	69.7684	132.299
228	69.6896	132.299
229	62.4052	229.677
230	62.9784	227.503
231	63.8765	221.215
232	63.192	221.215
233	64.1225	221.215
234	64.3355	218.728
235	63.7492	211.709
236	66.6408	201.67
237	65.6987	191.374
238	64.93	179.797
239	76.5397	179.797
240	64.7435	168.399
241	65.6712	158.18
242	63.6457	145.993
243	63.5765	136.339
244	69.2529	128.469
245	68.0559	118.852
246	80.0774	118.852
247	76.3787	114.81
248	75.2621	109.781
249	74.5011	106.875
250	74.9241	103.677
251	81.065	95.3588
252	81.6335	90.1314
253	80.8789	97.0489
254	93.2065	97.0489
255	93.2019	96.8971
256	92.7905	94.9002
257	92.8179	92.1199
258	93.0027	90.2206
259	93.5977	95.4047
260	92.8659	98.9982
261	93.1589	99.9648
262	93.5982	113.871
