segno	rttvar	srtt	rto
0	32.4273	64.8546	194.564
1	24.4416	64.794	162.56
2	18.3456	64.7868	138.169
3	14.1419	64.9782	121.546
4	11.0255	65.1877	109.29
5	8.80981	65.4581	100.697
6	7.70397	66.0064	96.8222
7	6.08413	66.1595	90.496
8	5.10716	66.4315	86.8601
9	4.46382	66.7482	84.6035
10	4.37255	67.2606	84.7508
11	5.09408	68.1679	88.5442
12	5.46748	68.9914	90.8613
13	5.58163	69.7319	92.0584
14	5.84264	70.5601	93.9306
15	5.95258	69.7748	93.5851
16	5.72141	69.1463	92.0319
17	5.55838	68.5126	90.7461
18	4.65716	68.2684	86.8971
19	3.61888	68.2054	82.6809
20	3.39912	68.5479	82.1444
21	3.07072	68.8086	81.0915
22	3.45287	69.3835	83.195
23	2.89229	69.5348	81.104
24	2.9944	69.9474	81.925
25	3.74734	70.6982	85.6876
26	4.39578	71.4908	89.0739
27	4.63332	72.1591	90.6924
28	5.14051	72.9918	93.5539
29	5.75699	73.9426	96.9706
30	6.63946	75.1035	101.661
31	8.07814	73.5542	105.867
32	8.74439	72.2113	107.189
33	8.52144	71.2298	105.316
34	7.29246	70.7791	99.9489
35	6.08714	70.4702	94.8187
36	4.57409	70.4745	88.7709
37	3.45223	70.4637	84.2726
38	3.25176	70.795	83.8021
39	3.15641	71.1538	83.7794
40	3.55978	71.75	85.9892
41	3.35678	72.0935	85.5207
42	3.68389	72.6767	87.4122
43	4.11481	73.3526	89.8119
44	4.82731	74.2232	93.5325
45	4.87313	74.8495	94.3421
46	5.74224	75.8932	98.8622
47	6.42793	76.9539	102.666
48	6.79574	77.9413	105.124
49	6.9631	78.8744	106.727
50	7.21065	79.8686	108.711
51	7.21443	80.7718	109.63
52	7.83179	81.9823	113.309
53	7.83778	82.9642	114.315
54	7.97163	84.0109	115.897
55	8.00852	85.0258	117.06
56	8.44971	86.2474	120.046
57	8.55403	87.3558	121.572
58	8.88069	88.5884	124.111
59	8.46793	89.4921	123.364
60	8.88846	90.7609	126.315
61	8.56564	91.7105	125.973
62	8.46381	92.7303	126.586
63	11.4065	90.201	135.827
64	12.5943	88.1813	138.558
65	12.3807	86.7138	136.237
66	11.1763	85.7684	130.473
67	9.8754	85.0218	124.523
68	8.31593	84.5671	117.831
69	7.28263	84.0443	113.175
70	5.87785	83.8364	107.348
71	4.43111	83.8477	101.572
72	3.84128	84.1067	99.4718
73	3.40031	84.3664	97.9676
74	3.49764	84.8401	98.8306
79	4.82805	85.9425	105.255
80	5.8834	87.0737	110.607
81	6.39205	88.0634	113.632
82	7.14637	89.2396	117.825
83	7.64239	90.3809	120.95
84	8.23308	91.6315	124.564
85	8.66266	92.8755	127.526
86	9.18345	94.2187	130.952
87	8.80758	95.1787	130.409
88	8.83906	96.2954	131.652
89	8.59562	97.2785	131.661
90	8.72107	98.4157	133.3
93	9.02666	99.6586	135.765
95	16.1204	94.9834	159.465
96	20.3167	90.8702	172.137
97	22.2879	87.345	176.497
98	23.0433	84.1813	176.355
99	22.5354	81.5549	171.697
100	21.5605	79.2254	165.468
101	20.548	77.0366	159.229
102	18.951	75.2666	151.071
103	17.4537	73.6464	143.461
104	15.5612	72.4109	134.656
105	13.9415	71.2756	127.042
106	12.9072	70.0501	121.679
107	11.4586	69.1609	114.996
108	10.1079	68.404	108.836
109	9.0623	67.6633	103.912
110	7.61425	67.2545	97.7115
111	6.75209	66.7338	93.7422
112	5.86116	66.3353	89.7799
113	5.16127	65.9526	86.5977
114	4.67481	65.5507	84.2499
115	3.9189	65.3443	81.0199
116	3.77071	64.9285	80.0113
117	2.86236	64.9457	76.3951
118	2.38982	64.8241	74.3834
119	1.90003	64.7703	72.3704
120	1.98899	65.0523	73.0082
121	1.50424	65.0585	71.0755
122	1.7846	64.7303	71.8687
123	1.54166	64.6287	70.7954
124	1.54916	64.4323	70.6289
125	1.2822	64.3721	69.5009
126	1.17321	64.2663	68.9591
127	1.13687	64.1378	68.6853
128	0.8916	64.1573	67.7237
129	0.742118	64.1206	67.0891
130	0.579704	64.1322	66.451
131	0.452813	64.1231	65.9344
