segno	rttvar	srtt	rto
0	33.3639	66.7278	200.183
1	25.6801	66.3992	169.12
2	19.8099	66.1243	145.364
3	15.5434	66.4673	128.641
4	12.3387	66.8079	116.163
5	12.2395	68.3006	117.258
6	14.7024	71.062	129.871
7	12.6597	70.2455	120.884
8	10.7706	69.6076	112.69
9	9.25802	70.1976	107.23
10	10.7862	72.119	115.264
11	12.227	74.1876	123.096
12	15.4272	77.3161	139.025
13	17.0688	80.0654	148.341
14	20.4367	83.8829	165.63
15	16.1791	83.4571	148.174
16	14.1754	84.4776	141.179
17	15.1815	86.7526	147.479
18	18.0457	90.0824	162.265
19	20.008	93.3193	173.351
20	23.5442	97.5883	191.765
21	25.4973	101.508	203.497
22	28.5848	106.239	220.578
23	29.5643	110.302	228.559
25	29.4703	113.95	231.831
27	28.7485	117.273	232.267
29	27.372	120.178	229.666
31	25.2343	122.531	223.468
33	23.1779	124.657	217.369
35	20.9695	126.45	210.328
37	19.0716	128.122	204.409
39	30.3374	120.106	241.455
40	36.8478	113.058	260.45
41	39.7306	107.011	265.933
42	39.7253	102.047	260.948
43	37.9442	97.972	249.749
44	35.6385	94.3819	236.936
45	34.4723	90.5101	228.399
46	32.3339	87.2703	216.606
47	29.8267	84.4822	203.789
48	25.6285	82.8529	185.367
49	19.4659	82.7307	160.594
50	15.0994	82.4807	142.878
51	11.98	82.1529	130.073
52	10.7058	81.2925	124.116
53	8.5799	81.0173	115.337
54	7.29121	80.5891	109.754
55	5.52713	80.5598	102.668
56	4.15903	80.5666	97.2027
57	6.04957	82.0318	106.23
58	7.27252	83.3994	112.489
59	7.88159	84.613	116.139
60	8.18964	85.7522	118.511
61	7.75701	86.5596	117.588
62	7.67689	87.4892	118.197
63	7.18078	88.2008	116.924
64	6.61227	88.8141	115.263
65	6.34873	89.5089	114.904
66	8.50089	91.3785	125.382
67	9.63499	93.0082	131.548
68	10.1833	94.4867	135.22
69	10.3813	95.8586	137.384
70	10.3592	97.1452	138.582
71	9.68961	98.1053	136.864
72	8.6163	98.7799	133.245
73	7.9758	99.5367	131.44
74	6.89657	99.994	127.58
75	6.4933	100.654	126.628
76	8.79122	102.615	137.78
77	9.90543	104.271	143.893
78	10.5354	105.824	147.966
79	10.1557	106.951	147.574
80	9.82608	108.056	147.36
81	9.35476	109.049	146.468
82	8.9791	110.03	145.946
83	8.31814	110.822	144.095
84	7.84302	111.624	142.996
85	6.86988	112.118	139.598
86	6.36603	112.725	138.189
87	5.90265	113.289	136.9
88	8.17167	115.161	147.848
89	9.32034	116.757	154.038
90	9.85435	118.189	157.606
91	9.60107	119.294	157.699
92	9.13777	120.263	156.814
93	8.86938	121.271	156.748
95	7.83325	120.68	152.013
96	6.47288	120.381	146.273
97	5.73798	119.94	142.891
98	5.14641	119.518	140.104
100	4.47259	119.212	137.102
101	3.86154	118.958	134.404
102	3.11026	118.851	131.292
103	2.69659	118.669	129.455
104	2.18555	118.588	127.33
105	1.81867	118.498	125.772
106	1.61344	118.373	124.827
107	1.4298	118.263	123.982
108	10.0255	113.787	153.889
109	15.4286	109.832	171.546
110	19.0287	106.103	182.218
111	20.6681	102.905	185.577
112	21.3903	99.9604	185.522
113	20.8612	97.5511	180.996
114	19.8287	95.4597	174.775
115	18.6792	93.5559	168.273
