time	number
425.224	2
436.167	1
490.247	4
501.715	7
512.067	2
523.15	4
533.564	1
1525.8	1
1547.09	1
1829.04	2
1839.4	2
1849.65	1
3785.75	1
3798.51	2
3830.13	1
4565.73	1
5134.73	2
5505.56	2
5516.01	5
5526.99	1
6652.51	3
6683.69	1
6693.89	1
6705.17	1
7102.12	1
7165.36	1
7493.95	2
9187.07	1
9699.04	1
9713.43	1
9960.29	1
10744	1
11197.6	2
11261.7	1
12660.8	5
12671.1	3
12692.4	3
12703.6	4
12716	3
13094.4	2
14513.2	1
15078.4	1
16494.1	1
17660.2	1
19006.4	1
19017.1	1
19514.4	1
19525.3	1
19546.5	4
19901.5	4
19944.5	4
21881	1
21922.4	1
21933.2	2
22874.9	1
23810.7	2
23825.1	1
23847.8	5
23859.7	5
23871.5	4
23883.5	1
24408.9	6
24708.7	1
24720.2	2
24731.8	1
25203.3	1
25213.6	1
25675.5	7
25694	2
25761.8	1
26230.1	1
26241	2
27575.3	2
27586.8	3
27597.2	2
28080.5	1
28734.7	2
28787.3	1
29698.9	1
29709.7	1
29929.1	1
30328.6	1
31151.3	3
31504.5	1
31895.2	3
31916.1	1
32571.9	1
33132.1	1
33152.5	1
33875.1	2
33886.2	1
34159.6	1
34664.3	2
34675.6	1
34688.3	2
34708.6	3
34720	2
35172.1	1
36795.2	1
